Question,Answer,Question Length
Who founded the PASOK?,['Andreas Papandreou'],5
Who led the Qing?,['Yuan Shikai'],5
What are snowbirds ,"['white liberals from the northeastern United States, known colloquially as ""snowbirds']",3
Who founded al-Qarawiyin University?,['Fatima al-Fihri'],5
Who denounced many nobles?,['Hieronim Nekanda Trepka'],5
When was Yale founded?,['1701'],5
What league freed Corinth?,['Achean'],5
Who was excluded?,['blacks'],4
Why did this occur?,['two bills of the same title had originated from the house'],5
Where did Lutheranism begin?,['Germany'],5
Who founded the NFSL?,['Mohammed Magariaf'],5
Who did the NEC expel ,['activists and the two MPs who supported the group.'],5
Who was imprisoned?,['Eleanor'],4
Who adjusted the song?,['Karlheinz Brandenburg'],5
What are riwaaydo?,['popular musicals'],4
what is  vacuum fluctuation?,['virtual particles that hop into and out of existence'],5
What is SkyDrive?,['cloud storage service'],4
What color is chlorophyll?,['blue-green'],5
Which emperor followed Shunzhi?,['Kangxi'],5
Madonna collects whose painting?,['Tamara de Lempicka'],5
What is the DVB?,"['an alliance of broadcasters, consumer electronics manufacturers and regulatory bodies']",5
What created Serbia?,['the Serbian Revolution'],4
What is High Education?,['follows the completion of a school such as a high school'],5
Where do pipes correspond?,['1-to-1 to endpoints'],5
What causes diarrhea?,['disruption of the species composition in the intestinal flora'],4
What is a PoP?,['point of presence'],5
Who sang medieval plainchant?,['monks'],5
What began in 1254 ,['The construction of the present Gothic building was begun in 1254 after an earlier romanesque construction had been badly damaged by fire'],4
How do digimon evolve?,['Digimental'],5
What hardens glass-ceramics?,['heat treatment'],4
Who appoints a judge?,['the president'],5
When did Uthman die?,['656'],5
What shape Spirochaetes are?,['tightly coiled'],5
Who did Machiavelli disdain?,['writers on politics who judged everything in comparison to mental ideals'],5
How large is Switzerland?,"['41,285 square kilometres (15,940 sq mi)']",5
Who resigned in 1868?,['Derby'],5
What was building considered?,['a craft'],5
Who designed Branch House?,['John Russell Pope'],5
Who discovered M. tuberculosis?,['Robert Koch'],5
Who established the AVL?,['Valencian parliament'],5
d,['the Gre'],1
Where did Cædmon live?,['Whitby'],5
Who excavated ancient Ur?,['Leonard Woolley'],5
What is a gene?,['a locus (or region) of DNA that encodes a functional RNA or protein product'],5
Name a smaller newspaper?,['Philadelphia Tribune'],5
Who created KOI8-R encoding?,['the Soviet government'],5
Where is Tlatelolco located?,['north-central Mexico City'],5
Who first ran Manchuria?,['military generals'],5
What about inland?,['Ourense'],4
When was Urartu created?,['860 BC'],5
Who secured southern Lebanon?,['Israel'],5
What was the emblem?,"['two crossed silver oak leaves on the same riband, ribbon or bow as the badge']",5
What is yeovilton home to ,"[""The Royal Naval Air Station in Yeovilton, is one of Britain's two active Fleet Air Arm bases and is home to the Royal Navy's Lynx helicopters""]",5
When will they meet?,['September 2015'],5
What does vastenavond mean?,['the days before fasting'],5
Why was John motivated?,['potential of the royal legal process to raise fees'],5
Where were the black?,['Africa'],5
Who personally influences Beyonce?,['Michelle Obama'],5
What is I-696 called?,['Reuther Freeway'],5
Who argued against regulators?,['Ben Goldacre'],5
Who revolted in 1824?,['washer-women'],5
Which character tortures Bond?,['Blofeld'],5
Who discovered Hydralazine?,['researchers at Ciba'],4
Who founded Eastern Wu?,['Sun Quan'],5
Who invented track lighting?,['Lightolier'],5
Who killed Andragoras?,['Arsaces'],4
What are Bacteriophages?,['viruses that infect bacteria'],4
Who was Wilhelm I?,['head of a union of German-speaking states'],5
What class were samurais?,['middle and upper echelons of the warrior class'],5
What is crop milk?,['a nutritive fluid'],5
dd,['m and E'],1
Who visits Nankana Sahib?,['Sikh pilgrims'],5
What were the Reduit?,"['strong, well-stockpiled positions high in the Alps']",5
Who became the President?,['Yuan'],5
What happened to Napster?,['shut down and later sold'],5
What do neuroanatomists study?,['the large-scale structure of the brain'],5
How is wisdom defined?,['capacity for insight and judgment that is developed through experience'],5
What was Miller citing?,"['the ""collective wisdom"" of Europe']",5
What are commonly used?,['Regular script typefaces'],5
What is the NAB?,['National Association of Broadcasters'],5
Where are teeth found?,['in the jaws (or mouths)'],5
Who did Victoria marry?,['Prince Albert of Saxe-Coburg and Gotha'],5
Who defeated Philip?,['Titus Quinctius Flamininus'],4
How many children worked?,['virtually all'],5
Is there seeding?,"['There is no seeding,']",4
What is a QCD?,"['vacuum of quantum chromodynamics,']",5
What countries have received grants ,"['universities in the U.S., Europe, India, China and South Africa, have received grants to develop innovative on-site and off-site waste treatment solutions']",5
Who invaded Estonia?,['Soviet Union'],4
What are contracts?,['collection of hooks to provide common functionality that can integrate with other apps'],4
When did Spain invade?,"['Spain, bound by the Pacte de Famille, intervened on behalf of France and together they launched a disastrous invasion of Portugal in 1762']",5
What is a proctodaeum?,['the hindgut'],5
Who operate league systems?,['governing bodies'],5
What are castros?,['hill forts'],4
Himachal is?,"['multireligional, multicultural as well as multilingual state like other Indian states']",3
dd,['yptian Se'],1
How did Nasser die?,['heart attack'],5
What happened in 1975-1982?,['Spanish transition to democracy'],5
Who invaded China?,"['A coalition of European, Japanese, and Russian armies']",4
What is copra?,['dried coconut meat'],4
What could epinephrine treat?,['nasal congestion'],5
What do auxins do?,['promotes cell growth'],5
What is federalism?,"[""mode of government, combining a general government (the central or 'federal' government) with regional governments""]",4
The second truth is?,['the origin of dukkha can be known'],5
What is palatalization?,['the center of the tongue is raised during and after the articulation of the consonant'],4
What are bhattis?,['alcohol serving eateries'],4
What is external evidence?,"['evidence of each physical witness, its date, source, and relationship to other known witnesses.']",5
where does T5 run?,['Saint-Denis to Garges-Sarcelles'],5
Who revolutionized modern Russian?,['Alexander Pushkin'],5
What is Hokkien?,"['a group of mutually intelligible Min Nan Chinese dialects spoken throughout Southeast Asia, Taiwan, and by many other overseas Chinese.']",4
When did Smith die?,['May 1994'],5
Who succeeded King Farouk?,['his son Fuad'],5
What governs the ECB?,['European law'],5
Where are Istrijani located?,['westernmost Croatia'],5
How are judges appointed?,['elected by the voters'],5
How do penguins migrate?,['by swimming'],5
Vaccinations programs encouraged what ,"['discourage patients from discussing – ailments that the vaccinations cannot prevent"".']",4
Who are these women?,['head of the G7 in Germany'],5
What did Vogue request?,['natural pictures be used'],5
When was Vieira killed?,['2 March 2009'],5
What is paklava?,['a popular dessert made from filo dough'],4
What is Belgian Federalism? ,['the federal system passed in the parliaments of Wallonia and Brussels.'],5
What are urs?,['fairs held at the shrines of Sufi saints'],4
What are the Paisos Catalans,['Catalan Countries'],5
What is the florida climate ,['The climate varies from subtropical in the north to tropical in the south'],5
What are Poes?,['enemy ghosts'],4
What did Oda mean?,['a clan or family name'],5
What are ogives?,['alternating wave crests and valleys that appear as dark and light bands of ice on glacier surfaces'],4
Who is Akira Kurosawa? ,['One of Japan’s most renowned directors'],5
What are bombillas?,['(drinking straws'],4
Where is Carnival celebrated? ,['In all major cities and many towns throughout the country'],5
In 1674 what hit Utrecht ,['the centre of Utrecht was struck by a tornado'],5
What do these efforts include,['including support for teacher evaluations and charter schools and opposition to seniority-based layoffs'],5
What replaced false beliefs?,['true theories'],5
What does kleptocracy mean?,['rule by thieves'],5
What connects the dungeons?,['overworld'],5
When did Columbanus die?,['615'],5
Israel withdrew from where?,['Sinai Peninsula'],5
Where is Mount Tangjia?,"['Beichuan County, Sichuan']",5
When was Crystal hospitalized?,['top 20 week'],5
Where were they?,['Sudan'],4
What access is blocked?,"['access is blocked to local and foreign websites including avesta.tj, Tjknews.com, ferghana.ru, centrasia.ru']",5
When did Kexi retire?,['1673'],5
When Catalan reach Sardinia?,['14th century'],5
Both organizations withdrew what?,['their staff'],5
What cause glacial stiations?,['large boulders that carve long scratches in the bedrock'],5
What is stare decisis?,['the act of deciding a case becomes a limited form of lawmaking in itself'],5
Theravada means what?,['The School of the Elders'],4
Which house acquitted Hastings?,['House of Lords'],5
When was Madonna born?,"['August 16, 1958']",5
How many countries donated?,['19 countries'],5
What is jupiter?,['new application framework for Windows 8'],4
Did he understand Hebrew?,['not knowing Hebrew'],5
What is q-glass?,['an isotropic non-crystalline metallic phase'],4
Who favored mathematics?,['Grosseteste'],4
What is a cirque?,['The area in which a glacier forms'],5
What frames Midtown Raleigh?,"['Glenwood/Creedmoor Road to the West, Wake Forest Road to the East, and Millbrook Road']",5
Who imported Chinese laborers?,['white planters'],5
When did Hume die?,['1776'],5
Who defeated Ptolemy?,['Antiochus'],4
Where was Arthur imprisoned?,['Falaise'],5
Who raided German territories regularly ,['Germanic tribes regularly invaded the Roman territories.'],5
Which empires seperated Armenia?,['Ottoman Empire and Safavid Empire'],5
What is Xenodiagnosis?,['use of a vector to support the growth of an infectious agent'],4
How many municipalities?,['315'],4
Who won the war?,['The Bolsheviks'],5
What has vertical polarization?,['Monopoles'],5
What term means awakening?,['nirvana'],5
Who was Eduard Lasker?,['a prominent German nationalist figure who promoted the unification of Germany in the mid-19th century'],5
What do detritivores eat?,['dead organic material'],5
Who created Safari?,['Apple'],4
Who did Pinochet overthrow?,['Allende'],5
Name another race in florida ,['Daytona also has the Coke Zero 400 NASCAR race weekend around Independence Day in July'],5
What does caboclos mean?,['mestizos'],5
Who then succeeded George?,['An obscure presbyter of the name of Pistus'],5
When are urs held?,['the death anniversary of the saint'],5
What was Zeng Guofan?,['Xiang Army'],5
Aspiration alters with what?,['place of articulation'],5
Who was elected Secretary?,['Ramsay MacDonald'],5
What is Canis familiaris?,['domestic dog'],5
How many people died?,"['69,197']",5
What is a variorum?,['The collation of all known variants of a text'],5
When was BeiDou-1A launched?,['20 December 2000'],5
Was the cathedral finished ,['the age of the great cathedrals had come to an end and declining finances prevented the ambitious project from being finished'],4
Who is Frank Shuman?,"['a U.S. inventor, engineer and solar energy pioneer']",5
Who discovered mevastatin?,['Akira Endo'],4
When was he beatified?,['3 September 2000'],5
What is Joara?,['a regional chiefdom'],4
Insects can sense what?,['sounds'],5
Who founded Taxila?,['son of Taksh the son Bharat who was the brother of Ram'],4
How are stops distinguished?,['voicing'],5
Where is PLASA based?,['UK'],5
When was Gaddafi born?,"[""Gaddafi's date of birth is not known with certainty, and sources have set it in 1942 or in the spring of 1943""]",5
What is Karma?,['the force that drives saṃsāra'],4
What is ARP?,['Air Raid Precautions'],4
Who replaced Abdul?,['Ellen DeGeneres'],4
What is pharmaceutical fraud?,['deceptions which bring financial gain to a pharmaceutical company'],5
How did Boganda die?,['a plane crash'],5
Who designed this cannon?,['John M. Browning'],5
Where was Bell buried?,['atop Beinn Bhreagh mountain'],5
Who founded Bern?,"['Berthold V, Duke of Zähringen']",4
What are gametes?,['germ cells'],4
What is DIS?,['a fusion of the literature of both developmental and intervention sciences'],4
Who wrote Muhayyelât?,['Giritli Ali Aziz Efendi'],4
What is a koofiyad?,['an embroidered fez'],5
What does Mahayana mean?,['the Great Vehicle'],5
Name three painters?,['Four Wangs and the individualists Bada Shanren (1626–1705) and Shitao (1641–1707)'],4
What happens during refining?,['removal of bubbles'],5
What was a dpon-chen?,['great administrator'],5
When was Sanjaya eliminated? ,['April 18'],5
Who tipped of Bulger?,['his former FBI handler'],5
How is Nirvana attained?,['by practicing the Noble Eightfold Path'],5
What are morphemes?,"['""units of meaning""']",4
When is the final?,['May'],5
What is the syrinx?,['a muscular chamber incorporating multiple tympanic membranes'],5
What is RNA?,['a second type of nucleic acid that is very similar to DNA'],4
Where is Zayed University?,['United Arab Emirates'],5
Who created Photo CDs?,['Kodak'],5
What is contract law?,['obligations established by agreement (express or implied) between private parties'],5
Who developed the ISA?,['Weinreich'],5
Who built the organ?,['Harrison & Harrison'],5
What is a tawaif?,['courtesans'],5
Slavic mercenaries settled where?,['Slavic mercenaries fighting for the Byzantines and Arabs settled Asia Minor and even as far as Syria.'],5
What are prokaryotes?,['bacteria and archaea'],4
Who is Tadaklan?,['god of thunder'],4
How did Wever die?,['air crash'],5
Who established Lane Crawford? ,['Scots Thomas Ash Lane and Ninian Crawford'],5
Where is Bern located?,['the Swiss plateau in the Canton of Bern'],5
When did eyeglasses originate?,['late Middle Ages'],5
Where was Goa?,['India'],4
When was Buddha alive?,['between the 6th and 4th centuries BCE'],5
What does Bodhisattva mean?,['enlightenment being'],5
Where was ENIAC located?,['University of Pennsylvania'],5
What does Midna destroy?,['Mirror of Twilight'],5
What is The Festino?,['procession which goes through the main street of Palermo to commemorate the miracle attributed to Santa Rosalia'],5
What is Antarctica topographically ?,['frozen desert'],5
How are cliques defined?,"['exclusive, single-sex groups of peers with whom they are particularly close']",5
Where was Madonna born?,"['Bay City, Michigan']",5
What does hemoglobin contain?,['iron'],5
Who abandoned phenomenalism?,['Carnap and Neurath'],4
How many people demonstrated?,"['about 3,000']",5
Who described Tharapita?,['Henry of Latvia'],4
What is samsara?,['the continual repetitive cycle of birth and death'],4
What is Dukkha?,"['""suffering"", ""anxiety"", ""unsatisfactoriness"", ""unease"", etc.']",4
What does traffic elevate ,"['increasing traffic and the ancient city plan, traffic congestion is a common phenomenon in and around Utrecht, causing elevated levels of air pollutants']",4
What does arupyadhatu mean?,['formless realms'],5
Who returned to Brittany?,['Geoffrey'],5
What is stemmatics?,['a rigorous approach to textual criticism'],4
What does Florida stand for ,"['Florida i/ˈflɒrɪdə/ (Spanish for ""flowery land"")']",5
Who owns the Thunder?,['Professional Basketball Club LLC'],5
When was Uesugi born?,['1530'],5
What did Carnivore monitor?,['email and electronic communications'],5
How is steel produced?,['Adding a small amount of non-metallic carbon to iron'],5
What releases formaldehyde?,['A resin'],4
Did he act alone? ,['He claimed to have carried out the robbery with two other men'],5
When did Knorr die? ,['1977'],5
What does Phase-two do?,['enables the car to move'],5
What is gymnastics?,"['Gymnastics is a sport involving the performance of exercises requiring strength, flexibility, balance and control']",4
Where is 1520 Sedgwick?,['just north of the Cross Bronx Expressway and hard along the Major Deegan Expressway'],5
What are Beaks?,['Members of the teaching staff'],4
Who is Soma Somasegar?,"[""vice president of Microsoft's development software division""]",5
Who won the season?,['Kris Allen'],5
When did Archimedes die?,['212 BC'],5
What industries suffered declines?,['manufacturing and government'],5
Does Florida benefit from taxes,['Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary'],5
How many parishes?,"['3,778']",4
What are mass parties?,['Mass parties tried to recruit new members who were a source of party income and were often expected to spread party ideology'],5
Where is Tajikistan located?,['in Central Asia'],5
When did Tito die?,['4 May 1980'],5
What does sparking limit?,['maximum speed'],5
What are ganglia?,['local control centers'],4
n,['n'],1
How is Valencian classified?,['Western dialect'],5
Where was TR2 built?,['Cattedown'],5
Who modernized Egyptian army?,['Muhammad Ali Pasha'],5
What characterizes a hypersensitivity?,['respond inappropriately to otherwise harmless compounds.'],5
What is industrialization? ,['social and economic change'],4
Who is Nursultan Nazarbaev?,['the President of Kazakhstan'],5
When did Nasser die?,['1970'],5
What is the Barengraben?,['a bear pit'],5
Who killed François Darlan?,['Fernand Bonnier de La Chapelle'],5
What is entropy?,['measure of evenness of a distribution of energy between parts of a system'],4
When was antibacterial-resistance demonstrated?,['1943'],5
When was Palma born?,['1978'],5
How is charcoal made?,['pyrolysis of wood'],5
What does kleptocracy mean?,['rule by thieves'],5
When did Doson die?,['221 BC'],5
ISA stands for what?,['Identity Structure Analysis'],5
Ethernet standards require what?,"['isolation between the networked device (computer, phone, etc.) and the network cable up to 1500 V AC or 2250 V DC for 60 seconds']",5
What is okanye?,['pronounce unstressed /o/ clearly'],4
Who died in 1865?,['Palmerston'],5
How does nucleoid look?,['irregularly shaped body'],5
Where did this initiate?,['universities'],5
Where was John crowned?,['Westminster'],5
Whose art influence Madonna?,['Frida Kahlo'],5
When did Taiwan fall?,['1683'],5
Who founded Plymouth Porcelain?,['William Cookworthy'],5
What color is uranium?,['silvery-white'],5
Who is Achim Steiner?,['UN under-secretary general'],5
What varies with time?,['voltage'],5
Who led the Rebellion?,['Hong Xiuquan'],5
What is criminal law?,['prosecution by the state of wrongful acts'],5
What causes Streptococci?,['pathogens'],4
What is peering? ,['multiple ISPs interconnect at peering points or Internet exchange points'],4
When was Morrisania created?,['1855'],5
When did Thuringii emerge?,['the Migration Period'],5
Asymmetric federalism exist when?,"['where states are granted different powers, or some possess greater autonomy than others do']",5
What causes barotrauma?,['rapid decompression'],4
Who else can play? ,"['Clubs in the next six levels (non-league football) are also eligible provided they have played in either the FA Cup, FA Trophy or FA Vase competitions']",5
WHen was Black Wednesday?,['September 1992'],5
How is hunting regulated?,['by state law'],5
Where is Topshop located?,['London'],5
Who oversaw Operation Starvation?,['General Curtis LeMay'],5
Who headed the Nazis?,['Adolf Hitler'],5
Where was Madame Satã?,['Brazil'],5
Who is John Punch?,['the first African slave in the Virginia colony'],5
What is the Triangle?,['Research Triangle area'],5
Who denounced ISIS?,"[""Al Qaeda's core organization""]",4
Who standardizes HDTV specifications?,['ETSI'],5
What transformed Arabic languages?,['movement to translate English and European texts'],5
Mrigavyadha means what?,['deer hunter'],4
What is ijtihad?,['process of scholarly research'],4
What is OAS?,['Organization of American States'],4
Where is Cyprus located?,['Eastern Mediterranean Sea'],5
What cells produce antibodies?,['B lymphocytes'],5
Who wrote Vitruvius Britannicus?,['Colen Campbell'],5
Are albums ever reproduced?,['Many popular new albums are given releases'],5
When was Ceefax launched?,['1974'],5
What entity operates Harborview?,['University of Washington'],5
When was Hume born?,['1711'],5
What are parapodia?,['limbs'],4
Percentage of unwed births?,['56'],5
Who was de Oliveira?,['former president of Brazil'],5
What causes gynecomastia?,['obesity.'],4
What is Paul Heinegg?,['scholar'],5
Who discovered Triton? ,['William Lassell'],4
When was Peterson born?,['March 14'],5
When does Laulupidu occur?,['every five years in July'],5
Where is football played?,['indoors'],5
Who annexed Armenia?,['Bolshevist Russia'],4
Who wrote Kitab al-Tasrif?,['Abu al-Qasim al-Zahrawi'],5
Where is Catalonia located?,['Iberian Peninsula'],5
What is dukkha?,"['suffering, anxiety, dissatisfaction']",4
What school advanced atomism?,['Nyaya–Vaisesika school'],5
Who granted Utrecht city rights ,['Henry V in 1122'],5
What is the Holocaust?,"['was the deliberate and systematic murder of millions of Jews and other ""unwanted""']",5
Where was Jesus arrested?,['Gethsemane'],5
What institution controls BYU?,['Church Educational System'],5
What defines Philosophy education?,['the philosophical study of education and its problems'],5
Who shot Queen Victoria?,['Roderick Maclean'],5
Who organized this chain?,['Rukh'],5
Who decreed this?,['Pope Urban VIII'],4
Who wrote Shahnameh?,['Ferdowsi'],4
what dominates the cityscape,"[""Utrecht's cityscape is dominated by the Dom Tower, the tallest belfry in the Netherlands and originally part of the Cathedral of Saint Martin""]",4
What is the Berggarten?,['European botanical garden'],5
Are Hispanics in Hawaii?,"[""7.0 per cent of the islands' people are either Hispanic or Hispanophone or both.""]",5
Where did Freemasonry originate?,['Scotland'],5
What is sheftalia?,['minced meat wrapped in mesentery'],4
Who were MBE'S?,['The members of The Beatles'],5
Who led the Harkat-ul-Mujahideen?,['Fazlur Rehman Khalil'],5
Who executed the apartheid?,['the Arab government'],5
Where is Houston located?,['in Southeast Texas near the Gulf of Mexico'],5
Who did Beyoncé marry?,['Jay Z.'],5
Which birds migrate?,['Many species'],4
Who attacked the protest?,['troops'],5
What is being recreated ,"[""Parts of the city's network of canals, which were filled to create the shopping center and central station area, will be recreated""]",4
What does Anglican mean?,['the English Church'],5
Many records showed what?,"[""John's offerings to the poor""]",5
Who succeeded Vladimir Lenin?,['Joseph Stalin'],5
Where exactly is Tajikistan?,"['between latitudes 36° and 41° N (a small area is north of 41°), and longitudes 67° and 75° E (a small area is east of 75°)']",5
What is the Cabildo?,['the seat of colonial government'],5
When did Japan surrender?,['15 August'],5
Locusts destroy what?,['agricultural goods'],4
Several manufacturers offer what?,['external portable USB hard disk drives'],5
What is a VISP?,['virtual ISP'],5
What does pieta mean?,['pity'],5
Who established the Berg-Schola?,['Court Chamber of Vienna'],5
What does Oklahoma mean?,['red people'],5
What is Melungeon?,['genetically to be of European and sub-Saharan African ancestry.'],4
What failure causes surges?,['failure of the underlying bedrock'],5
What are angiosperms?,['plants that produce flowers and have enclosed seeds'],4
what does prajnaparamita mean?,['perfected spiritual insight'],5
Who were the Herculoids?,"['Herc, Coke La Rock, and DJ Clark Kent']",5
What does PRISM do? ,['provides for broad monitoring of Internet users traffic'],5
Where did it sell? ,"[""Christie's auction house on 19 May 2005 for £420,000 (£478,400 including auction fees and taxes)""]",5
What are setae?,['bristles'],4
Where is Midtown Raleigh?,['North of the I-440 Beltline'],5
What weather condition increased?,['Temperatures'],5
Who won the game?,['West Germany'],5
Where did Portuguese originate?,['Galicia and Northern Portugal'],5
Who is John Gulick?,['Rev'],5
Who leads the CAF?,['the Chief of the Defence Staff'],5
What do alleles do?,['encode slightly different versions of a protein'],5
What did Bushido transcend?,"['social class, time and geographic location']",5
Who founded the CSAD?,['Oxford University'],5
Which amendment prevents self-incrimination?,['Fifth'],5
What ocean borders Namibia?,['Atlantic Ocean'],5
Who discovered uranium?,['Martin Heinrich Klaproth'],4
What are cilia?,['fine muscle-powered hairs'],4
What is considered landmark Architecture ,"[""1924 Rietveld Schröder House, which is listed on UNESCO's world heritage sites""]",5
Where do migrants refuel?,['stopover points along the migration route'],5
Where is Agordat located?,['central Eritrea'],5
What did China export?,"['tea, silk and manufactures']",5
Who wrote the Decretum?,['Gratian'],5
Who selects National parks?,['governments or private organizations'],5
What nationality was Meacham?,['American'],5
Who attacks the village?,['Bulblins'],5
Autosomal DNA is what?,"[""a mixture from an individual's entire ancestry""]",5
When was Firefox released?,['late 2004'],5
Who built I-94?,['Henry Ford'],4
What regulates breeding activities?,['photo-receptive cells in'],5
What is tetrachromatic?,"['possessing ultraviolet (UV) sensitive cone cells in the eye as well as green, red and blue ones']",4
What is IMAP?,['Internet Message Access Protocol'],4
what is SONET? ,['synchronous optical networking'],4
What is NOT protected?,['The idea itself'],5
What do VISPs resemble? ,['mobile virtual network operators'],5
Who succeeded Emperor Constantius?,['Julian'],5
What can pathogenes cause?,['human death and disease'],5
What is souvlaki?,['pork and chicken cooked over charcoal'],4
What is a hyparchetype?,['a common intermediate source'],5
What are UTAs?,['unit training assemblies'],4
How is Nirvana achieved?,['practicing the Noble Eightfold Path (also known as the Middle Way)'],5
How is data accessed?,"['by a ""database management system"" (DBMS)']",5
Where was Apprian from?,['Alexandria'],5
Most Southernly town of somerset,"['Chard is the most southerly town in Somerset, and at an altitude of 121 m (397 ft) it is also the highest']",5
What are referees called?,"['Most referees are unnamed and essentially anonymous, though the WWE has let their officials reveal their names.']",5
Who was Kidinnu?,['a Chaldean astronomer and mathematician'],4
Who governs the church?,['the Dean and Chapter of Westminster'],5
What is a misdemeanor?,['minor crimes'],5
What is Renaixenca?,['Catalan literary revival'],4
Who ran Realart Pictures?,['Jack Broeder'],5
Who commands the reserves?,['Chief of Reserves and Cadets'],5
What englishman excavated pompeii?,['Sir William Hamilton'],5
What form is innovative?,['Central Catalan'],5
What is Italian Unification?,['social movement that annexed different states of the Italian peninsula into the single state of Italy'],5
What happened since 1997?,['referendums in Scotland and Wales and the Good Friday Agreement in Northern Ireland'],5
What theory supports this?,['quantum theory'],5
Which actor portrayed Q?,['Ben Whishaw'],5
What did Govenor Bush Realize,"[""that watershed events such as Andrew negatively impacted Florida's backbone industry of tourism severely""]",5
Who owns 19 Recordings?,['19 Entertainment'],5
Who kidnaps Dr. Swann?,['Hinx.'],5
What did Canaanites prohibit?,['intermarriage'],5
When did Ancilla die?,['11 November 1953'],5
Where is Oro Valley?,['in the western foothills of the Santa Catalina Mountains'],5
Who appoints new elders?,['a traveling overseer'],5
What does MANPADS mean?,['Man-Portable Air Defence Systems'],5
John besieged what castle?,['Roche-au-Moine'],5
Who was demonstrating?,['Kazakh students'],4
USB connects what?,['the peripheral and host grounds'],4
Who created Brick?,['Steve Wozniak'],4
What are cirri?,['fused bundles of cilia'],4
What controlled the traction?,['a motor mechanic utilizing a system of toothed wheels'],5
What does REN do?,"['uses sophisticated modeling to predict weather, especially wind patterns, and computer programs to calculate energy from the various renewable-energy plants']",5
What does Primark produce?,['clothing'],5
What is Rio Nuevo?,['a large retail and community center'],5
What is Cluster N?,['the part of the forebrain that is active during migrational orientation'],5
Who is the recipient?,"['knight if male, or dame if female']",5
What did Plato study?,['political systems'],5
Who created the astrolabe?,['the Greeks'],5
Who threatened to retaliate?,['J.J.Calvo'],5
What standardized contract law?,['Uniform Commercial Code'],5
Where was Madonna raised?,['Detroit suburbs of Pontiac and Avon Township'],5
Who was Jan Potocki?,['Polish aristocrat'],5
Who owns Melbourne Water?,['the Victorian Government'],5
Who wrote Pulcinella?,"[""Stravinsky's""]",4
Theravada escapes what cycle?,['suffering and rebirth'],5
Who founded Audiophile Records?,['Ewing Dunbar Nunn'],5
Who attacked the abbey?,['Puritan iconoclasts'],5
How is culture defined?,['symbolic and behavioral inheritance received from the past that provides a community framework for what is valued'],5
What is nonverbal communication?,['conveying meaning in the form of non-word messages'],5
When was Hipparchus born?,['190'],5
What is a WISP? ,['wireless Internet service provider'],5
Who regulates antibiotic approval?,['FDA'],5
Who is Kevin Faulconer?,['current mayor'],5
Does Paris see snow?,['sometimes sees light snow or flurries'],5
Who founded autosegmental phonology?,['John Goldsmith'],5
What is a plectrum?,['pick'],5
When was Brazil colonized?,"['April 22, 1550']",5
How did Cleoptra die?,['suicide'],5
What happeded between 1927-1934?,['collectivization of agriculture and a rapid expansion of cotton production took place'],5
What is the lilangeni?,"[""Swaziland's currency""]",5
Where are Zagorci located?,['northern Croatia'],5
Who was Saint Denis?,['Christian martyr and patron saint of Paris'],5
Is the trophy decorated? ,"[""the trophy wears is decorated with ribbons in the colours of both finalists, with the loser's ribbons being removed at the end of the game.""]",5
What is the density?,"['11,457 people per square mile']",5
How was Erichtho portrayed?,['stereotypical witch'],5
When did Yugoslavia disintegrate?,['1991'],5
What is Doordarshan?,"[""the Government of India's public service broadcaster""]",4
Who does sunset limited service ,"['Sunset Limited, which travels across the southern United States via New Orleans, Houston, and San Antonio to its western terminus of Los Angeles']",5
When do birds molt?,['varies with some species'],5
When was Galdan killed?,['Dzungar–Qing War'],5
Who directed Spectre?,['Sam Mendes'],4
Who is Samantha Power?,"[""Barack Obama's Special Assistant to the President on Human Rights""]",5
What is the SACU?,['Southern African Customs Union'],5
Who carried the castle?,['the 4th Division'],5
What is the USAF?,['the aerial warfare service branch of the United States Armed Forces'],5
How idealistic were samurai?,['as practical on the battlefield as were any other warrior'],5
Who resigned in 1954?,['Naguib'],5
What represents statistical redundancy?,['Lossless compression'],5
What does URL mean?,['Uniform Resource Identifier'],5
What means ,['Advaita'],2
Who did Henry marry?,['Eleanor of Aquitaine'],5
Which countries signed ACTA?,"['United States, Japan, Switzerland, and the EU']",5
Where is St Greggorys abbey,"['is at Stratton-on-the-Fosse, and the ruins of the former Cistercian Cleeve Abbey are near the village of Washford']",5
What are Special Operations? ,"['operations conducted in hostile, denied, or politically sensitive environments']",5
What are reception statutes?,['the common law of England (particularly judge-made law) is the law of the state'],5
When was Southport added?,['1905'],5
what is qbuzz,['Local buses in Utrecht are operated by Qbuzz – its services include a high-frequency service to the Uithof university district'],3
What does the Trust invest,['The foundation trust invests undistributed assets'],5
What breed was Laika?,['husky-terrier mix'],5
When was Lincoln elected?,['1860'],5
What are Lipananahay?,['Armenians from Lebanon'],4
What are incunabula's? ,['documents printed before 1500'],5
What does Tyche mean?,['luck'],5
What is khorovats?,['an Armenian-styled barbecue'],4
What does tathagatagarbha mean?,['Buddha-nature'],5
Printed word enabled what?,['a faster propagation of new ideas'],5
Who developed pragmatism?,['Charles Sanders Peirce and William James'],4
What are otsagorgs?,['serpent-carpets'],4
What do many towns encourage ,"[""Many towns have encouraged small-scale light industries, such as Crewkerne's Ariel Motor Company, one of the UK's smallest car manufacturers""]",5
What is OSHA?,['Occupational Safety and Health Administration'],4
When is empirical started?,['before the doctor knows the exact identification of microorgansim'],5
