Question,GT Answer,"qrecc-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","qrecc-long_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",qrecc-long_vanilla_gpt-3.5-turbo-1106_google,qrecc-long_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,qrecc-long_multihop_gpt-3.5-turbo-1106_google,qrecc-long_dsp+sample_gpt-3.5-turbo-1106_google,qrecc-long_dsp+knn_gpt-3.5-turbo-1106_google
Where were the fishermen traveling directly to for the trades along the Atlantic in the Origins of North American fur trade?,['The fishermen of the North American fur trade traveled near the Newfoundland coast and transport fish back to Europe for sale'],North America,Northeastern Canada,The fishermen were traveling directly to the Grand Banks of Newfoundland.,Tadoussac near the confluence of the St. Lawrence and Saguenay Rivers,The fishermen were traveling to the Atlantic coast.,Northeastern Canada,Northeastern Canada
"What was the conclusion of McCormick's Calamity Jane claim she had been married to Hickok, supposed father of McCormick?",['Calamity Jane says she had been married to Hickok and that Hickok was the father of McCormick'],Hickok was the father of McCormick,McCormick's claim was false.,McCormick's claim was dismissed.,Calamity Jane claimed she had been married to Hickok and that he was the father of McCormick.,"McCormick claimed to be the daughter of Calamity Jane and Wild Bill Hickok, and that they had married.",Disputed,McCormick's claim was greatly disputed.
What was Marilyn Chambers doing in this period when she believed her celebrity as the star of Behind the Green Door and the Ivory Snow girl would be a stepping stone to other endeavors?,"['The paradox was that, as a result of Green Door, Hollywood blackballed me, Marilyn Chambers said later.']",Marilyn Chambers was dreaming of having a career in mainstream films.,Marilyn Chambers returned to the adult film industry with 1980's Insatiable.,Marilyn Chambers was working as a model and actress.,She was an adult film actress.,"Marilyn Chambers returned to the adult film industry with 1980's Insatiable, where she played the role of Sandra Chase.",Transitioning to mainstream films and modeling.,Transitioning to mainstream films and modeling.
"Did Rascal Flatts win any awards for These Days, Love You Out Loud, I Melt, or Mayberry?","[""Melt by Rascal Flatts included two more Top 10 hits with Love You Out Loud I Melt, and Mayberry. The latter became the band's second number one.""]","Yes, for ""These Days""","Yes, for ""I'm Movin' On"" and ""Mayberry""","Yes, Rascal Flatts won the 2003 CMA Horizon Award.","Yes, for ""These Days""","Yes, Rascal Flatts won the 2003 CMA Award for Vocal Group of the Year.","Yes, Rascal Flatts won awards for ""These Days"" and ""I'm Movin' On"".","Yes, Rascal Flatts won awards for ""These Days"", ""Love You Out Loud"", ""I Melt"", and ""Mayberry""."
What was Ranveer Singh's next role after he played a conman Ricky Bahl who cons girls for a living but finally meets his match?,"[""Ranveer Singh's next release was Lootera, a period romance, written and directed by Vikramaditya Motwane, and co-starring Sonakshi Sinha.""]",Ram in Goliyon Ki Raasleela Ram-Leela,Ram in Goliyon Ki Raasleela Ram-Leela,Ranveer Singh played the role of Varun Srivastav in the film Lootera.,Bengali criminal,Ladies vs Ricky Bahl,"""Rocky Aur Rani Ki Prem Kahani""",Rocky Aur Rani Ki Prem Kahani
I think there are 7 games in the world series itself. How many did they win during Kirby Puckett's first world series?,['The Minnesota Twins defeated the Cardinals four games to three to win the Series.'],Seven games,Seven games,The Minnesota Twins won the 1987 World Series in seven games.,4,The Minnesota Twins won the 1987 World Series in seven games.,4 games,The Minnesota Twins won the 1987 World Series in seven games.
"What other achievements did Gwen Stefani have besides several music awards, including one Grammy Award, four MTV Video Music Awards, one American Music Award, one Brit Award, and two Billboard Music Awards?","['With the band, No Doubt, Gwen Stefani has won two Grammy Awards.']",a World Music Award,"American Music Award, Brit Award, World Music Award, and two Billboard Music Awards","Stefani has also been recognized for her fashion and business ventures, including an award for Fashion Icon at the 2019 People's Choice Awards.",Two MTV Video Music Awards,CMT Music Awards,Fashion icon and successful fashion brand L.A.M.B.,"Gwen Stefani has made a name for herself as a fashion icon, launching her successful fashion brand L.A.M.B."
Did any more tragedies happen to Virginia Woolf during her unhappy years beside her father and mother's deaths?,"[""Virginia's father's death precipitated a further breakdown. Later, Virginia would describe this time as one in which she was dealt successive blows as a broken chrysalis with wings still creased.""]","Yes, Virginia Woolf also lost her half-sister and brother, and suffered from periods of acute depression and insanity.","Yes, her half sister was mentally deranged.","Virginia Woolf's half-sister, Laura Makepeace Stephen, died in 1945.","Yes, Virginia Woolf also lost her brother Thoby.","Yes, Virginia Woolf also suffered the death of her half-sister and her husband's suicide.","Yes, Virginia Woolf experienced multiple tragedies in her life, including the deaths of her parents and her own mental breakdowns.","Yes, Virginia Woolf also experienced mental breakdowns and attempted suicide."
"What did the setting of Cooper's second novel The Spy in Rye, New York have in common to his life","[""Cooper's The Spy action centers around spying and skirmishing taking place around what is believed to be his friend John Jay's family home The Locusts in Rye, New York.""]","The setting of Cooper's second novel in Rye, New York was where he was living at the time.","The setting of Cooper's second novel The Spy in Rye, New York had in common with his life a connection to the ""Neutral Ground"" and the Westchester militia.","The setting of The Spy in Rye, New York, was similar to Cooper's life as he was born and raised in Rye.",Scenic setting and believable characters,"The setting of The Spy in Rye, New York is related to Cooper's life through his connection to John Jay.",Both the setting of The Spy and Cooper's upbringing in Manhattan were inspirations for the novel.,"The setting of Cooper's second novel The Spy in Rye, New York was inspired by the bucolic lands outside Manhattan, where Cooper attended school during his youth."
What other work did Verity Lambert do after she was sacked from this job as secretary at Granada Television after six months?,"['Following her dismissal from Granada, Verity Lambert took a job as a shorthand-typist at ABC Television.']",production secretary working on a program called State Your Case,Became the secretary to the company's Head of Drama and then a production secretary working on a program called State Your Case,She became the BBC's first female producer.,Shorthand-typist at ABC Weekend TV,"She worked as a shorthand-typist at ABC Weekend TV, became the secretary to the company's Head of Drama, worked in the film industry for Thorn EMI Screen Entertainment, and ran her own production company, Cinema Verity.",Typist for a hotel and a lawyer's office,Shorthand-typist at ABC Weekend TV
What other events happened to Verity Lambert besides working on Armchair Theatre and also early episodes of The Avengers?,"['While Verity Lambert was working as a Production Assistant on Armchair Theatre, an actor died during a broadcast of Underground.']",Verity Lambert became Head of Drama at Thames Television in 1974 and produced shows like The Naked Civil Servant and Rock Follies.,Verity Lambert was awarded an OBE in 2002.,Lambert was the founding producer of the science fiction series Doctor Who.,"Verity Lambert was also executive producer on the highly-regarded Euston series Out, Minder, Quatermass, Fox, and Danger UXB.","Verity Lambert also produced Adam Adamant Lives!, The Naked Civil Servant, Rock Follies, Minder, and Widows.",Verity Lambert produced the science-fiction series Doctor Who from 1963 until 1965.,Verity Lambert produced the science-fiction series Doctor Who and became Head of Drama at Thames Television.
"What are the other movies Stewart Copeland has worked on besides Airborne, Talk Radio, Wall Street, Riff Raff, Raining Stones, Surviving the Game, See No Evil, Hear No Evil, and Highlander II: The Quickenin?","[""Stewart Copeland composed soundtracks for She's Having a Baby, The First Power, Taking Care of Business, West Beirut, I am David, Riding the Bus with My Sister, and Good Burger.""]","She's Having a Baby, The First Power, Fresh, Taking Care of Business, West Beirut, and I am...","Men at Work, Good Burger, and We Are Your Friends","Copeland has also worked on the soundtracks for the films She's All That, Little Nicky, and Desperate Measures.","Men at Work, Hidden Agenda, The First Power, Fresh, Taking Care of Business, and West Beirut","Rumble Fish, South Park: Bigger, Longer & Uncut, Men at Work, Good Burger, We Are Your Friends","She's Having a Baby, The First Power, Fresh, Taking Care of Business, West Beirut, I am...","She's Having a Baby, The First Power, Fresh, Taking Care of Business, West Beirut, I am..."
"Did Stewart Copeland work on other tv shows besides The Equalizer, Dead Like Me, Star Wars: Droids, the pilot for Babylon 5, Nickelodeon's The Amanda Show, and The Life and Times of Juniper Lee as well?","[""Stewart Copeland composed soundtracks for the pilot for Babylon 5, Nickelodeon's The Amanda Show, and The Life and Times of Juniper Lee.""]",The Amanda Show,Yes.,"Yes, he also worked on the TV show The Racer's Edge.",Yes.,"Yes, he also worked on the TV show The Equalizer, Dead Like Me, Star Wars: Droids, the pilot for Babylon 5, Nickelodeon's The Amanda Show, and The Life and Times of Juniper Lee.",Yes,Yes.
Did the American band Skid Row work with any other bands during the time they opened for the 2000 Kiss Farewell Tour?,['Prunella Scales was the side project of the American band Skid Row bass player Rachel Bolan.'],Poison and INXS's bassist Garry Gary Beers,"Yes, they worked with Poison and INXS's bassist Garry Gary Beers.",Skid Row opened for Kiss on their Farewell Tour in 2000.,"Yes, Skid Row also played with other 1980s metal bands such as Poison and INXS's bassist Garry Gary Beers.","Yes, Skid Row also opened for Ted Nugent during the 2000 Kiss Farewell Tour.","Yes, Skid Row also played with other 1980s metal bands such as Poison and INXS's bassist Garry Gary Beers.",Yes
What was the other measure introduced by Luigi Luzzatti besides the measure involving the industrial workmen's compensation scheme in 1883?,['A voluntary fund for contributory disability and old age pensions was created by Luigi Luzzatti.'],A voluntary fund for contributory disability.,"Workers' cooperatives, credit unions, and voluntary insurance schemes",Luzzatti introduced a measure to reduce the tax on flour.,Compulsory accident insurance,Compulsory accident insurance,The other measure introduced by Luigi Luzzatti in 1898 is not specified in the sources.,Compulsory accident insurance
What were some other details about Corazon Aquino's agrarian land reform besides how landowners ceded land to tenant-farmers and its motivation?,['Landowners under the Comprehensive Agrarian Reform Law could voluntarily divest a proportion of their equity to others in lieu of turning over their land to the government for redistribution.'],"The law became effective on June 15, 1988.","Corazon Aquino signed Republic Act No. 6657 into law on June 10, 1988.",The Comprehensive Agrarian Reform Program (CARP) was a land reform law mandated by the 1987 Philippine Constitution.,The law was known as the Comprehensive Agrarian Reform Law (CARL).,The program also institutionalized a judicial system for implementation.,"The law became effective on June 15, 1988.",The law aimed to promote social justice and industrialization.
"What is an example presented by Dinesh D'Souza in his documentary, America: Imagine the World Without Her?","[""Setting the stage for presenting their views, D'Souza and Sullivan in the film America: Imagine the World Without Her provide counterfactual histories like killing George Washington during the Revolutionary War.""]","The rarity of a ""great war fought to end slavery"" like the American Civil War","The treatment of Native Americans, slavery, the transfer of Mexico, and its colonialist behavior",D'Souza presents the example of the United States purchasing Alaska from Russia in 1867.,The American Civil War,A world without America,"The rarity of a ""great war fought to end slavery"" like the American Civil War.","The rarity of a ""great war fought to end slavery"" like the American Civil War."
"Are there any other aspects about the band, The Devil Wears Prada's album With Roots Above and Branches Below besides it's writing and recording?",['The sales of With Roots Above and Branches Below have been very satisfactory which brought it to position No. 11 on the Billboard 200 for top albums upon its release.'],"The album peaked at number one on the Billboard Top Independent Albums, Top Hard Rock Albums, and Christian Albums charts.","The album was released on May 5, 2009.","The album was released on May 5, 2009.","The album was released on May 5, 2009.",Positive reviews and comparisons.,"Released on May 5, 2009.",Experimental blend of heavy breakdowns and vocal styles.
"What is another race that Stirling Moss participated in during this time besides the London-Sahara-Munich World Cup Rally, the 1976 Bathurst 1000, and the 1979 Benson & Hedges 500?","['On 9 June 2011, Moss announced on Radio Le Mans that he had finally retired from racing, saying that he had scared himself that afternoon. He was 81.']",1955 Mille Miglia,1000 km Nürburgring,The 1955 Mille Miglia,Mille Miglia,Mille Miglia,1974 London-Sahara-Munich World Cup Rally,1974 London-Sahara-Munich World Cup Rally
"Did his wife, Rochelle Rocky Parker, involve herself with Patrick Dempsey's acting after they were married?",['Parker appeared with Dempsey in the film In the Mood (September 1987).'],Yes.,Yes,Parker was an actress and acting coach.,Yes.,Yes,Yes.,"Yes, Rocky Parker involved herself with Patrick Dempsey's acting after they were married."
What happened next after the album Chicago Transit Authority was certified platinum by the Recording Industry Association of America (RIAA)?,['The band was Chicago booked to perform at Woodstock in 1969.'],The album was certified gold in February 1971.,The album was certified double platinum.,The band changed its name to Chicago.,The band toured the album.,The artist or label applies for the certification through the RIAA.,The album continued to sell well and gain popularity after its initial certification.,The album continued to sell well and gain popularity.
What was the name of one of the songs in the debut album by Big Brother and the Holding Company?,"['The first single released was Blind Man b/w All Is Loneliness, both from the album sessions, in July 1967.']","Bye, Bye Baby","""Down on Me""",Down on Me,"""Blind Man""","""Bye, Bye Baby""","""Bye, Bye Baby""","""Bye, Bye Baby"""
Were there any issues that Earth Crisis was concerned about besides a straight edge and vegan lifestyle and animal rights?,"[""Most of Earth Crisis focus on rejection of recreational drugs, animal products, animal testing, industrial livestock production, illegal drug trade, and earth's impending doom caused by wars or ecological collapse.""]","Yes, social and political issues","Yes, they addressed further social and political issues.",Earth Crisis was also concerned about environmental issues and the human rights issues.,"Yes, Earth Crisis was also concerned about environmentalism and deep ecology.","Yes, Earth Crisis has addressed social and political issues in their music.",Yes.,"Yes, Earth Crisis addressed further social and political issues."
"Does Earth Crisis sing about other topics besides rejection of recreational drugs, animal products, animal testing, industrial livestock production, illegal drug trade, and earth's impending doom caused by wars or ecological collapse?","['On the other hand, Earth Crisis promote straight edge, veganism, self-empowerment and organizations such as Earth First!, Sea Shepherd Conservation Society and the Animal Liberation Front.']",Yes.,No.,Earth Crisis also addresses personal empowerment and social justice issues in their music.,"Yes, Earth Crisis also sings about environmental issues and climate change.","Yes, Earth Crisis addresses a variety of social and political issues in their music.","No, Earth Crisis primarily sings about rejection of recreational drugs, animal products, animal testing, industrial livestock production, illegal drug trade, and earth's impending doom caused by wars or ecological collapse.","No, their lyrical themes primarily focus on those topics."
"Any other topics the band Earth Crisis address besides rejection of recreational drugs, animal products, animal testing, industrial livestock production, illegal drug trade, and earth's impending doom caused by wars or ecological collapse; and promoting straight edge, veganism, self-empowerment and organizations such as Earth First!, Sea Shepherd Conservation Society and the Animal Liberation Front?","[""Other subjects include criticism against white supremacy and, especially on Breed the Killers, oppressive governments. 2000's record Slither incorporated more topical issues, such as genetic engineering and second amendment rights.""]",No.,No.,"The band also addresses issues such as human rights, environmentalism, and social justice.","Social justice, environmentalism, and activism","Environmentalism, human rights, political activism","Yes, Earth Crisis also addresses environmental degradation, capitalism, and human liberation.",Environmental degradation and capitalism
Did the Stone Sour song Absolute Zero make it on to the House of Gold and Bones Part 1 album?,"[""Absolute Zero is the second track on Stone Sour's House of Gold & Bones - Part 1.""]",No,Yes.,"Yes, it did.",Yes.,Yes.,Yes.,Yes.
What did the character impersonating John Travolta do in the episode Trapped in the Closet (South Park)?,['Travolta and R. Kelly sing to Tom Cruise to come out of the closet. Travolta and Kelly eventually join Cruise in the closet.'],Ended up in the closet with Tom Cruise.,Hid in the closet,"The character impersonating John Travolta in the South Park episode ""Trapped in the Closet"" was Tom Cruise.",Ended up in the closet,Tried to get Tom Cruise to come out of the closet.,Involved in a plot related to Scientology,Involved in a plot related to Scientology
What happened to make Tom Cruise not want to come out of the closet in the episode Trapped in the Closet (South Park)?,"[""Hubbard replies that his acting is okay but not as good as others', Tom hears that he's a failure in the eyes of the prophet, locking himself in Stan's closet.""]","He heard that he is ""a failure in the eyes of the prophet"" and locked himself in Stan's closet.","Called ""a failure in the eyes of the prophet""",Tom Cruise locks himself in Stan's closet and refuses to come out.,Tom Cruise locks himself in Stan's closet.,He was portrayed as a literal closeted homosexual.,"He was told he is ""a failure in the eyes of the prophet.""","He was told he is ""a failure in the eyes of the prophet."""
"Describe other aspects of Norm Oneill's style besides being a dynamic stroke maker, having an ability to score at a high pace, and notable nimble footwork.","[""Norm O'Neill particularly liked to sweep the slower bowlers.""]","Powerful back-foot strokes, crowd favorite",O'Neill was a right-handed batsman.,Norm O'Neill was also known for his aggressive and attacking style of play.,Spin bowling and strong fielding.,"Strong defensive technique, solid against spin, and anchoring ability.",Right-handed batsman for New South Wales and Australia,Right-handed batsman for New South Wales and Australia.
"What more followed winning the NWA United National Championship on October 14, 1983 in a tournament defeating Lawler by forfeit for Ted DiBiase?","[""Three months later, on January 28, 1984, DiBiase lost the title to Michael Hayes. DiBiase's mother Helen Hild died two months later in March 4, 1984.""]",Ted DiBiase lost the title to Michael Hayes.,DiBiase lost the title to Michael Hayes and his mother died two months later.,"Hansen won the NWA Missouri Heavyweight Championship on November 25, 1983.",Lost the title to Michael Hayes.,PWF Heavyweight Championship,DiBiase lost the title to Michael Hayes.,DiBiase lost the title to Michael Hayes
"What followed Ted DiBiase and Stan Hansen defeating The Holy Demon Army on September 3,1993 for the World Tag Team Championship?","[""On November 13, 1993, DiBiase and Hansen would be stripped of the title so it could be put on the line for the 1993 World's Strongest Tag Determination League.""]",They were stripped of the title.,The Holy Demon Army won their fifth Tag Team Championship.,"The Holy Demon Army regained the titles on September 10, 1993.",The Holy Demon Army won their fifth Tag Team Championship.,They were stripped of the titles.,They were stripped of the titles.,They were stripped of the titles.
What happened after the first season of Rowan & Martin's Laugh-In featured some of the first music videos seen on network TV?,"['During the September 16, 1968, episode, Richard Nixon, running for president, appeared for a few seconds with a disbelieving vocal inflection, asking Sock it to me?']",The cast members appeared in films set to the music of the Nitty Gritty Dirt Band,It quickly became the most popular television show in the United States.,The show won the Golden Globe for Best Television Show.,The show continued for six seasons (1968–73).,The second season followed.,"Cast members appeared in films set to the music of the Nitty Gritty Dirt Band, the Bee Gees, the Temptations, the Strawberry Alarm Clock, and the First Edition.","Cast members appeared in films set to the music of the Nitty Gritty Dirt Band, the Bee Gees, the Temptations, the Strawberry Alarm Clock, and the First Edition."
What other memorable moments in the memoriable moments section for Rowan & Martin's Laugh-In besides some of the first music videos seen on network TV and Richard Nixon's apperance?,"['On multiple occasions, producer George Schlatter attempted to get William F. Buckley Jr. to appear on the show, only to be refused each time until he suddenly agreed to appear.']",Goldie Hawn's memorable moments,"Catch phrases like “sock it to me,” “verrrry interesting,” and “look that up in your Funk & Wagnalls”","The show also featured the first televised appearance of Tiny Tim, the wedding of Tiny Tim and Miss Vicki, and the first appearance of the Farkel Family.","The show introduced catch phrases like “sock it to me,” “verrrry interesting,” and “look that up in your Funk & Wagnalls.”","""Sock it to me"" and ""Here come da judge"" sketches","""The show also featured the popular catchphrase 'Sock it to me' and launched the careers of several comedians.""",Rapid-fire one-liners and knockabout comedy
why did Koolhaas and his think-tank AMO decide to unite the flags in their proposal of the European Flag?,"['The barcode seeks to unite the flags of the EU member countries into a single, colourful symbol.']",To create a new representative flag for the European Union.,To merge the flags of current EU member states into a new representative flag,The European Flag was designed by Arsène Heitz and Paul M. G. Lévy in 1955.,"To unite the flags of the EU member countries into a single, colorful symbol.",To represent the unity of Europe.,To symbolize unity and diversity within Europe.,To symbolize unity and diversity within Europe.
What was one of the other 6 points in the reform suggested by the White Revolution besides calling for land reform?,['The White Revolution proposed electoral changes to enfranchise women and allow non-Muslims to hold office.'],"Construction of an expanded road, rail, and air network","Construction of an expanded road, rail, and air network",The White Revolution also called for the nationalization of forests and pasturelands.,Sale of state-owned factories,Extension of voting rights to women,Sale of state-owned factories,Industrial growth
"What was one of the remaining points of the White Revolution reform besides calling for electoral changes to enfranchise women, a literacy campaign for the nation's schools, as well as land reform?","[""Nationalization of the nation's forest.""]",Land redistribution,Eradication of diseases such as malaria,The White Revolution also called for the nationalization of forests and pasturelands.,profit-sharing in industry,Industrial expansion and increased per capita income.,Nationalization of forests and pastures,nationalization of forests and pastures
"Any other countries that had takes on That Was The Week That Was besides Canada, the Netherlands, and New Zealand?","['An Australian show, The Mavis Bramston Show, aired from 1964 to 1968 on the Seven Network.']",No.,No.,"Yes, the United States also had a version of That Was The Week That Was.",The United States,"Yes, the show was also broadcast in Australia.",Likely yes.,"Yes, the United States also had a version of ""That Was the Week That Was."""
"What is significant in the article on Hate Crew Deathroll that you think I should know other than if it's an album, the name of the song Bodom Beach Terror, and what the album was about?",['Hate Crew Deathroll was released January 2003 in Finland.'],It confirmed Children of Bodom as one of the most important metal bands of their generation.,"Hate Crew Deathroll is the fourth studio album by Finnish melodic death metal band Children of Bodom, released in 2003 under the Century Media label",The album was released in 2003.,"""Needled 24/7"" was featured on the heavy metal documentary Metal: A Headbanger's Journey and the 2012 horror comedy video game Lollipop Chainsaw.",The impact it left on the wider metal world.,Controversy and discussion about Alexi Laiho's vocal performance.,Controversy and discussion about the vocal performance of Alexi Laiho
Are there any interesting aspects about the Havoc and Bright Lights period of Alanis Morissette's career from 2011-2014?,"['On November 20, 2011, Alanis Morissette appeared at the American Music Awards.']",Havoc and Bright Lights received mixed reviews from music critics.,Mixed reviews from music critics; three singles released.,Alanis Morissette's album Havoc and Bright Lights was released in 2012 and debuted at number five on the Billboard 200 chart.,"""Havoc and Bright Lights"" was Alanis Morissette's eighth studio album, released in 2012.",Mixed reviews for Havoc and Bright Lights.,"Yes, ""Havoc and Bright Lights"" by Alanis Morissette had three singles released from it, including ""Guardian.""","""Havoc and Bright Lights"" received mixed reviews from music critics."
Did Alanis Morissette do any more performances during the Havoc and Bright Lights time period of her career besides the duet of Uninvited with Josh Krajcik?,"['Alanis Morissette embarked on a European tour for the summer of 2012, according to Alanis.com.']",No.,No.,"Yes, she performed at the 2012 Juno Awards.",No.,"Yes, Alanis Morissette went on tour to promote her album Havoc and Bright Lights.",Unclear,"Yes, Alanis Morissette embarked on ""The Triple Moon Tour"" during the Havoc and Bright Lights time period."
Did ace of base second album titled The bridge have any other songs besides lucky love and beautiful life?,"[""Never Gonna Say I'm Sorry was released as the third single from the album The Bridge""]",Yes,"Yes, it included ""Never Gonna Say I'm Sorry.""",Don't Turn Around,"Yes, the album also included songs like ""Never Gonna Say I'm Sorry"" and ""Edge of Heaven.""","Yes, the album also included the song ""Never Gonna Say I'm Sorry.""","Yes, the album ""The Bridge"" by Ace of Base contains other songs besides ""Lucky Love"" and ""Beautiful Life"".","Yes, the album ""The Bridge"" by Ace of Base contains other songs besides ""Lucky Love"" and ""Beautiful Life."""
How did the song Never Say Im Sorry released as the third single from the album the bridge  do?,"[""Never Gonna Say I'm Sorry achieved moderate success in Europe, but it failed to chart on the Hot 100 in the US.""]",It was a notable hit and charted in several countries.,As the third single from the album The Bridge,It reached number 4 on the UK Singles Chart.,"As the third single from the album ""The Bridge""",It reached number 7 on the UK Singles Chart.,"It was released as the third single from the album ""The Bridge"" in 1996.",It was released worldwide as the third and final single from the album.
Were Son House's My Black Mama and Preachin' the Blues Son House's original songs or covers?,"[""Son House heard James McCoy playing bottleneck guitar. Two songs he learned from McCoy would later be among his best known: My Black Mama and Preachin' the Blues.""]",Original songs,Original songs,They were original songs.,Original songs,Original songs,Original compositions,Original songs
Is there any thing other than Olmsted's involvement in the state reserve that's interesting in the Frederick Law Olmsted article?,"['In 1891, Olmsted refused to develop a plan for Presque Isle Park in Marquette, Michigan.']","Frederick Law Olmsted was an American landscape architect, journalist, social critic, and public administrator. He had a true commitment to the theory of equitable access to public space for all Americans.",Olmsted's involvement in social reform and anti-slavery causes during the Civil War.,Olmsted is often considered to be the father of American landscape architecture.,Olmsted was the first to use landscape architect as a professional title.,"Olmsted was involved in residential suburbs, city squares, park systems, university campuses, and more.","Yes, Olmsted designed the country's oldest state park, the Niagara Reservation in Niagara Falls, New York.",Olmsted designed 100 public parks.
"Any other important aspects regarding Martha and the Vandellas major hit years besides their success continued with their second Top Ten single and third Top 40 single, Quicksand?","['Annette, who was pregnant with her first child and set to get married, chose to leave her singing career behind by 1964.']","Ten Vandellas songs reached the top ten of the Billboard R&B singles chart, including two R&B number ones, and six Top Ten Pop Hits on the Billboard Hot 100.",Martha and the Vandellas had their first million-seller and their only Grammy Award nomination for Best R&B Performance during their major hit years from 1962-1968.,"Martha and the Vandellas' hit years included the release of their signature song, ""Dancing in the Street,"" in 1964.","""Dancing in the Street""","Yes, their string of hits included ""Come and Get These Memories"", ""Heat Wave"", ""Nowhere to Run"", ""Jimmy Mack"", ""I'm Ready for Love"", and ""Bless You"".","""Dancing in the Street"" was their biggest hit.","""Dancing in the Street"" was their biggest hit."
"Was that true that In the book Freakonomics, Levitt and coauthor Stephen J. Dubner argued that the results of Lott's research in More Guns, Less Crime had not been replicated by other academics?","[""A federal judge found that Steven Levitt's replication claim in Freakonomics was not defamation but found merit in Lott's complaint over the email claims.""]",Yes.,Yes.,"Yes, that is true.",Yes.,Yes.,Yes.,Yes.
What did Sylar do once he was in control of Parkman's body leaving Matt trapped in his own head?,"[""Sylar threatens to murder innocent civilians if Parkman doesn't cooperate. Faced with an ultimatum, Parkman attempts to commit suicide by cop.""]",Took full control of Parkman's body,Took full control of Parkman's body,Sylar used Parkman's body to kill Nathan Petrelli.,Took full control of Parkman's body,Took full control of Parkman's body,Sylar regains full control of his body.,Took over Parkman's body.
What was her most popular single from I Never Loved a Man the Way I Love You by Aretha Franklin?,['Baby I Love You and A Natural Woman.'],"""Respect""","""Respect""",Respect,"""Respect""","""Respect""","""Respect""","""Respect"""
Were any exceptions noted in the article about Jean-Philippe Rameau not working with the same librettists on multiple operas?,"[""Jean-Philippe Rameau didn't work with the same librettists twice with the exception of Louis de Cahusac, who collaborated with him on several operas.""]","Yes, Louis de Cahusac collaborated with Rameau on several operas.","Yes, Louis de Cahusac collaborated with Rameau on several operas.","Rameau worked with Voltaire on two operas, Samson and Zoroastre.",Yes.,Yes.,"There may be exceptions, but Rameau rarely worked with the same librettist twice.","No, there were no exceptions noted."
Did Harry Hopkins do any other public health work besides working for the Bureau of Child Welfare and the Red Cross?,"['Harry Hopkins also became manager of the Bellevue-Yorkville health project, assistant director of the AICP, and executive director of the New York Tuberculosis Association.']",Yes.,"Yes, he became executive director of the New York Tuberculosis Association.",Harry Hopkins also served as the head of the New York Tuberculosis Association.,"Yes, he worked for various social work and public health organizations.","Yes, he was influential in developing the School of Social Work at Tulane University.","Yes, Harry Hopkins did other public health work besides working for the Bureau of Child Welfare and the Red Cross.","Yes, Harry Hopkins worked for the American Red Cross and was influential in developing the School of Social Work at Tulane University."
"How did the soccer officials punish Roy Keane further for a blatant knee-high foul on Alf-Inge Håland other than the initial three-match suspension and £5,000 fine from The Football Association?","['Roy Keane was banned for a further five matches and fined £150,000 in the ensuing investigation.']","Banned for five matches and fined £150,000",There were no further punishments for Roy Keane.,"Roy Keane was fined an additional £150,000 and banned from playing for Manchester United for the rest of the 2001-2002 season.","Fined £150,000 and banned for a further five games","£150,000 fine and five-match ban","Five-game ban and a £150,000 fine","Five-game ban and £150,000 fine"
What other works were produced besides the double A-sided single Common Burn / Lay Myself Down by Mazzy Star after their reformation?,"['On July 13, 2013, Mazzy Star announced details of their fourth studio album, Seasons of Your Day, which was released on September 23, 2013 in the UK.']",Through the Devil Softly,Seasons of Your Day,"Mazzy Star released their fourth studio album, Seasons of Your Day, in 2013.","""Seasons of Your Day""","EP ""Still""","""Seasons of Your Day"" and ""Still""",None
Were there any other works produced besides the double A-sided single Common Burn / Lay Myself Down and the album Seasons of Your Day by Mazzy Star after their reformation?,"[""On April 19, Mazzy Star released two new songs as part of Record Store Day 2014. I'm Less Here and Things were released on 7 vinyl.""]",Still EP,The EP Still in 2018,No.,No.,EP Still,"Yes, Mazzy Star released the EP ""Still"" in 2018.","Yes, Mazzy Star released the EP ""Still"" in 2018."
Did the book A Governor's Story: The Fight For Jobs and America's Economic Future by Jennifer Granholm and her husband get published?,"[""The book A Governor's Story: The Fight For Jobs and America's Economic Future by Jennifer Granholm and her husband was released in September 2011.""]",Yes,Yes,"Yes, the book was published in 2011.",Yes.,Yes.,"Yes, the book A Governor's Story: The Fight For Jobs and America's Economic Future by Jennifer Granholm and her husband was published.",Yes.
What was the name of the American Latin freestyle vocal group Exposé song that appeared on a movie soundtrack?,"[""In 1995, Exposé recorded I'll Say Good-Bye for the Two of Us, which appeared on the soundtrack of the film Free Willy 2: The Adventure Home.""]",I'll Say Good-Bye For The Two Of Us,"""I'll Say Good-Bye for the Two of Us""","""Point of No Return"" appeared on the soundtrack for the movie ""The Running Man.""","""I'll Say Good-Bye for the Two of Us""","""I'll Say Good-Bye for the Two of Us""","""I'll Say Good-Bye for the Two of Us""","""I'll Say Good-Bye for the Two of Us"""
