Question,GT Answer,hotpotqa-medium_react_text-davinci-002_google,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",hotpotqa-medium_vanilla_gpt-3.5-turbo-1106_google,hotpotqa-medium_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,hotpotqa-medium_multihop_gpt-3.5-turbo-1106_google,hotpotqa-medium_dsp+sample_gpt-3.5-turbo-1106_google,hotpotqa-medium_dsp+knn_gpt-3.5-turbo-1106_google
"Who is affiliated with more countries as a director, Robert Florey and R. G. Springsteen?",['Robert Florey'],Robert Florey,Robert Florey,R. G. Springsteen,R. G. Springsteen,Robert Florey,Robert Florey,Robert Florey,Robert Florey
Born 2 B.R.E.E.D. was co-written by the late singer-songwriter who has sold over how many records worldwide?,['100 million'],100 million,16 million,150 million,50 million records,Prince,over 100 million,over 100 million,100 million
 What term was used in the North-West Derby  to disparge their rivals?,['Mickey Mouse Cup'],,North-West Derby,North West Derby,Manc twats,North-West Derby,"""Mancs""","""terrace tragedy tennis""",vendetta and blood feud
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,['business district'],,historic business district,historic business district,urban district,historic business district,historic business district,historic business district,Historic business district
"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",['Monica Lewinsky'],Monica Lewinsky,Kathleen Willey,Monica Lewinsky,Monica Lewinsky,Kathleen Willey,Monica Lewinsky,Monica Lewinsky,Monica Lewinsky
Which terrorist group was the cause of the battle in which Mark E. Michell won an award for his actions?,['al-Qaeda'],Taliban,Taliban,Taliban,Islamic State of Iraq and the Levant,Taliban,Taliban,al-Qaeda,Taliban
What is the name of the so-called reform opera for Vienna that came before the one first performed in Vienna in the presence of Empress Maria Theresa?,"['""Alceste""']",Paride ed Elena,Orfeo ed Euridice,Orfeo ed Euridice,La finta semplice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Paride ed Elena
From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,['Phoenician alphabet'],Greek alphabet,Phoenician alphabet,North Semitic alphabet via that of the Phoenicians,Greek alphabet,Phoenician,Phoenician alphabet,Phoenician script,Phoenician alphabet
Wim Jonk manages Cruyff Football together with the footballer who is also currently manager of which team?,['Tel Aviv'],,Shenzhen FC,Eredivisie club Volendam,FC Volendam,Volendam,Ecuador,FC Volendam,FC Volendam
"Which band has released more albums with their original members, Sick Puppies or Third Eye Blind?",['Sick Puppies'],Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind
How long is the road the A12 is a part of?,['5320 km'],177 miles,129 mi (208 km),"6,530 km",127 miles,129 miles,115.6 mi,118.8 mi,129 miles (208 km)
"Egremont Castle is located in what market town, civil parish, and two electoral wards in the Borough of Copeland in Cumbria, England?",['Egremont'],"Egremont, Cumbria",Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont
How many chapters does Yōko Shōji's most famous manga have?,['24'],24,Nonfactual,24,six volumes with 36 chapters,56 chapters,24 chapters,24 chapters,24 chapters
Agnes Body was the founding head of a state secondary school located on what road?,['Wragby Road'],,Wragby Road,Lincoln Christ's Hospital Girls' High School,Bath Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road
Dance and Laugh Amongst the Rotten is a studio Album by a band from which country ?,['the Netherlands'],the Netherlands,Netherlands,Netherlands,Netherlands,Dutch,Netherlands,Dutch,Dutch
What star in the film Up at the Villa has earned the title of knighthood?,['Sir Derek George Jacobi'],Kristin Scott Thomas,Stanley Baker,Kristin Scott Thomas,Sean Connery,Kristin Scott Thomas,James Fox,Derek Jacobi,Derek Jacobi
What competitions does Lai Shiu Wing team compete participate in? ,['FIFA World Cup'],I cannot find the competitions Lai Shiu Wing team competes in.,"Kitchee, Eastern, Sing Tao SC, and South China",Olympic Games 1948,Dragon boat racing,football and Asian Games,international football,"Olympic Games, Dynasty Cup, East Asian Football Championship",EAFF E-1 Football Championship
What did both Karel Bossart and Sergei Korolev design?,['rocket'],rocket designer,Rockets,spacecraft and launch vehicles,spacecrafts,rockets,rockets,rockets,Rockets
Who wrote the 1970 international hit song Murray Head is most recognized for?,['Andrew Lloyd Webber and Tim Rice'],Andrew Lloyd Webber,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Tim Rice,Andrew Lloyd Webber and Tim Rice,Murray Head,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice
Bridgewater Triangle is an area where the phenomenon associated with what type of tradition has been seen?,['Native American'],paranormal phenomena,Paranormal tradition,Paranormal tradition,folklore,paranormal tradition,paranormal,paranormal tradition,paranormal
EM,,0.3310810810810811,0.39864864864864863,0.4189189189189189,0.2972972972972973,0.3581081081081081,0.4189189189189189,0.4189189189189189,0.4391891891891892
F1,,0.40687473187473183,0.5148219648219647,0.5333182208182208,0.40625804375804375,0.4543173043173043,0.5192138567138567,0.5717347217347216,0.5671975546975547
elapsed time,,5.337303047244613,64.33914231609654,83.02945655101054,1.7867475184234414,4.935552431119455,7.607976293241656,19.200602442831606,51.64565074604911
