Question,GT Answer,"qrecc-short_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","qrecc-short_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",qrecc-short_vanilla_gpt-3.5-turbo-1106_google,qrecc-short_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,qrecc-short_multihop_gpt-3.5-turbo-1106_google,qrecc-short_dsp+sample_gpt-3.5-turbo-1106_google,qrecc-short_dsp+knn_gpt-3.5-turbo-1106_google
Can anemia go away?,['Your iron deficiency anemia symptoms should start to go away after about a week of taking iron supplements. Your doctor will check your blood to see if it has improved.'],Yes,"Yes, but it can also be chronic.","Anemia can be temporary or long term, depending on the cause.",Anemia may never go away completely.,"Yes, with proper treatment.","Yes, anemia can go away.","Yes, anemia can go away."
Does smoking cause cancer?,"['Each cigarette can damage DNA in many lung cells, but it is the build up of damage in the same cell that can lead to cancer. However research has shown that for every 15 cigarettes smoked there is a DNA change which could cause a cell to become cancerous.']","Yes, smoking causes cancer.",Yes.,"Yes, smoking is the leading cause of cancer and death from cancer.",Yes.,"Yes, smoking does cause cancer.",Yes.,"Yes, smoking causes cancer."
Who is Ai Weiwei?,['Ai Weiwei is a Chinese contemporary artist and activist.'],Ai Weiwei is a Chinese artist and activist.,"Chinese artist, activist, and documentarian",Ai Weiwei is a Chinese contemporary artist and activist.,"Ai Weiwei is a Chinese contemporary artist, documentarian, and activist.","Ai Weiwei is a Chinese artist, activist, and documentarian.","Ai Weiwei is a Chinese artist, activist, and documentarian known for his political commentary and activism on human rights issues.","Ai Weiwei is a Chinese artist, activist, and documentarian known for his political commentary and activism on human rights issues."
what is carbon's nickname,['Carbon has often been referred to as the king of the elements.'],coal or charcoal,carbo,"Carbon is often referred to as the ""building block of life.""","The nickname for carbon is ""coal"" or ""charcoal.""",King of the Elements,"Graphite, soot","Graphite, Soot"
whats the Tuamotus island history,"['The Tuamotus, are a French Polynesian chain of almost 80 islands and atolls forming the largest chain of atolls in the world.']",settled around 1110 CE,settled around 1110 CE,The Tuamotus were first settled by Polynesians around 200 AD.,"settled around 900-1200 CE, became French protectorate in 19th century","Settled in the 10th to 13th century, became a French protectorate in the 19th century.",The early history of the Tuamotus islands is generally unknown.,The early history of the Tuamotus islands is generally unknown.
Was Miyamoto Musashi popular?,"[""It is difficult to separate fact from fiction when discussing Miyamoto Musashi's life. There have been numerous works of fiction made about or featuring Musashi.""]",Yes,Yes,"Miyamoto Musashi was a legendary swordsman and the author of The Book of Five Rings, a classic work on strategy, tactics, and philosophy.","Yes, Miyamoto Musashi was popular.","Yes, Miyamoto Musashi was popular.","Yes, Miyamoto Musashi was popular.",Yes
when was Virat Kohli born,['Virat Kohli was born 5 November 1988.'],"November 5, 1988","November 5, 1988","Virat Kohli was born on November 5, 1988.","November 5, 1988","November 5, 1988","November 5, 1988","November 5, 1988"
when was the inc founded,['The India National Congress was founded in 1885.'],"December 28, 1885","December 28, 1885","The INC was founded on July 19, 1903.",1885,"""Inc."" in a company name signifies that the business is a legal entity called a corporation or an incorporated business.",1885,April 1979
What is golgi staining?,['Golgi staining was used by Spanish neuroanatomist Santiago Ramón y Cajal to discover a number of novel facts about the organization of the nervous system.'],Golgi's staining is achieved by impregnating aldehyde fixed nervous tissue with potassium dichromate and silver nitrate.,A silver staining technique,Golgi staining is a method used to visualize neurons under the microscope.,A silver staining technique for visualizing nervous tissue.,A technique to visualize nerve tissue.,Method to visualize neuron structures.,A method to visualize neuronal structures.
where was matt berry born,"['Matt Berry was born in Bromham, Bedfordshire']","Matt Berry was born in Bromham, United Kingdom.","Bromham, United Kingdom","Matt Berry was born in Bromham, Bedfordshire, England.","Bromham, Bedfordshire, United Kingdom","Bromham, Bedfordshire, England","Bromham, Bedfordshire, England, UK","Matt Berry was born in Bromham, Bedfordshire, England, UK."
what is a ticket scalper,['A ticket scalper is an unauthorized ticket speculator who buys tickets to a performance or sports event and resells them at inflated prices.'],An unauthorized ticket speculator who resells tickets at inflated prices.,Unauthorized ticket speculator who resells tickets at inflated prices,A ticket scalper is someone who resells event tickets for more than the face value.,unauthorized ticket speculator,Ticket scalpers are individuals who resell event tickets at a higher price for profit.,an unauthorized ticket speculator,An unauthorized ticket speculator.
How necessary is fiber?,"['But foods containing fiber can provide other health benefits as well, such as helping to maintain a healthy weight and lowering your risk of diabetes, heart disease and some types of cancer.']",Fiber is necessary for good health.,Very necessary,Fiber is essential for healthy digestion and can help prevent constipation.,"Fiber is necessary for managing weight, preventing constipation, enhancing gut health, and reducing the risk of heart disease.",Essential for a healthy diet,Fiber is essential for a healthy diet.,Fiber is essential for a healthy diet.
Who is Lisa Simpson?,['Lisa Marie Simpson is a fictional character in the animated television series The Simpsons.'],"Lisa Simpson is a fictional character in The Simpsons who is intelligent, kind, and passionate about the planet and all living things.",Fictional character in The Simpsons,Lisa Simpson is a fictional character in the animated television series The Simpsons.,A fictional character in The Simpsons.,Lisa Simpson is a fictional character.,Lisa Simpson is a fictional character in The Simpsons.,Lisa Simpson is a fictional character in The Simpsons.
what are the supernova types,"[""If a supernova's spectrum contains lines of hydrogen it is classified Type II; otherwise it is Type I.""]",Type I and Type II,Type I and Type II,There are two main types of supernovae: Type I and Type II.,Type I and Type II,Type I and Type II,Type I and Type II,Type I and Type II
What is Test cricket?,"[""Test cricket is the form of the sport of cricket with the longest match duration, and is considered the game's highest standard.""]",Test cricket is a form of first-class cricket played at international level between teams representing full member countries of the International Cricket Council.,Form of first-class cricket played at international level between teams representing full member countries of the International Cricket Council,Test cricket is the longest form of the sport of cricket.,International first-class cricket.,Test cricket is a form of first-class cricket played at the international level between teams representing full member countries of the International Cricket Council (ICC).,Form of first-class cricket at the international level.,It is a form of first-class cricket played at the international level between teams representing full member countries of the International Cricket Council (ICC).
when was UCL founded?,['The The UEFA Champions League was founded in 1955.'],1826,1826,UCL was founded in 1826.,1826,11 February 1826,1826,1826
who founded graham windham,"['Graham Windham was founded by several prominent women, most notably Elizabeth Schuyler Hamilton.']",Isabella Graham and Elizabeth Schuyler Hamilton founded Graham Windham.,Isabella Graham and Elizabeth Schuyler Hamilton,Graham Windham was founded by Eliza Hamilton and other women in 1806.,Isabella Graham and Elizabeth Schuyler Hamilton,Isabella Graham and Elizabeth Schuyler Hamilton,Isabella Graham and Elizabeth Schuyler Hamilton,Isabella Graham and Elizabeth Schuyler Hamilton.
what is a harpy,"['In Greek mythology and Roman mythology, a harpy is a half-human and half-bird personification of storm winds.']","A harpy is a half-human and half-bird creature, often believed to be a personification of storm winds.",terrifying and ugly creature,A harpy is a mythological creature in Greek and Roman mythology with the body of a bird and the face of a woman.,A creature from Greek mythology,"A half-human, half-bird creature associated with storm winds and known for stealing food from their victims.","A fabulous creature, probably a wind spirit.","A harpy is a creature from Greek and Roman mythology, often believed to be a personification of storm winds."
what happened in 1953?,"[""In 1953, soon after the production of Eaux d'Artifice, Kenneth Anger's mother died and he temporarily returned to the United States to assist with the distribution of her estate.""]","President Dwight D. Eisenhower approved a top-secret document to expand the nation's nuclear arsenal on October 30, 1953.",Dwight D. Eisenhower became president,The discovery of the double helix structure of DNA was announced in 1953.,"End of Korean War, polio vaccine, Marshal Tito elected president of Yugoslavia, death of Josef Stalin","Significant events in science, Operation Big Switch, Iranian coup d'état, and the Pact of Madrid.","The end of the Korean War, development of the polio vaccine, and various other significant events occurred in 1953.","Various events occurred in 1953, such as the end of the Korean War, the development of the polio vaccine, the execution of Carl Hall and Bonnie Brown, and the Batepá massacre in São Tomé."
What is Morrison Hotel?,['Morrison Hotel is the fifth studio album by American rock band the Doors.'],Morrison Hotel is the fifth studio album by American rock band the Doors.,Fifth studio album by the Doors.,"Morrison Hotel is the fifth studio album by American rock band The Doors, released in 1970.",The fifth studio album by the Doors.,A historic hotel in Chicago.,"Morrison Hotel is the fifth studio album by American rock band the Doors, released on February 9, 1970.","Morrison Hotel is the fifth studio album by American rock band the Doors, released on February 9, 1970."
when did gossip girl end,"['Gossip Girl ended on December 17, 2012.']","December 17, 2012","December 17, 2012","Gossip Girl ended on December 17, 2012.","December 17, 2012","December 17, 2012","December 17, 2012","December 17, 2012"
How is anemia treated?,['Treatment for this form of anemia usually involves taking iron supplements and changing your diet. If the cause of iron deficiency is loss of blood — other than from menstruation — the source of the bleeding must be located and the bleeding stopped. This might involve surgery.'],Taking iron supplements and changing the diet.,"Iron supplements, dietary changes","Anemia is treated with iron supplements, blood transfusions, and medications to increase red blood cell production.","Treatment for anemia depends on the type, cause, and severity of the condition.","Treatment for anemia may include oral iron supplements, erythropoiesis-stimulating agents, blood transfusions, and surgery.","Dietary changes, supplements, medications, and procedures.","Dietary changes, supplements, medications, and procedures."
what fields use m-dot notation,['The M-dot is used in physics and engineering.'],Object-oriented programming languages like Python,Object-oriented programming languages like Python,"The m-dot notation is commonly used in physics and engineering, particularly in the study of electromagnetism and fluid dynamics.",object's attributes and methods,Mathematics and physics,FoxPro programming language,FoxPro
WHO IS POWHATAN?,['The Powhatan people may refer to any of the Indigenous Algonquian people that are traditionally from eastern Virginia.'],"Powhatan was the paramount chief of Tsenacomoco, or tidewater Virginia, in the late 1500s and early 1600s.",Paramount chief of Tsenacomoco,"Powhatan was the paramount chief of Tsenacommacah, an alliance of Algonquian-speaking Virginia Indians in the Tidewater region of Virginia.",Powhatan was the paramount chief of Tsenacomoco.,Powhatan was the paramount chief of Tsenacomoco.,Powhatan was the paramount chief of the Powhatan Confederacy and ruled over most of the indigenous tribes in the Chesapeake Bay region in the late 1500s and early 1600s.,Powhatan was the paramount chief of the Powhatan Confederacy and ruled over most of the indigenous tribes in the Chesapeake Bay region in the late 1500s and early 1600s.
who started zz top,"['The original ZZ Top line-up was formed in Houston and consisted of Billy Gibbons, bassist/organist Lanier Greig (died February 2013) and drummer Dan Mitchell.']","Billy Gibbons, Frank Beard, and Dusty Hill","Billy Gibbons, Frank Beard, and Dusty Hill","ZZ Top was formed in 1969 in Houston, Texas by Billy Gibbons.",Billy Gibbons,"ZZ Top was formed by vocalist-guitarist Billy Gibbons, drummer Frank Beard, and bassist-vocalist Dusty Hill.","ZZ Top was started by Billy Gibbons, Lanier Greig, and Dan Mitchell.",Billy Gibbons
what defines a feature film,"['The Academy of Motion Picture Arts and Sciences, the American Film Institute, and the British Film Institute define a feature film with a running time of 2,400 seconds or longer.']",A feature film runs for more than 40 minutes.,Running time longer than 40 minutes,A feature film is a full-length film that is the main attraction of a movie theater screening.,A feature film is generally a motion picture with a running time longer than 40 minutes.,A feature film is defined as a film that runs for more than 40 minutes.,A feature film is typically defined as a film with a run time between 80 and 180 minutes.,A feature film is typically defined as a film with a run time between 80 and 180 minutes.
who created grey's anatomy,"[""The creator of Grey's Anatomy is Shonda Rhimes.""]",Shonda Rhimes,Shonda Rhimes,Shonda Rhimes created Grey's Anatomy.,Shonda Rhimes,Shonda Rhimes,Shonda Rhimes,Shonda Rhimes
where was juan vucetich from,"['Juan Vucetich Vucetich was born in the Dalmatian region of Croatia then part of the Habsburg Monarchy. In 1882, he immigrated to Argentina.']","Juan Vucetich was from Hvar, Kingdom of Dalmatia.","Hvar, Croatia",Juan Vucetich was from Croatia.,"Hvar, Kingdom of Dalmatia","Hvar, Croatia","Hvar, Croatia","Juan Vucetich was from Hvar, Croatia."
does ephesus still exist,['Ephesus was completely abandoned by the 15th century.'],"No, Ephesus does not still exist.",Yes,"Yes, Ephesus is an ancient Greek city that still exists today as a major archaeological site in Turkey.","Yes, Ephesus still exists.","Yes, Ephesus still exists.","Yes, Ephesus still exists.","Yes, Ephesus still exists, and its ruins are well-preserved in modern-day Turkey."
How does blockchain work?,['A Blockchain is a type of diary or spreadsheet containing information about transactions. Each transaction generates a hash'],Data is stored in blocks that are linked together in a chain.,A distributed and immutable ledger,Blockchain is a decentralized digital ledger that records transactions across many computers so that the record cannot be altered retroactively.,"Blocks of data linked into an uneditable, digital chain.",Decentralized network verifies transactions.,Blocks are linked together using cryptographic techniques to form a chronological chain of information.,Blockchain works by using cryptographic techniques to link blocks together and form a chronological chain of information.
where was Robbie Montgomery born,"['Robbie Marie Montgomery was born in Columbus, Mississippi.']","Robbie Montgomery was born in Columbus, Mississippi.","Columbus, Mississippi","Robbie Montgomery was born in Columbus, Mississippi.","Columbus, Mississippi","Columbus, Mississippi","Columbus, Mississippi","Columbus, Mississippi"
when was Shula born?,"['He was born on January 4, 1930']","January 4, 1930","January 4, 1930","Don Shula was born on January 4, 1930.","January 4, 1930","January 4, 1930","January 4, 1930","January 4, 1930"
was the lahore resolution approved,"['The Lahore resolution text, unanimously approved by the Subject Committee, accepted the concept of a united homeland for Muslims and recommended the creation of an independent Muslim state.']",Yes.,Yes,"The Lahore Resolution was approved on March 23, 1940.",Yes.,"Yes, the Lahore Resolution was approved.",Yes.,"Yes, the Lahore Resolution was approved."
how much were the fees,"['Students were required to pay up to £1,000 a year for tuition.']",A fixed percentage of the bill amount.,Not specified,The fees were $50.,Varies by institution.,$140 - $200,Varies widely.,Varies by industry and institution
where is the ranch filmed,"['The Ranch is filmed on a sound stage in front of a live audience in Burbank, California.']","The Ranch is filmed in Burbank, California.","Burbank, California","The Ranch was filmed on a soundstage in Burbank, California.","Burbank, California","Chief Joseph Ranch in Darby, Montana","Burbank, California","Burbank, California"
Who is Rod Serling?,"['Rod Serling was an American screenwriter, playwright, television producer, and narrator known for his live television dramas of the 1950s and his science-fiction anthology TV series, The Twilight Zone.']","Rod Serling was an American screenwriter, playwright, and television producer.",American writer and producer,"Rod Serling was an American screenwriter, playwright, television producer, and narrator known for his live television dramas of the 1950s and his science-fiction anthology TV series, The Twilight Zone.","Rod Serling was an American screenwriter, playwright, and television producer, best known as the host of ""The Twilight Zone.""","American screenwriter, playwright, television producer, and narrator/on-screen host.","Rod Serling was an American screenwriter, playwright, television producer, and narrator/on-screen host, best known for his work on The Twilight Zone.","Rod Serling was an American screenwriter, playwright, television producer, and narrator, best known for his work on The Twilight Zone."
how did Dale Earnhardt die,['Dale Earnhardt died due to injuries sustained in a collision during the final lap of the Daytona 500.'],Basilar skull fracture,Basilar skull fracture,Dale Earnhardt died in a crash during the final lap of the 2001 Daytona 500.,Basilar skull fracture,Basilar skull fracture,Basilar skull fracture,Dale Earnhardt died from a basilar skull fracture in a final-lap collision during the 2001 Daytona 500.
What is a libretto?,"['A libretto is the text used in, or intended for, an extended musical work such as an opera, operetta, masque, oratorio, cantata or musical.']",The text of a work for the musical theater.,The text of a work for musical theater,"A libretto is the text used in an extended musical work such as an opera, operetta, masque, oratorio, cantata, or musical.",The text of a work for the musical theater.,"A libretto is the text of an opera, operetta, or other kind of musical theatre.",The text used in an extended musical work.,Text used in an extended musical work.
did hannibal have any nicknames,"['Military historian Theodore Ayrault Dodge called Hannibal the father of strategy, because Roman armies adopted elements of his military tactics into their own strategic arsenal.']",The Chesapeake Ripper and Hannibal the Cannibal,The Chesapeake Ripper and Hannibal the Cannibal,"Hannibal was known as the ""Father of Strategy"" and ""The Great Liberator.""","Yes, Hannibal had several nicknames.",The Chesapeake Ripper and Hannibal the Cannibal,"Yes, Hannibal had the nickname ""Hannibal ad portas.""","Hannibal has been referred to as ""Hannibal the Cannibal"" and ""The Chesapeake Ripper."""
What is Amendment II?,['2. Set limits on the Interstate Commerce Clause'],The right to bear arms.,Right to bear arms,"Amendment II is the second amendment to the United States Constitution, which protects the right to keep and bear arms.",Protects the right to bear arms,The Second Amendment of the United States Constitution.,The Second Amendment to the United States Constitution protects the right of the people to keep and bear arms.,"The Second Amendment of the United States Constitution reads: ""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."""
is pete good or evil,"['Although Pete is often typecast as a villain, he has shown great versatility within the role, playing everything from a hardened criminal to a legitimate authority figure.']",Pete is evil.,evil,"Pete is a fictional character and can be portrayed as either good or evil, depending on the story.",evil,Pete is traditionally depicted as a villain.,"Pete is traditionally depicted as a villain, but in some instances, he turns good.",Pete is traditionally depicted as a villain.
What is The Sapphires?,"['The Sapphires is a 2012 Australian musical comedy-drama film based on the 2004 stage play of the same name, which is loosely based on a true story.']",The Sapphires is a 2012 Australian musical comedy-drama film.,A 2012 Australian musical comedy-drama film,The Sapphires is a 2012 Australian musical comedy-drama film based on the 2004 stage play of the same name.,A 2012 Australian musical comedy-drama film.,A film about Australian Aboriginal girls traveling to Vietnam.,A 2012 Australian musical comedy-drama film,A 2012 Australian musical comedy-drama film.
Who created Lisa Simpson?,['Matt Groening conceived Lisa Simpson.'],Matt Groening created Lisa Simpson.,Matt Groening,Lisa Simpson was created by Matt Groening.,Matt Groening,Matt Groening,Matt Groening,Matt Groening
What is atrial flutter?,"['Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.']",A type of heart rhythm disorder.,Heart rhythm disorder,Atrial flutter is an abnormal heart rhythm that can cause the heart to beat rapidly and irregularly.,Abnormal heart rhythm.,A type of heart rhythm disorder.,Abnormal heart rhythm.,Abnormal heart rhythm.
What is Mechanical Animals?,['Mechanical Animals is the third studio album by American rock band Marilyn Manson.'],Mechanical Animals is the third studio album by American rock band Marilyn Manson.,An album by Marilyn Manson,Mechanical Animals is the third studio album by American rock band Marilyn Manson.,Marilyn Manson's third studio album.,Marilyn Manson's album representing the point where the revolution got sold out.,Marilyn Manson's third studio album released in 1998.,Marilyn Manson's third studio album.
who was Imran khan?,['Imran Khan is the 22nd and current Prime Minister of Pakistan. Imran Khan was also an international cricketer and captain of the Pakistan national cricket team'],Pakistani politician and former cricketer,Pakistani politician and former cricketer,Imran Khan is a Pakistani politician and former cricketer who served as the 22nd Prime Minister of Pakistan from 2018 to 2022.,Pakistani politician and former cricketer,Former PTI chairman and cricket team captain.,Pakistani politician and former cricketer,"Imran Khan is a Pakistani politician, former cricketer, and the 22nd Prime Minister of Pakistan."
What is a librettist?,['A librettist is a writer of a libretto.'],A librettist is a person who writes the words that are used in an opera or musical play.,Writes words for operas and musicals,A librettist is a person who writes the text of an opera or other musical work.,The writer of a libretto.,A writer who creates the libretto for operas and musicals.,A writer who creates the libretto for operas and musicals.,A writer who creates the libretto.
DidCharles Haley get injured?,['Charles Haley had back injuries with the Dallas Cowboys.'],"Yes, Charles Haley got injured.",Yes,Charles Haley suffered from a back injury during his career.,"Yes, Charles Haley suffered a serious back injury in 1996.","Yes, Charles Haley suffered from back injuries.",Yes,Yes
where was zulay henao born,"['Zulay Henao was born in Medellín, Antioquia, Colombia']","Zulay Henao was born in Medellin, Colombia.","Medellin, Colombia","Zulay Henao was born in Medellín, Colombia.","Medellín, Colombia","Medellín, Colombia","Medellín, Antioquia, Colombia","Medellín, Antioquia, Colombia"
what is the beers criteria,"['The Beers List, are guidelines for healthcare professionals to help improve the safety of prescribing medications for older adults.']",The Beers Criteria is a list of potentially harmful medications for older adults.,list of potentially harmful medications to limit or avoid prescribing to people above age 65,The Beers Criteria is a list of medications that are generally considered inappropriate for use in older adults.,A list of potentially inappropriate medications for older adults.,List of potentially inappropriate medications for older adults.,A guide for prescribing medications for older adults.,A guide for healthcare professionals when prescribing medications for older adults.
Who is Guru Arjan?,['Guru Arjan was the first of the two Gurus martyred in the Sikh faith and the fifth of the ten total Sikh Gurus.'],Fifth Sikh Guru and first Sikh martyr,The fifth Sikh Guru and the first Sikh martyr,Guru Arjan was the first of the two Gurus martyred in the Sikh faith and the fifth of the ten total Sikh Gurus.,Fifth Guru of Sikhism and first martyr.,Fifth Sikh Guru and prolific poet.,Fifth Guru of the Sikhs,"Guru Arjan was the fifth Guru of the Sikhs, known for updating the scriptures, being a prolific poet, and laying the foundation of the Golden Temple."
Was the band Erasure popular,"['Erasure is most popular in their native UK and mainland Europe, especially Germany, Denmark, and Sweden, and also in Argentina, Brazil, Chile, and Peru.']",Yes.,Yes,Erasure was a popular synth-pop duo in the 1980s and 1990s.,Yes,"Yes, Erasure was popular.","Yes, Erasure was popular.","Yes, Erasure was popular."
who makes quality street today,['Today Quality Street is produced by Nestlé.'],Nestlé,Nestlé,Quality Street is a brand of chocolates and toffees produced by Nestlé.,Nestlé,Nestlé,Nestlé,Nestlé
how old is Mara Wilson,['Mara Elizabeth Wilson is 32 years old.'],Mara Wilson is 36 years old.,36 years,"Mara Wilson was born on July 24, 1987, so she is 34 years old.",36 years,About 34 years,36 years old,Mara Wilson is 36 years old.
where was charles darwin born,"['Charles Darwin was born in The Mount, Shrewsbury, Shropshire, England.']","Charles Darwin was born in Shrewsbury, England.","Shrewsbury, United Kingdom","Charles Darwin was born in Shrewsbury, Shropshire, England.","Shrewsbury, England","The Mount House, Shrewsbury, United Kingdom","Shrewsbury, England","Shrewsbury, England"
Is Arnold Palmer married?,['Palmer was married to Winnie Walzer.'],"Yes, Arnold Palmer was married.",Yes,Arnold Palmer was married to Winnie Walzer from 1954 until her death in 1999. He then married Kathleen Gawthrop in 2005.,"Yes, Arnold Palmer was married twice.","Yes, Arnold Palmer was married.",Arnold Palmer was married to Kathleen Gawthrop until his death in 2016.,Arnold Palmer was married to Kathleen Gawthrop until his death in 2016.
is the NBA season cancelled,"['The league suspended the season on March 11, 2020, as a result of the coronavirus pandemic.']","No, the NBA season was suspended.",No,"The NBA season was suspended due to the COVID-19 pandemic, but it has since resumed.",No,Yes.,The NBA season is currently suspended.,The NBA season is currently suspended.
When did Revival release?,"['Revival was released on December 15, 2017, through Aftermath Entertainment, Shady Records and Interscope Records.']","December 15, 2017","December 15, 2017","Revival was released on October 9, 2015.","December 15, 2017","December 15, 2017","October 9, 2015 and December 15, 2017","Selena Gomez's Revival was released on October 9, 2015, and Eminem's Revival was released on December 15, 2017."
where is the asteroid belt,"['The asteroid belt is a torus-shaped region in the Solar System, located roughly between the orbits of the planets Jupiter and Mars.']",The asteroid belt is located between the orbits of Mars and Jupiter.,between the orbits of Mars and Jupiter,The asteroid belt is located between the orbits of Mars and Jupiter.,Between Mars and Jupiter,Between the orbits of Jupiter and Mars,Between Mars and Jupiter.,Between the orbits of Jupiter and Mars
What is the ACL?,['The anterior cruciate ligament (ACL) is one of the key ligaments that help stabilize your knee joint. The ACL connects your thighbone (femur) to your shinbone (tibia).'],The ACL is the anterior cruciate ligament.,anterior cruciate ligament,"The ACL, or anterior cruciate ligament, is one of the major ligaments in the knee.",Ligament in the knee.,A list of rules specifying access.,Anterior Cruciate Ligament,Anterior Cruciate Ligament
when was robert romanus born,"['Robert Romanus was born on July 17, 1956.']","Robert Romanus was born on July 17, 1956.","July 17, 1956","Robert Romanus was born on July 17, 1956.","July 17, 1956","July 17, 1956","July 17, 1956","Robert Romanus was born on July 17, 1956"
is Donal Francis Logue irish,"['Donal Francis Logue was born in Ottawa, Ontario, Canada, to Irish parents from County Kerry.']",Yes.,Yes,"Yes, Donal Francis Logue is of Irish descent.",Yes,Yes,Yes,"Yes, Donal Francis Logue is Irish-Canadian."
What was federal records?,"[""Federal Records was an American record label founded in 1950 as a subsidiary of Syd Nathan's King Records and based in Cincinnati, Ohio.""]","Books, papers, maps, photographs, machine-readable materials, or other documentary materials made or received by an agency of the United States Government under Federal law or in connection with the transaction of public business and preserved or appropriate for...","A law designed to ensure the preservation of institutional records of historical, fiscal, and legal value.",Federal Records was an American record label founded in 1950 by Bobby Robinson.,Recorded information made or received by a Federal agency under Federal law or in connection with the transaction of public business.,Recorded information made or received by a Federal agency under Federal law or in connection with the transaction of public business and preserved as evidence of the organization.,Documents created or received by a federal agency under federal law or in connection with the transaction of public business.,Documents created or received by a federal agency under federal law or in connection with the transaction of public business.
who wrote wuthering heights,['Wuthering Heights is a novel by Emily Brontë published in 1847 under her pseudonym Ellis Bell.'],Emily Brontë wrote Wuthering Heights.,Emily Brontë,Emily Brontë wrote Wuthering Heights.,Emily Brontë,Emily Brontë,Emily Brontë,Emily Brontë
F1,,0.3416816598148382,0.20781258421873788,0.4661758470377201,0.2635760245669051,0.25933753617447575,0.2689873604956305,0.3194185899236037
nF1,,0.33739444565576887,0.2567539431470156,0.4075898495787189,0.29121925616995054,0.27095324888950306,0.3034130551233465,0.3177023638502687
elapsed time,,216.47649470487036,194.35592979058288,1.0138162706131326,4.796271399447792,7.381773523818281,20.235498872914707,19.67015338481817
