When was the outbreak of World War I?,"['August 1914', 'August 1914', 'August 1914']","July 28, 1914","July 28, 1914",1914,"June 28, 1914","July 28, 1914",1914,"July 28, 1914"
"Which Panthers player got a penalty, which gave the Broncos a new set of downs?","['Josh Norman', 'Josh Norman', 'Norman']",Williams,Josh Norman,Josh Norman,Josh Norman,Josh Norman,Josh Norman,Josh Norman
What type of system did Tesla suggest to Adams?,"['two-phased system', 'a two-phased system', 'two-phased system']",two-phased system,Two-phased system,alternating current system,two-phased system,two-phased system,two-phased system,two-phased system
"Who taped video intros for Doctor Who shows in Canada, that included a trivia question?","['Christopher Eccleston', 'Christopher Eccleston', 'Christopher Eccleston']",Jon Pertwee,Rachel Talalay,Tom Baker,Canadian film and television producer,Judith Merril,Sydney Newman,Tom Baker
What major event U.S. occurred that made the BBC delay the broadcast?,"['the assassination of US President John F. Kennedy', 'assassination of US President John F. Kennedy', 'the assassination of US President John F. Kennedy']",The 9/11 attacks,The 9/11 attacks,9/11 terrorist attacks,9/11 terrorist attacks,Newsnight delay,9/11 attacks,9/11 attacks
What was the name of Temüjin's wife Börte's first son?,"['Jochi', 'Jochi', 'Jochi']",Jöchi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi
What resolution were the cameras increased to for the game?,"['5K resolution', '5K', '5K']",110 format,800x600,4K resolution,1080p,Increased to fit different screen sizes,24 MP or more,Higher resolution
Who took control of Qara Khitai after fleeing Temüjin's Mongol Empire?,"['Kuchlug', 'Kuchlug', 'Kuchlug']",Kuchlug,Kuchlug,Yelu Dashi,Genghis Khan,Kuchlug,Kuchlug,Kuchlug
What is an example of an NP-intermediate problem not known to exist in P or NP-complete? ,"['graph isomorphism problem', 'the discrete logarithm problem', 'graph isomorphism problem, the discrete logarithm problem and the integer factorization problem']",The graph isomorphism problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem",Graph isomorphism,Graph isomorphism,"Graph isomorphism problem, discrete logarithm problem, integer factorization problem",Graph isomorphism problem,Graph isomorphism problem
In what year was the Great Internet Mersenne Prime Search project conducted?,"['In 2009', '2009', '2009', '2009', '2009']",1996,1996,1996,1996,January 1996,1996,1996
Who was sacked as the first half clock expired?,"['Newton', 'Newton', 'Newton']",Zach Wilson,Kyle McCord,Tom Brady,Kyle McCord,Cam Newton,Jackson,No one
Why did oil start getting priced in terms of gold?,"[""oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased."", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased""]",Decreased revenues from oil sales,Falling value of the dollar,Nixon Shock,Falling value of the dollar,Relationship between oil and gold prices,Falling value of the dollar,falling value of the dollar
What was the final score of the game between the Panthers and the Seahawks?,"['31–24', '31–24', '31–24']",37-27,37-27,30-24,37-27,37-27,37-27,37-27
WHat were features of Apple Talk ,"['that allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server']",No prior setup needed,"LocalTalk, TokenTalk, EtherTalk, FDDITalk networks, unique 8-bit node ID","peer-to-peer networking, built-in support for LocalTalk, and the ability to connect to other networks through the use of gateways",auto-configuration and easy network connection,Apple Talk features,"No prior setup, supports different types of networks, assigns unique node ID","Ability to connect local area networks with no prior setup, efficient data transfer, support for different types of networks, and interconnection of personal computer workstations, file servers, print servers, printers, and modems."
What danger did the IPCC understate?,"['projected rises in sea levels', 'rises in sea levels', 'projected rises in sea levels']",Global CO2 emission rates,Global CO2 emission rates,sea level rise,Climate change,total risk,Climate risks,"potential impacts of climate change, including severe weather"
Who is the current Governor of Victoria?,"['Linda Dessau', 'Linda Dessau', 'Linda Dessau']",Margaret Gardner,Margaret Elaine Gardner,Linda Dessau,Margaret Gardner,Margaret Gardner,Margaret Gardner,Margaret Gardner
How quick was the effect of Luther's preaching?,"['immediate', 'immediate', 'immediate']",Quick,Within two weeks,immediate,Quick and profound,Immediate,Quick,Quick and lasting
How many interceptions did Aqib Talib have for the regular season?,"['three.', 'three', 'three']",35,35,1,35 interceptions,0,35,35
What did John Dobson describe Newcastle as?,"[""England's best-looking city"", ""England's best-looking city"", ""England's best-looking city""]",Pioneering,"a portable, low-cost Newtonian reflector telescope","a ""hellhole""","""picturesque""","""Venice of the North""","""civic palace""",Neoclassical
Tumors that are able to evade the body's immune response can become what?,"['cancers', 'cancers', 'cancers']",Overt clinical cancer,overt clinical cancer,cancerous,overt clinical cancer,overt clinical cancer,overt clinical cancer,overt clinical cancer
Which sitcom produced a spinoff for ABC after ending its run in 1984?,"[""Three's Company"", ""Three's Company"", ""Three's Company""]",Three's a Crowd,Three's Company,Happy Days,Three's Company,Three's Company,Three's Company,Three's a Crowd
"Normally silver, what color was used for the number 50?","['gold', 'gold', 'gold']",Gold,Gold,Gold,Silver,Gold,Gold,gold
When did Kibaki and Odinga sing an agreement on the formation of government?,"['28 February 2008', '28 February 2008', '28 February 2008']","February 28, 2008","February 28, 2008",April 2008,"February 28, 2008","February 28, 2008",13 April 2008,"February 28, 2008"
What radio station did the Doctor Who theme reach the charts on in 2011?,"[""Classic FM's Hall of Fame"", 'Classic FM', ""Classic FM's Hall of Fame""]",UK Singles Chart,BBC Radiophonic Workshop,BBC Radio 1,Classic FM,Classic FM,Classic FM,Classic FM
How many quadrangles does the Main Quadrangles have?,"['six', 'six quadrangles', 'six', 'six']",One,Seven quadrangles,4 quadrangles,one quadrangle,One quadrangle,seven quadrangles,Seven quadrangles
How much of the population in the Middle East died of the plague?,"['about a third.', 'about a third', 'about a third']",33%,approximately 33%,1/3 of the population,33%,approximately 33%,33%,33%
What did Charles Parsons invent?,"['the steam turbine', 'the steam turbine', 'the steam turbine']",Multi-stage steam turbine,Multi-stage steam turbine,steam turbine,multi-stage steam turbine,Steam turbine,"multi-stage steam turbine, mechanical reducing gear",compound steam turbine and multi-stage steam turbine
In what year was the Alan Turing's definitional model of a computing device received?,"['1936', '1936', '1936']",1936,1936,1936,1936,1936,1936,1936
How many research institutes does the university run on campus?,"['12', '12', '12']",Multiple,The university runs one research institute on campus.,seven,More than 140,Several,Over 60,Over 60
When did Henry issue the Edict of Nantes?,"['1598', '1598', '1598']","April 13, 1598","April 13, 1598",1598,1598,1598,April 1598,"April 13, 1598"
What was the age difference between Newton and Manning in Super Bowl 50?,"['13 years and 48 days', '13 years and 48 days', '13 years and 48 days']",13 years and 48 days,13 years and 48 days,13 years,13 years and 48 days,13 years,13 years and 48 days,13 years and 48 days
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"['The Broncos', 'Denver', 'Denver']",Denver Broncos,Denver Broncos,Denver Broncos,Denver Broncos,Denver Broncos,Denver,Denver Broncos
What was the Henry Cole Wing previously called?,"['School for Naval Architects', 'the science schools', 'School for Naval Architects']",Huxley Building,Huxley Building,South Kensington Museum,Huxley Building,Huxley Building,Huxley Building,Huxley Building
Which company has been able to air multiple ads at a steep discount?,"['Anheuser-Busch InBev', 'Anheuser-Busch InBev', 'Anheuser-Busch InBev']",Budweiser,Anheuser-Busch InBev,Amazon,Amazon,Google AdSense,Amazon,Amazon
What did Gasquet think the plague was?,"['some form of the ordinary Eastern or bubonic plague', 'bubonic plague', 'ordinary Eastern or bubonic plague']",bubonic plague,some form of the ordinary Eastern or bubonic plague,a punishment from God,some form of the ordinary Eastern or bubonic plague,Punishment from God,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague
Who created the code that governed military and civilian conduct in the Mongol Empire?,"['Genghis Khan', 'Genghis Khan', 'Genghis Khan']",Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Chingis Khan,Genghis Khan,Genghis Khan
Why was the Rhine regulated? ,"['constant flooding', 'constant flooding and strong sedimentation', 'to counteract the constant flooding and strong sedimentation in the western Rhine Delta', 'to counteract the constant flooding and strong sedimentation']",To prevent flood disasters,To prevent flood disasters,flood control,prevent floods and improve navigation,"flood prevention, increased flow, pollution prevention",to reduce the risk of flooding and increase the flow rate of the river,to reduce the risk of flooding and re-route the international border along the old course of the Rhine.
What was the population of the Dutch Republic before this emigration?,"['ca. 2 million', '2 million', '2 million']",2 million,2 million,1.5 million,2 million,2 million,2 million,1.5 million
How many customaries does Norman customary law have?,"['two', 'two', 'two']",Two,Two,Two,Two,two,two customaries,two
What kind of climate does southern California maintain?,"['Mediterranean', 'a Mediterranean climate', 'Mediterranean']",Mediterranean,Mediterranean,Mediterranean climate,Mediterranean climate,Mediterranean,Mediterranean,Mediterranean climate
What does AC stand for?,"['alternating current', 'alternating current', 'alternating current']",Alternating Current,air conditioning,alternating current,Alternating Current,Alternating Current,"Air Conditioning, Alternating Current",Alternating Current
EM,,0.22012578616352202,0.27672955974842767,0.2641509433962264,0.2830188679245283,0.27044025157232704,0.2893081761006289,0.27044025157232704
F1,,0.35593251278238974,0.4024823673880278,0.4109693067240237,0.43140978518337003,0.41049839519446796,0.42508039363385275,0.4135561212605238
elapsed time,,243.60867417233544,130.73724385027614,1.058776650038905,4.224297593974467,8.199493991503925,17.896527966613288,47.496729075533786
