Question,GT Answer,"open-squad-short_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","open-squad-short_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",open-squad-short_vanilla_gpt-3.5-turbo-1106_google,open-squad-short_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,open-squad-short_multihop_gpt-3.5-turbo-1106_google,open-squad-short_dsp+sample_gpt-3.5-turbo-1106_google,open-squad-short_dsp+knn_gpt-3.5-turbo-1106_google
Was the plan formalized?,"['The plan that the delegates agreed to was never ratified by the colonial legislatures nor approved of by the crown', 'was never ratified', 'never ratified', 'never ratified', 'The plan that the delegates agreed to was never ratified']",Yes,Yes,"Yes, in 2015.",Yes,Yes,Yes,Yes
Who attends Loreto Normanhurst?,"['girls', 'girls', 'girls']",Girls from Years 5-12,Students from rural NSW,Girls from Kindergarten to Year 12 attend Loreto Normanhurst.,Girls in Years 5-12 attend Loreto Normanhurst.,"Approximately 1100 girls from Year 5 to Year 12, including around 170 boarding students.","Girls from Year 5 to Year 12, including boarding students.",Girls in Years 5-12
What is Nexus?,"['the Tyne and Wear Passenger Transport Executive.', 'the Tyne and Wear Passenger Transport Executive', 'Passenger Transport Executive']",Convergence of disruptive forces,A means of connection; tie; link.,a brand of smartphones and tablets,"Connection, link",level of minimum contacts in a state,connection between a state and a business,level of connection between a taxing jurisdiction and an entity
What was Warner Sinback,"[""a data network based on this voice-phone network was designed to connect GE's four computer sales and service centers"", 'a data network', 'a data network']",A person who recommended selling time-sharing services,Developer,an American author and journalist,a person,involved in the development of a time-sharing operating system,Involved in the creation of General Electric Information Services and the development of a time-sharing operating system.,involved in the creation of General Electric Information Services and the development of a time-sharing operating system
WHat does UserDatagram Protocol gaurentee,"['In the virtual call system, the network guarantees sequenced delivery of data to the host', 'sequenced delivery of data to the host', 'sequenced delivery of data']",No guarantees for message delivery,Data integrity,no guarantee of delivery or duplicate protection,no guarantees for message delivery,UDP does not guarantee anything,no guarantee of data delivery,no data delivery guarantee
What does paramylon store?,"['Starch', 'Starch', 'Starch']",Reserve food,Food,energy,photosynthate,glucose polymers,photosynthate,photosynthate
What was apolitical Islam?,"['a historical fluke', 'political Islam', 'historical fluke']",A modern phenomenon,A modern phenomenon,a movement in the 20th century,a modern phenomenon that seeks to use religion to shape the political system,Basis for political identity and action,A modern phenomenon that seeks to use religion to shape the political system,Any interpretation of Islam as a source of political identity and action
Telnet was sold to ,"['Telenet was incorporated in 1973 and started operations in 1975. It went public in 1979 and was then sold to GTE', 'GTE', 'GTE']",Vivacom,Vivacom,Microsoft,Vivacom,Vivacom,Vivacom,Vivacom
Who did Luther banish?,"['Zwickau prophets', 'Zwickau prophets', 'Zwickau prophets']",Martin Luther,Pope Leo X,Anabaptists,Jews,Zwickau prophets,someone from Saxony and attempted to do the same in Brandenburg,Someone from Saxony and attempted to do the same in Brandenburg.
What does Obersee mean?,"['upper lake', 'upper lake', '(""upper lake""', 'upper lake']",Upper Lake,Upper Lake,Upper Lake,Upper Lake,Upper Lake,"""Upper Lake""",Upper Lake
What is a statocyst?,"['a balance sensor', 'a balance sensor consisting of a statolith', 'a balance sensor consisting of a statolith']",A balance sensory receptor,Balance sensory receptor,a balance organ in invertebrates,balance sensory receptor,balance sensory receptor,A balance sensory receptor in aquatic invertebrates.,balance sensory receptor
What happened in 1901?,"['Marconi successfully transmitted the letter S from England to Newfoundland', 'Marconi successfully transmitted the letter S from England to Newfoundland', 'Marconi successfully transmitted the letter S from England to Newfoundland']",President William McKinley was assassinated.,McKinley was shot,The first Nobel Prizes were awarded.,"McKinley was shot and killed, and Theodore Roosevelt became president.","Various events occurred in 1901, including the shooting of US President William McKinley, the end of the Boxer Rebellion in China, and the invention of the spiral hairpin and prototype motorcycle.",McKinley was assassinated and Queen Victoria died,President William McKinley was assassinated.
Who were the Semuren?,"['allied groups from Central Asia and the western end of the empire', 'various allied groups from Central Asia and the western end of the empire', 'various allied groups']",Persons with special status,Persons with special status,a noble family in France,Persons with special status in the Yuan dynasty,a social class in the Yuan dynasty,a social class in China during the Yuan dynasty,Persons with special status in the Yuan dynasty
Who directed Stormy Monday?,"['Mike Figgis', 'Mike Figgis', 'Mike Figgis']",Mike Figgis,Mike Figgis,Mike Figgis,Mike Figgis,Mike Figgis,Mike Figgis,Mike Figgis
What is the NASUWT?,"['trade unions', 'trade unions', 'trade unions']",National Association of Schoolmasters/Union of Women Teachers,Teachers' Union,National Association of Schoolmasters Union of Women Teachers,a trade union representing teachers in the UK,A trade union representing teachers in the United Kingdom,a trade union representing teachers throughout the United Kingdom,a trade union representing teachers throughout the United Kingdom
Who made Ralph earl?,"['Edward the Confessor', 'Edward the Confessor', 'Edward the Confessor']",Ralph Earl,Ralph Earl,Ralph Earl was an American painter.,Ralph Earl,Self-taught,Benjamin West and Joshua Reynolds,Ralph Earl
What tribes supported British?,"['Iroquois Six Nations, and also by the Cherokee', 'Iroquois Six Nations, and also by the Cherokee', 'Iroquois Six Nations, and also by the Cherokee', 'Iroquois', 'the Iroquois Six Nations']","Fox, Chickamauga, Iroquois, Kickapoo, Mascouten, Mohawk, Ojibway, Piankeshaw, Potawatomi, Sauk and Shawnee","Fox, Chickamauga, Iroquois, Kickapoo, Mascouten, Mohawk, Ojibway, Piankeshaw, Potawatomi, Sauk, Shawnee",Iroquois and Cherokee,"Mohawk, Fox, Chickamauga, Iroquois, Kickapoo, Mascouten, Ojibway, Piankeshaw, Potawatomi, Sauk, Shawnee","Cherokees, Creeks, Iroquois, Mohawk, Oneida, Tuscarora","Cherokees, Creeks, most Iroquois nations, Fox, Chickamauga, Kickapoo, Mohawk, Ojibway, Potawatomi, Shawnee","Cherokees, Creeks, and most Iroquois nations"
What do pyrenoids store?,"['starch', 'starch', 'starch']",Starch and occasionally proteins,Starch and occasionally proteins,starch,Starch and occasionally proteins,starch,Starch,starch
Who did Emma Marry?,"['King Ethelred II', 'Ethelred II', 'King Ethelred II']",Mr. Knightley,Mr. Knightley,King Ethelred II of England,Mr. Knightley,Will Schuester,Mr. Knightley,Mr. Knightley
Who did he fire?,"['secretary', 'a secretary', 'a secretary']",.44 Magnum,Harry Callahan,Secretary of State Rex Tillerson,six shots,Sam Altman,a bank robber,bank robber
Who wrote The Mutants?,"['Terry Nation', 'Terry Nation', 'Terry Nation']",Josh Boone and Knate Gwaltney,Josh Boone,Bernard Stiegler,Bob Baker and Dave Martin,"M. Gerald Neuffer, Edward H. Coe, Susan R. Wessler",Kris Neville,Susan Wessler
Where was war fought?,"['primarily along the frontiers between New France and the British colonies', 'between New France and the British colonies', 'frontiers between New France and the British colonies', 'along the frontiers', 'Virginia in the South to Nova Scotia in the North']","Eastern Asia, the Pacific Ocean, the Indian Ocean",Europe and the Pacific,"in Europe, Asia, and Africa","Europe, the Middle East, Africa, the Pacific, parts of Asia, South-central United States, northern Mexico",Eastern part of the country,"Southern United States, Europe, Middle East, Africa, Pacific, Asia","Europe, the Middle East, Africa, the Pacific, Asia, and the southern United States"
What surrounds chloroplasts?,"['two innermost lipid-bilayer membranes', 'phagocytic vacuole', 'lipid-bilayer membranes']",chloroplast envelope,Chloroplast envelope,double membrane,chloroplast envelope,chloroplast envelope and thylakoid membrane,chloroplast envelope,chloroplast envelope
Who was Count of Melfi,"['William Iron Arm', 'William Iron Arm', 'William Iron Arm']",Niccolò Acciaioli,Niccolò Acciaioli,Robert Guiscard,William of Hauteville,William of Hauteville,The Count of Melfi was a member of the House of Hauteville.,The Count of Melfi was a Norman ruler and conqueror.
What is structural geology?,"['the study of positions of rock units and their deformation', 'study of positions of rock units and their deformation', 'the study of positions of rock units and their deformation']",Study of rock distribution and deformation,Study of rock distribution and deformation,the study of the three-dimensional distribution of rock units and their deformation patterns,Study of rock deformation,study of the architecture of rocks as related to deformation,"study of the form, arrangement, and internal structure of rocks","study of the form, arrangement, and internal structure of rocks"
When was vetting introduced?,"['2006', '2006', '2006']",1891,January 2017,1947,early 2000s,1930s,1860s,1860s
What is an anda?,"['sworn brother or blood brother', 'sworn brother', 'sworn brother or blood brother)']",contains data for generic drug approval,A request to the FDA,a type of Indian egg curry dish,regulatory submission for generic drugs,Spanish word with various meanings,"""You"" in Indonesian, ""to operate"" in Spanish, and an abbreviation for Abbreviated New Drug Application (ANDA)","surprise, disbelief, rejection, admiration, emphasis, and irony in colloquial Spanish; also an abbreviation for Abbreviated New Drug Application (ANDA)"
What do apicoplasts synthesize?,"['fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters', 'fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters', 'fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters']",Fatty acids,Isoprenoid precursors and fatty acids,fatty acids and isoprenoids,fatty acids,lipids,lipids and isoprenoid precursors,Lipids and isoprenoid precursors
What are apicoplasts missing?,"['photosynthetic pigments or true thylakoids', 'photosynthetic function', 'all photosynthetic function']",The capability for photosynthesis,Photosynthetic ability,a cell wall,Photosynthesis,ability to convert light into energy,photosynthesis,photosynthesis and pigment-loaded thylakoid membranes
What can amyloplasts become?,"['chromoplasts', 'chromoplasts', 'chromoplasts']",Chloroplasts,Chloroplasts,chloroplasts,chloroplasts,chromoplasts,chloroplasts,chloroplasts
What are colloblasts?,"['specialized mushroom-shaped cells in the outer layer of the epidermis', 'specialized mushroom-shaped cells in the outer layer of the epidermis', 'specialized mushroom-shaped cells in the outer layer of the epidermis']",Structures used to capture prey,Structures used to capture prey,adhesive cells in ctenophores,adhesive cells in ctenophores,specialized cells in ctenophores,Sticky cells in ctenophores,Sticky cells in ctenophores.
What does zhèng mean?,"['""right"", ""just"", or ""true""', 'right', 'right"", ""just"", or ""true"",']",Correct,upright or correct,correct/right/proper/proficient,correct,upright or correct,"upright, exactly, in good order, whole, complete, entire, correct, honest, and standard","correct, upright, honest, standard"
When was the Holocene?,"['11,700 years ago', '~11,700 years ago', '~11,700 years ago']","approximately 9,700 years before the Common Era (BCE)",0.012 million years ago,"11,700 years ago","11,700 years ago","11,700 years before 2000 CE","approximately 11,700 years ago","Approximately 11,700 years ago"
When was Montreal captured?,"['1760', '1760', '1760', '1760', '1760']","September 8, 1760","November 13, 1775",1760,"September 8, 1760","September 6, 1760","November 13, 1775","November 13, 1775"
What did this concept contradict ,"['This concept contrasted and contradicted the theretofore established principles of pre-allocation of network bandwidth', 'theretofore established principles of pre-allocation of network bandwidth', 'principles of pre-allocation of network bandwidth']",Itself,Reality,the theory of divine right of kings,previously established theory,Consistency,other ideas or principles,other ideas or principles
How large are Plastoglobuli?,"['45–60 nanometers across', '45–60 nanometers across', '45–60 nanometers across']",80-120 nm,80-120 nm,100-500 nanometers,Between 60 nm and 4000 nm,80-120 nm,30 nm to several micrometers,100-200 nm
What are cestida called?,"['belt animals', 'belt animals', '""belt animals""']",Tapeworms,Tapeworms,comb jellies,tapeworms,ctenophores,tapeworms,tapeworms
What entity owns V/Line?,"['Victorian Government', 'the Victorian Government', 'Victorian Government']",The government,V/Line Corporation,"The Government of Victoria, Australia",V/Line is owned by the government.,Victorian state government,V/Line Corporation,Government-owned corporation
What does NADPH store?,"['energy', 'energy', 'energy']",Energy,Energy,energy,energy,electrons and protons,sugars,reducing agents
What is Psalm 31:5?,"['prayer of the dying', 'the common prayer of the dying', 'common prayer of the dying.']","""Into your hand I commit my spirit; you have redeemed me, O LORD, faithful God.""","""Into your hands I commit my spirit""","Into your hands I commit my spirit; deliver me, Lord, my faithful God.",A verse from the book of Psalms in the Bible,A verse from the book of Psalms in the Bible.,Entrusting one's spirit to the Lord,A verse from the Bible expressing trust and reliance on God
What are chares?,"['Narrow alleys', 'Narrow alleys', 'Narrow alleys']",Narrow medieval streets or alleys,Masculine name,ancient Greek coins,Positive and negative charges,"Chares can refer to a masculine name meaning ""grace"" or ""kindness"" in Greek, or it can also mean ""chore"" or ""household chore"" in English.",Chares can refer to a masculine name or a narrow medieval street.,chores or small jobs
Who wrote the eulogy?,"['Louis Adamic', 'Louis Adamic', 'Slovene-American author Louis Adamic']",Jackie Bailey,Maynard James Keenan,William Shakespeare wrote the eulogy for Julius Caesar.,Young Thug & Gunna,"close family member, friend, or minister",immediate family member or loved one,Jackie Bailey
What does Phosphorylation do?,"['helps many proteins bind the polypeptide', 'helps many proteins bind the polypeptide', 'helps many proteins bind the polypeptide']",Alters protein charge and conformation,Alters protein function and cell signaling,adds a phosphate group,Controls cellular signaling pathways,stimulates or inhibits the function of the molecule,alters protein charge and conformation,regulates cellular processes
Where is Peridinin found?,"['peridinin-type chloroplast', 'chloroplasts', 'chloroplasts']","Marine and freshwater dinoflagellates, clams, sea anemones, and corals","Marine and freshwater dinoflagellates, clams, sea anemones, and corals",in marine dinoflagellates,in many photosynthetic dinoflagellates,photosynthetic dinoflagellates,"marine and fresh water dinoflagellates, clams, sea anemones, and corals",in the peridinin-chlorophyll-protein (PCP) light-harvesting complex in dinoflagellates
Is the packet header long ,"['The packet header can be small, as it only needs to contain this code and any information, such as length, timestamp, or sequence number', 'The packet header can be small', 'small']",Yes,Yes,"No, it is short","Yes, the packet header can be long, ranging from 20 to 60 bytes.","Yes, the packet header can be up to 60 bytes long.",up to 60 bytes,Up to 60 bytes
Who was Philip I?,"['Landgrave of Hesse', 'Landgrave of Hesse', 'Landgrave of Hesse']",King of the Franks,King of the Franks,King of France from 1060 to 1108,King of the Franks from 1060 to 1108,Roman Emperor and father of Maximilian I,King of the Franks,King of the Franks from 1060 to 1108
What are phycobilisomes?,"['relatively large protein complexes', 'large protein complexes', 'large protein complexes']",Aggregates of light-harvesting proteins,Protein complexes anchored to thylakoid membranes,light-harvesting antennae in cyanobacteria and red algae,light harvesting antennae complexes,Light-harvesting antennae complexes,light-harvesting antennae complexes,light harvesting antennae
Who conceptualized the aeolipile?,"['Hero of Alexandria', 'Hero of Alexandria', 'Hero of Alexandria', 'Hero of Alexandria']",Hero of Alexandria,Heron of Alexandria,Heron of Alexandria,Heron of Alexandria,Heron of Alexandria,Hero of Alexandria,Heron of Alexandria
What was telenet ,"['the first FCC-licensed public data network in the United States', 'the first FCC-licensed public data network in the United States', 'first FCC-licensed public data network']",A commercial packet-switched network,A commercial packet-switched network,a Belgian telecommunications company,a packet-switched network,American commercial packet-switched network,American commercial packet-switched network,an American commercial packet-switched network
When were stromules discovered?,"['1962', '1962', '1962']",1888 and 1908,1888 and 1908,in 1997,1888 and 1908,more than 100 years ago,1888 and 1908,1888 and 1908
What replaced the Sky+Box?,"['Sky+HD Box', 'Sky+HD Box', 'Sky+HD Box']",Sky Q,Sky Q,Sky Q Box,Sky Q,The new Sky Box,Sky Q,Sky Q
What was huihui?,"['Muslim medicine', 'Muslim medicine', 'Muslim medicine']","Generic term for China's Muslims, Persian Christians, and Jews",Generic term,Chinese Muslims,"""Hawaiian word for 'to join, intermingle, mix'""",Huihui was a term that historically referred to the Huihe people.,"A generic term for China's Muslims, Persian Christians, and Jews",A term with origins in the Uyghur Khaganate and used to refer to the Hui ethnic group in China
What does rhodophyte mean?,"['red algal chloroplast', 'red algal chloroplast lineage', 'red algal chloroplast lineage']",Red algae,Red algae,red algae,Any red alga of the phylum Rhodophyta,red algae,red algae,Red algae
What religion were the Normans,"['Catholic', 'Catholic orthodoxy', 'Catholic']",Christian,Christianity,Catholicism,Christian,Christian,Catholic,Catholic
What was DATANET 1 ,"['was the public switched data network operated by the Dutch PTT Telecom', 'the public switched data network operated by the Dutch PTT Telecom', 'public switched data network']",First stage of a public packet-switched datanetwork in the Netherlands,The first stage of a public packet-switched datanetwork in the Netherlands,a pioneering computer network in the United Kingdom,one of the first packet-switched networks,The first computer network,The first Dutch packet-switched network,the first Dutch packet-switched network
Where do ctenophora live?,"['marine waters', 'marine waters worldwide', 'marine waters']",Marine habitats,Marine habitats,in marine environments,most marine environments,marine habitats,marine habitats,"marine habitats, particularly in surface waters near shores"
What is an underbid?,"['when builders ask for too little money to complete the project', 'when builders ask for too little money to complete the project', 'builders ask for too little money to complete the project']",to bid less than a competing bidder,To bid less than a competing bidder,a bid lower than the current highest bid,To bid less than a competing bidder,to bid less than (another bid) or less than the bid of (another bidder),Bidding less than a competing bidder,Bidding less than a competing bidder
What is Sanctifying Grace?,"['grace of God which sustains the believers in the journey toward Christian Perfection', 'is that grace of God which sustains the believers in the journey toward Christian Perfection', 'that grace of God which sustains the believers in the journey toward Christian Perfection']",Gift of God's life into the soul,Gift of God's life,a supernatural gift of God that enables us to live a holy life,Infused gift of God's life,"God's freely given presence and power to restore the fullness of God's image in which we are created, and a permanent substance that adheres to the soul unless one rejects God by committing a mortal sin.",infused into the soul by the Holy Spirit,A gratuitous gift of God's life infused into the soul
What surrounds Plastoglobuli?,"['a lipid monolayer', 'lipid monolayer', 'a lipid monolayer']",membrane lipid monolayer,A membrane lipid monolayer,lipid bilayer,a membrane lipid monolayer,membrane lipid monolayer,membrane lipid monolayer,"a membrane lipid monolayer, half-lipid bilayer, and a single peripheral membrane"
When was al-Nimeiry overthrown?,"['1985', '1985', '1985']","April 6, 1985","April 6, 1985","April 6, 1985",April 1985,6 April,"April 6, 1985","April 6, 1985"
EM,,0.1320754716981132,0.11320754716981132,0.09433962264150944,0.11320754716981132,0.09433962264150944,0.10062893081761007,0.10062893081761007
F1,,0.2846855061947455,0.2737968541041755,0.2648946650297806,0.3011652501254698,0.265267495141709,0.2741150514975141,0.2696317243854411
elapsed time,,285.21221506070793,170.5884526810556,0.7263823170332039,4.335149111237916,6.887610114595425,18.74450341260658,40.31834451207575
