Question,GT Answer,fever-short_react_text-davinci-002_google,"fever-short_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","fever-short_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",fever-short_vanilla_gpt-3.5-turbo-1106_google,fever-short_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,fever-short_multihop_gpt-3.5-turbo-1106_google,fever-short_dsp+sample_gpt-3.5-turbo-1106_google,fever-short_dsp+knn_gpt-3.5-turbo-1106_google
"Estonia is a place. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Overexposed is an album. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Barbarella is non-fiction. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"PBS is Western. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,NOT ENOUGH INFO,REFUTES,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,NOT ENOUGH INFO
"Veep has multiple fans. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Fringe concluded in 2011. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Ragtime features Morgan Freeman. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,NOT ENOUGH INFO,REFUTES,REFUTES,SUPPORTS,NOT ENOUGH INFO,SUPPORTS
"Grease was a novel. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,SUPPORTS,SUPPORTS,REFUTES,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS
"Veep is a show. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS
"Annie was released. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"IMDb is a site. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"SummerSlam was a concert. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,NOT ENOUGH INFO,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Matthew Vaughn is Russian. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,NOT ENOUGH INFO
"Sennacherib had no children. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],NOT ENOUGH INFO,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Aphrodite is beautiful. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Azithromycin is available. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,REFUTES,REFUTES,REFUTES
"Dopamine induces neuromodulation. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Amancio Ortega is German. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Islamabad is a state. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Ayananka Bose is Canadian. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,NOT ENOUGH INFO,REFUTES,REFUTES,REFUTES
"Vampires are deceased. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],NOT ENOUGH INFO,SUPPORTS,REFUTES,REFUTES,REFUTES,REFUTES,SUPPORTS,REFUTES
"Birmingham is a township. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,REFUTES,REFUTES,REFUTES
"Arjit Singh is female. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Scandal plays rock music. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Babur was a fighter. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Birmingham is a township. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,REFUTES,REFUTES,REFUTES
"Doxycycline may cause cramps. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,NOT ENOUGH INFO
"Sarah Hyland is Canadian. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Quay premiered in 2017. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],NOT ENOUGH INFO,REFUTES,REFUTES,SUPPORTS,NOT ENOUGH INFO,REFUTES,REFUTES,REFUTES
"Skopje was a village. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,REFUTES,SUPPORTS,SUPPORTS,REFUTES,SUPPORTS,REFUTES
"Scandal is from Seattle. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,REFUTES,NOT ENOUGH INFO,REFUTES,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,NOT ENOUGH INFO
"Milk is a biopic. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS
"James Brolin is French. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Solanum excludes the nightshades. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,SUPPORTS,SUPPORTS,REFUTES,REFUTES
"MS-13 is a thing. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Physics is a discipline. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Birmingham is in Germany. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Physics has subfields. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Acetylcholine induces neuromodulation. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Dopamine induces neuromodulation. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Grease had bad reviews. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES,SUPPORTS,SUPPORTS,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO
"Granite is a solid. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Gotham premiered on USA. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],REFUTES,REFUTES,SUPPORTS,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
"Scandinavia includes Greenland. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],,SUPPORTS,SUPPORTS,REFUTES,REFUTES,SUPPORTS,SUPPORTS,SUPPORTS
"Acetylcholine prevents neuromodulation. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],NOT ENOUGH INFO,REFUTES,REFUTES,REFUTES,SUPPORTS,REFUTES,REFUTES,REFUTES
"Milk is a film. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],REFUTES,SUPPORTS,SUPPORTS,REFUTES,NOT ENOUGH INFO,SUPPORTS,SUPPORTS,SUPPORTS
"The Punisher stars Americans. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Japan is in Asia. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS
"Chris Benoit is immortal. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES,REFUTES
EM,,0.5266666666666666,0.64,0.7133333333333334,0.64,0.66,0.5866666666666667,0.6133333333333333,0.6266666666666667
elapsed time,,2.4175425799687704,533.153975669543,355.12232866128284,0.6145464213689168,8.370923693974813,6.992057248751323,26.847493081092836,22.023148131370544
