Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google"
John Alexander and Trent Alexander-Arnold are professional footballers from which country?,['England'],"John Alexander is from Australia, and Trent Alexander-Arnold is from England.","John Alexander is from Australia, and Trent Alexander-Arnold is from England.",John Alexander is from Australia and Trent Alexander-Arnold is from the United Kingdom.,John Alexander is from Australia and Trent Alexander-Arnold is from the United Kingdom.,John Alexander is from Australia and Trent Alexander-Arnold is from the United Kingdom.,"John Alexander is from Australia, and Trent Alexander-Arnold is from the United Kingdom.",Australia and United Kingdom,Australia and United Kingdom,Australia and United Kingdom,England,Australia and United Kingdom,Australia and United Kingdom,Australia and United Kingdom,Australia and United Kingdom,England,Australia and United Kingdom,Australia and United Kingdom,Australia and United Kingdom,Australia and United Kingdom,England,"John Alexander is from Australia, and Trent Alexander-Arnold is from the United Kingdom.","John Alexander is from Australia, and Trent Alexander-Arnold is from the United Kingdom.","John Alexander is from Australia, and Trent Alexander-Arnold is from the United Kingdom.","John Alexander is from Australia, and Trent Alexander-Arnold is from the United Kingdom.","John Alexander is from Australia, and Trent Alexander-Arnold is from the United Kingdom."
What production company was co-created by the lead singer of the band Poison?,['Sheen Michaels Entertainment'],A production company,A production company,A production company,A production company,Unknown,A production company,A production company,A production company,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,B*M*B Productions,B*M*B Productions,B*M*B Productions,B*M*B Productions,B*M*B Productions
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,['no'],No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Which man, Ibn Tufail or Ali Qushji, is best known for the development of astronomical physics independent from natural philosophy?",['Ali Qushji'],Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji
What was the breakthrough role of the actor starring in Good Boy! and was a native of Atlanta?,"['Tai Frasier in ""Clueless""']","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles"
Boggle is a word game originally distributed by a toy and game manufacturer that published more than how many games?,"['1,800']","1,800","1,800","1,800","1,800","1,800 games","1,800 games","1,800 games","1,800 games","1,800 games","1,800 games","1,800 games","1,800 games","1,800 games","1,800 games","1,800 games","1,800","1,800","1,800","1,800","1,800",1,1,1,1,1800
What role did Julianne Moore play in the 2002 Oscar winning movie?,['emotionally troubled women'],,,,,,,,,,,,,,,,,,,,,,,,,None
What type of activity does Owner earnings and Warren Buffett have in common?,['business'],Investment,Investment,Investment,Investment,Investment,Value investing,Value investing,Value investing,Value investing,Valuation,Value investing,Value investing,Value investing,Valuation and investing,Valuation and investing,Value investing,Value investing,Value investing,Valuation method,Value investing,Investing,Investing,Investing,Investing,Investing
What was the rank of the leader of the army defeated by West Saxon forces?,['commanders of the Great Army'],Dane,Dane,Dane,Dane,Dane,Dane,Dane,Dane,Dane,Duke,Dane,Dane,Dane,Duke,Duke,Dane,Dane,Dane,Dane,Duke,Duke,Duke,Duke,Duke,Duke
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",['Roberta Vinci'],Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Jorge Lozano,Roberta Vinci,Roberta Vinci,Roberta Vinci,Roberta Vinci,Roberta Vinci
"What three time Tony nominee composed ""Ghost Quartet""?",['Dave Malloy'],Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy
"When did the tour begin for the album Taylor Swift released on October 22, 2012?","['March 13, 2013']","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013","March 13, 2013"
Roxie Hart starred the entertainer and comedic actor who had what nickname?,['The King of Chutzpah'],Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Renée Zellweger,Renée Zellweger,Cedric the Entertainer,Cedric the Entertainer,Cedric the Entertainer,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,Gwen Verdon,The entertainer,The entertainer,Gwen Verdon,Gwen Verdon,Gwen Verdon
Are Guildford Cathedral and St Paul's Cathedral both located in England?,['yes'],Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes
Who had a perfect game against The Ignitor's team in 1998?,['David Wells'],David Wells,David Wells,David Wells,David Wells,Paul Molitor,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells
Kevin Yorn an American entertainment attorney who represents an Australian actor who  played the role of Josh Taylor in what soap opera?,['Neighbours'],Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Neighbours,Neighbours,Neighbours,Neighbours,Neighbours
Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,['Akosua Gyamama Busia'],Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia
"How many rooms are in the building built in 1883 at Garden City in Nassau County, New York?",['500-room'],500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,500 rooms,269 rooms,269 rooms,269 rooms,269 rooms,269 rooms
What do the Church of St. Mary of the Spring and Hagia Irene have in common?,['Greek Eastern Orthodox church'],Located in Istanbul,Located in Istanbul,Located in Istanbul,Located in Istanbul,Located in Istanbul,Both are churches in Istanbul,Located in Istanbul,Both are churches in Istanbul,Both are churches in Istanbul,They are both churches in Istanbul.,They are both ancient churches in Istanbul,They are both ancient churches in Istanbul,They are both ancient churches in Istanbul,They are both ancient churches in Istanbul,They are both ancient churches in Istanbul,Both are churches in Istanbul,Located in Istanbul,Both are churches in Istanbul,Both are churches in Istanbul,They are both churches in Istanbul.,Located in Istanbul,Located in Istanbul,Located in Istanbul,Located in Istanbul,Located in Istanbul
Who does the current PFA Young Player of the Year currently play for?,['Premier League club'],Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal
"Who was Germany's large-scale, low strength fortification unit, disbanded in 1919, named after? ",['Menges'],Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Edmund Pendleton Gaines,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,André Maginot,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,Austro-Hungarian,André Maginot,André Maginot
"József Viola's association was most prominent with which professional Italian football club in Turin, Piedmont?",['Juventus Football Club'],Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus
Were both Prince and Patty Jenkins have been inducted into the Rock and Roll Hall of Fame?,['no'],No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Are the bands ""Black Grape"" and ""Balance and Composure"" from the same country?",['no'],No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
are Tinto Brass and Baltasar Kormákur both from the same country ?,['no'],No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.
which university was founded first Duke University or Tufts University?,['Duke University'],Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University,Duke University
What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,['Israeli Ambassador'],Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Israeli Minister of Strategic Affairs,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Minister of Strategic Affairs of Israel,Israeli Minister of Strategic Affairs,Israeli Minister of Strategic Affairs,Israeli Minister of Strategic Affairs,Israeli Minister of Strategic Affairs,Israeli Minister of Strategic Affairs
What was the nickname of the player who played his final season for the 2016 Miami Dolphins before dying in an accident?,['Niño'],Xavien Howard,,Xavien Howard,Xavien Howard,Xavien Howard,Unknown,Xavien Howard,Xavien Howard,Xavien Howard,Xavien Howard,Sweetness,Sweetness,Sweetness,Sweetness,"""Sweetness""",Sweetness,Sweetness,Sweetness,Sweetness,Sweetness,Sweetness,Sweetness,Sweetness,Sweetness,Sweetness
Is Velvetpark or Shape magazine written more for a lesbian and queer-identified female readership?,['Velvetpark'],Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark magazine,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark magazine,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark
Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,['the world No. 1 for the first time'],More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam titles,More Grand Slam titles,More Grand Slam titles,More Grand Slam singles titles,More Grand Slam singles titles,More Grand Slam titles,More Grand Slam singles titles,More Grand Slam titles,More Grand Slam titles,More Grand Slam titles,More Grand Slam titles,More Grand Slam titles
"On what album is Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" featured?","['""Give Up""']",Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights,Such Great Heights
What race track in the midwest hosts a 500 mile race eavery May?,['Indianapolis Motor Speedway'],Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway
What does the organization associated with Carl Wieland believe about anything other than the young earth view? ,['a compromise on biblical inerrancy'],It is a compromise on the principle of the Bible.,It is a compromise on the principle of the Bible.,It is a compromise on the principle of the Bible.,It is a compromise on the principle of the Bible.,compromise,A compromise,compromise,It is a compromise on the principle of the Bible.,It is a compromise on the principle of the Bible.,A compromise,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of the Bible.,It is a compromise on the principle of the Bible,It is a compromise on the principle of the Bible,It is a compromise on the principle of the Bible,A compromise,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.,It is a compromise on the principle of biblical inerrancy.
"What type of place does Regency Road, Adelaide and Klemzig, South Australia have in common?",['city'],Suburb,Suburbs,Suburbs,Suburbs,Suburbs,Suburbs,Suburbs,Suburbs,Suburbs,Suburbs,"They are both in Adelaide, South Australia.","They are both in Adelaide, South Australia.",South Australia,South Australia,South Australia,"They are both in Adelaide, South Australia.",Suburbs of Adelaide,Suburbs of Adelaide,Suburbs of Adelaide,Suburbs of Adelaide,"They are both in Adelaide, South Australia.","They are both in Adelaide, South Australia.",South Australia,South Australia,South Australia
The owner of radio station KWPW has the same name as an American character actor. What is it?,['Bill McCutcheon'],Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Marvin Miller,Marvin Miller,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo,Alex Meruelo
In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"['Istanbul, Turkey']",Istanbul,"Istanbul, Turkey",Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,"Istanbul, Turkey","Istanbul, Turkey","Istanbul, Turkey","Istanbul, Turkey","Istanbul, Turkey"
What is the name of the independent candidate in Maine's 2010 gubernatorial race who finished ahead of Libby Mitchell?,['Eliot Cutler'],Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler
"What Province in Sicily, founded in the eighth century B.C., was the birthplace of the famous historical mathematician Archimedes?",['Province of Syracuse'],Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse
What is the name of second extended play by the artists of the mini-abum Code#01?,['Code#02 Pretty Pretty'],2NE1,Pretty Pretty,Pretty Pretty,Pretty Pretty,Pretty Pretty,2NE1,Pretty Pretty,2NE1,2NE1,2NE1,2NE1 (2011 EP),2NE1 (2011 EP),2NE1,Bad Girl,2NE1,2NE1,2NE1,2NE1,2NE1,2NE1,2NE1 2nd Mini Album,2NE1 2nd Mini Album,2NE1 2nd Mini Album,2NE1 2nd Mini Album,2NE1 2nd Mini Album
What publisher published Anthony Doerr's Pulitzer Prize fiction novel?,['Scribner'],Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner
The design team for role playing game Black Crusade featured the work of this designer who was the lead developer for what game?,['Dark Heresy'],Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy,Dark Heresy
What midfielder for West Bromwich Albion is Michael John Standing an agent for?,['Gareth Barry'],Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry
What do Woodstock and American Dream have in common?,['documentary film'],1960s culture,1960s culture,1960s culture,Both are associated with the 1960s and represent ideals of freedom and equality.,Upward mobility and success,Both are associated with the 1960s.,Both are associated with the 1960s.,1960s,"Location in Bethel, New York in 1969",1960s,Unity and peace,Unity and peace,Unity and peace,Unity and peace,Unity and peace,They both took place in America.,They both took place in America.,Both are associated with the United States.,Both are associated with the United States.,Success and upward mobility,Counterculture movement and protests against the Vietnam War,Counterculture movement and protests against the Vietnam War,Counterculture movement and protests against the Vietnam War,Counterculture movement and protests against the Vietnam War,Counterculture movement and protests against the Vietnam War
Are both Adolfo Bioy Casares and James Norman Hall Argentinian authors?,['no'],No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Which item spanned farther distances regarding sales, Interact Home Computer or Sord M5?",['Sord M5'],Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5,Sord M5
The King of Hollywood starred in what 1932 American pre-Code dram film?,['Strange Interlude'],Strange Interlude,Strange Interlude,Strange Interlude,Strange Interlude,Strange Interlude,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own,No Man of Her Own
Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,['University of Kansas'],University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas
"Between two scientists Ernst Messerschmid and Philippe Perrin, who is older?",['Ernst Willi Messerschmid'],Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid
"What former city, now the fourth-largest Russian city, was the Belarusian State Technological University evacuated to in 1941?",['Sverdlovsk'],Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,"Sverdlovsk, now Yekaterinburg","Sverdlovsk, now Yekaterinburg","Sverdlovsk, now Yekaterinburg","Sverdlovsk, now Yekaterinburg","Sverdlovsk, now Yekaterinburg"
Shirley Breeden won her first Senate term in a narrow upset over the politician who was a member of what branch of the armed forces?,['U.S. Army'],United States Army Reserve,United States Army Reserve,United States Army Reserve,United States Army Reserve,United States Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,United States Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,Army Reserve,Republican,Republican,Republican,Republican,Republican
