Question,GT Answer,hotpotqa-long_react_text-davinci-002_google,"hotpotqa-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-long_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",hotpotqa-long_vanilla_gpt-3.5-turbo-1106_google,hotpotqa-long_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,hotpotqa-long_multihop_gpt-3.5-turbo-1106_google,hotpotqa-long_dsp+sample_gpt-3.5-turbo-1106_google,hotpotqa-long_dsp+knn_gpt-3.5-turbo-1106_google
"What year did the Jang Hoon directed film, starring Song Kang-ho in the title role and selected as the South Korean entry for the Best Foreign Language Film at the 90th Academy Awards, debut?",['2017'],2017,2017,2017,2017,2017,2017,2017,2017
"Which male singer performed together with a female American singer, who was born in 1954 and whose third studio album was named Through His Eyes, have a hit duet with in 1985?",['Phil Collins'],,Phil Collins,Rod Stewart,Whitney Houston,"Marvin Gaye

---",Phil Collins,Phil Collins,Phil Collins
"The lead vocalist of the group ""Tenacious D"" plays a supporting role along with Dennis Leary and Will Patton in a film that received what award at the 1999 Venice Film Festival?",['Ecumenical Award'],Golden Lion,Silver Lion,Golden Lion,"Jack Black, Best Director for David O. Russell.",Jack Black,Not One Less received the Golden Lion award at the 1999 Venice Film Festival.,Little Golden Lion award and the Ecumenical Award,Little Golden Lion
"At which rank did the American author, military historian, illustrator and painter, born in 1913, who survived the surprise military strike by the Imperial Japanese Navy Air Service against the United States finally retire?",['Colonel'],London Borough of Camden,Colonel,Major,Colonel,General,Colonel,Colonel,Colonel
"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingram, pay for, before being drafted 18th overall pick for the New Jersey Nets?",['Stanford University'],2015,UCLA,Penn State University,University of Connecticut,New Jersey Nets,Creighton University,Villanova University,Idaho State University
A man known as one of the most brutal pro-Confederate guerrilla leaders in the American Civil War had a following that included a bank and train robber from western Missouri raised in what area?,['Little Dixie'],"""Little Dixie"" area of Western Missouri",Little Dixie,"""Little Dixie"" area of Western Missouri",Quantrill's Raiders,Missouri,"""Little Dixie"" area","""Little Dixie"" area of Western Missouri",Little Dixie
"The man Tony Bennet called ""The Father of Rock and Roll"" once toured with what singer who once auditioned for ""Junior Junction"", and landed a recording contract in her teens?",['Lola Dee'],Linda Ronstadt,Lola Dee,Chuck Berry,Elvis Presley,Brenda Lee,Dee Dee Sharp,Johnnie Ray,Johnnie Ray
"In addition to Richard Strauss, Luigi Nono, Krzysztof Penderecki, Joaquín Rodrigo, and the German composer whose known for ""Das Marienleben"", what other composers have been represented by ESZ since the 1950s?","['Igor Stravinsky, Carl Orff']",,"Igor Stravinsky, Carl Orff","Pierre Boulez, Karlheinz Stockhausen, Milton Babbitt","Hans Werner Henze, Karlheinz Stockhausen, and Benjamin Britten.",Giacinto Scelsi,"Michel van der Aa, Thorvald Aagaard, Truid Aagesen, Heikki Aaltoila, Juhan Aavik, Evaristo Felice Dall'Abaco",Alessandro Solbiati,"Igor Stravinsky, Carl Orff, Paul Hindemith"
"Which nationality is the international footballer, born 20 March 1984, who made his breakthrough La Liga debut in the 2002–03 Atlético Madrid season, scoring 13 league goals as a teenager?",['Spanish'],England,Spanish,Spanish,Spanish,Spanish,Spanish,Spanish,Spanish
"How many episodes were in the 23rd season of a Fox network show which, in it's twenty-second season, aired it's twenty-first episode which was written by John Frink and directed by Bob Anderson.",['22 episodes.'],,22 episodes,22 episodes,22 episodes.,22 episodes,22 episodes,22 episodes,22
"What was the book that was centered around a rule that is expressed algebraically, or quantities ""a"" and ""b"" with ""a"" > ""b"" > 0?","[""The Story of Phi, the World's Most Astonishing Number""]","""a"" > ""b"" > 0, ""a"" and ""b""",(1 + √5) / 2,Fundamental theorem of algebra,"The book was ""The Rules of Algebra"" by John R. Durbin.",Unknown Quantity,A Book of Abstract Algebra,Unknown Quantity: A Real and Imaginary History of Algebra,Unknown Quantity: A Real and Imaginary History of Algebra
"Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from which opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet""?",['To be'],"""To be, or not to be""","""To be, or not to be""","Act 3, Scene 1",To be or not to be.,"""To be or not to be""","""To be, or not to be""","""To be, or not to be""","""To be, or not to be"""
"John Michael Montgomery has had more than 30 singles on the ""Billboard"" country music charts, but what single from his fourth studio album What I Do the Best never reached the top ten on the Hot Country Songs charts?","['""Ain\'t Got Nothin\' on Us""']",I Miss You a Little,"""Friends""","""Mad Cowboy Disease""","""Hello L.O.V.E.""","""Ain't Got Nothin' on Us""","""Ain't Got Nothin' on Us""","""Ain't Got Nothin' on Us""",Friends
"""The Simpson's"" episode featuring the  ""Itchy & Scratchy & Poochie"" show satirized the world of television production just as the episode featuring the ""Itchy & Scratchy & Marge"" satirized what type of issue?",['censorship'],,censorship issues,Censorship issues,Censorship,Violence,Censorship,Dangers of censorship,censorship issues
Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,['Donald Duck'],Donald Duck,Donald Duck,Donald Duck,Donald Duck,Donald Duck,Donald Duck,Donald Duck,Donald Duck
"David Wayne Hull (born 1962 or 1963) is a leader of which group that originated in Mississippi in the early 1960s under the leadership of Samuel Bowers, its first Grand Wizard?",['White Knights'],White Knights of the Ku Klux Klan,White Knights of the Ku Klux Klan,White Knights of the Ku Klux Klan,The Ku Klux Klan,Ku Klux Klan,White Knights of the Ku Klux Klan,White Knights of the Ku Klux Klan,White Knights of the Ku Klux Klan
"Ist das Ihr Fahrrad Mr O’Brien? is a German biographical radio play about life, works and legacy of an Irish novelist whose many satrical columns were written under what name?",['Myles na gCopaleen'],Myles na gCopaleen,Myles na gCopaleen,Myles na gCopaleen,Flann O'Brien,Myles na gCopaleen,Myles na gCopaleen,Myles na gCopaleen,Myles na gCopaleen
"When was the Indian film actor, producer and playback singer born who debut with the 2000 War film, ""Refugee"" and had lead role in Main Prem Ki Diwani Hoon?",['5 February 1976'],"July 22, 1923","February 5, 1976","February 5, 1976",1980,1976,5 February 1976,"February 5, 1976","February 5, 1976"
"The song by English indie rock band Florence and the Machine written by Florence Welch and Francis ""Eg"" White and released in 2011 is named after the painting which was completed in which year?",['1938'],2011,1938,1498,"The song is named after the painting ""The Birth of Venus"" which was completed in 1486.",1938,1485,1938,1938
"What is the name of the American author, songwriter, educator, lawyer, diplomat, civil rights activist and husband to Grace Nail Johnson who was the first African American executive secretary of the National Association for the Advancement of Colored People (NAACP)?",['James Weldon Johnson'],James Weldon Johnson,James Weldon Johnson,James Weldon Johnson,James Weldon Johnson,James Weldon Johnson,James Weldon Johnson,James Weldon Johnson,James Weldon Johnson
"What is the name of the actress who played as Blair Cramer from the daytime drama series ""One Life to Live"" for 20 years who is also currently playing as Eve Donovan on ""Days of Our Lives""?",['Kassie DePaiva'],Kassie DePaiva,Kassie DePaiva,Kassie DePaiva,Kassie DePaiva,Kassie DePaiva,Kassie DePaiva,Kassie DePaiva,Kassie DePaiva
"In ""Bon Cop, Bad Cop"", Canadian actor Rick Howland played the role of Harry Buttman (a parody of Gary Beltman), who is the current commissioner of what National sports league? ",['National Hockey League (NHL)'],National Hockey League,NHL (National Hockey League),National Hockey League,National Hockey League,National Hockey League (NHL),National Hockey League (NHL),National Hockey League (NHL),National Hockey League (NHL)
"What was a series of battles during the Revolutionary War, for control of New York City and the state of New Jersey, fought on October 28, 1776 near White Plains, New York?",['New York and New Jersey campaign'],The Battles of Lexington and Concord were for the outbreak of armed conflict between the Kingdom of Great Britain and Patriot militias from America's thirteen colonies.,Battle of White Plains,The Battle of White Plains,Battle of White Plains,New York and New Jersey campaign,New York and New Jersey campaign,New York and New Jersey campaign,New York and New Jersey campaign
"A pakistani photogropher was the personal photographer of a Pakistani politician who served as Prime Minister of Pakistan from 1973 to 1977,and who also served in what political office prior to that?",['President of Pakistan'],,President,President,Zulfikar Ali Bhutto served as the President of Pakistan from 1971 to 1973.,President,President,President of Pakistan,President
"The extended play (EP) ""Calibraska"" by the American pop-rap duo Jack & Jack, known for their 2014 single ""Wild Life,"" is a portmanteau of what two U.S. states?","['Nebraska, where the duo originate, and California, where they are now based']",,California and Nebraska,California and Nebraska,California and Nebraska,California and Nebraska,Nebraska and California,Nebraska and California,"Nebraska, California"
"During the 2012-13 Blackppol F.C. season, their top scorer was what English professional footballer who plays as wither an attacking midfielder, winger, or forward for Premier League club Huddersfield Town?",['Thomas Christopher Ince'],Tom Ince,Tom Ince,Tom Ince,Thomas Ince,Tom Ince,Tom Ince,Tom Ince,Tom Ince
"""Show 'Em (What You're Made Of)"" is a song written by a group of people including an American singer/songwriter who was inducted into what on April 10, 2015?",['Kentucky Music Hall of Fame'],Backstreet Boys,Kentucky Music Hall of Fame,Kentucky Music Hall of Fame,Songwriters Hall of Fame,Kentucky Music Hall of Fame,Kentucky Music Hall of Fame,Kentucky Music Hall of Fame,Kentucky Music Hall of Fame
"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","['""Murder Request""']",Murder Request,"""The Deal""",The Murder Request,The Deal,"""The Deal""","""Murder Request""",Murder Request,The Deal
"The American comedy film Krystal stars which actor who appeared in numerous films such as ""Contact"", ""Armageddon"", ""The Perfect Storm"", ""Crash"", ""Blades of Glory"", ""Black Hawk Down"", ""Nine Lives"", etc.?",['William Fichtner'],Rosario Dawson,William Fichtner,William Fichtner,William Fichtner,William Fichtner,William Fichtner,William Fichtner,William Fichtner
"Although he mostly provided backing vocals as part of this group, Mark Owen's first single ""Four Minute Warning"" released on 4 August 2003, was once part of this English pop music group.",['Take That'],"""Four Minute Warning"" released on 4 August 2003",Take That,Take That,Take That,Take That,Take That,Take That,Take That
"In which year was the American politician, that both represented New York in the United States Senate and served as an adviser to President Richard Nixon, re-elected for a fourth term as U.S. Senator?",['1994'],1972,1988,1982,1970,1972,1994,2016,2000
"Who was the wife of the United States Army lieutenant general who received the Distinguished Service Cross, and was the first of his West Point class to be promoted to brigadier general, major general, and lieutenant general",['Julia Compton Moore'],unknown,Anna Mae Hays,Mrs. Moore,Hazel Johnson-Brown,Julie Lang Moore,Julie Langford Moore,Julia B. Compton Moore,Julia B. Compton Moore
High Water is a song by Bob Dylan it was based on the 1927 Lousiana Flood. Another song recorded by Dylan about the event is When the Levee Breaks who is the Husband and Wife team that wrote and recorded this song in 1929 ?,['Joe McCoy and Memphis Minnie'],,Memphis Minnie and Kansas Joe McCoy,Memphis Minnie and Kansas Joe McCoy,Kansas Joe McCoy and Memphis Minnie,Kansas Joe McCoy and Memphis Minnie,Memphis Minnie and Kansas Joe McCoy,Memphis Minnie and Kansas Joe McCoy,Memphis Minnie and Kansas Joe McCoy
"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",['Flavivirus'],Erythema infectiosum,Morbillivirus,Orthohepevirus,Hepacivirus,Hepatitis,Flavivirus,Flavivirus,Hepatitis
"Don Swayze was one of five children.  His older brother was trained in dance by their mother, Patsy Swayze, leading to his role in ""Dirty Dancing"".  Who is his older brother?",['Patrick Swayze'],Patrick Swayze,Patrick Swayze,Patrick Swayze,Patrick Swayze,Patrick Swayze,Patrick Swayze,Patrick Swayze,Patrick Swayze
"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by what author?",['Charles L. Clifford'],"""Beau Geste""",Emily Brontë,Emily Brontë,Jules Verne,Jules Verne,Charles L. Clifford,Emily Brontë,Charles L.
"Who is this American cartoonist, writer, producer, animator, and voice actor that worked with this multiple Shuster Award, Harvey Award and Eisner Award nominee and an Eisner Award–winning comic book creator?",['Matt Groening'],,Stan Lee,Ian Boothby,Seth MacFarlane,Stan Lee,Matt Groening,Matt Groening,Matt Groening
What is the name of the US battleship best know for the setting of the film Under Siege and the site of the surrender of the Empire of Japan to end World War II?,"['U.S. Navy battleship USS ""Missouri""']",Missouri,USS Missouri,USS Missouri,USS Missouri,USS Missouri,USS Missouri,USS Missouri,USS Missouri
"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",['Army of the Holy Roman'],Holy Roman Empire,Holy Roman Empire,Holy Roman Empire,The Holy Roman Empire,Imperial Army,Holy Roman Empire,Holy Roman Empire,Holy Roman Empire
Who was the king of England who became king after the death of his younger brother and whose reign was chaotic due to rivalry with relatives until his own death a few decades later?,['Stephen of Blois'],,Edward II,Edward II,Richard III,Edward II,Edward IV,Edward II,James II
"In which year was the author born that wrote about  the former succubus Jezebel, now the mortal Jesse Harris, as she tries to avoid her Hellish past and learn how to be truly human?",['1970'],,1955,Unknown,1969.,1969,1969,1969,1969
"Which player, who also played for the New Jersey Nets and the Golden State Warriors, finished third in the league with 231 three-point field goals during the 1995-96 Atlanta Hawks season?",['Mookie Blaylock'],Mookie Blaylock,Mookie Blaylock,Steve Smith,Mookie Blaylock,Mookie Blaylock,Mookie Blaylock,Mookie Blaylock,Mookie Blaylock
Until what year did the Chief of Justice of the Supreme Court that administered the presidential oath of office to Abraham Lincoln on his first inauguration as the 16th President of the United States hold that office?,['1864'],1873,1864,1864,1864,1864,1864,1864,1864
EM,,0.17518248175182483,0.4306569343065693,0.3722627737226277,0.24087591240875914,0.35766423357664234,0.4233576642335766,0.45255474452554745,0.44525547445255476
F1,,0.2461924615083437,0.5976622323337651,0.5335566299069948,0.3814602874821853,0.5004718720047188,0.5932194731464804,0.6426922226192299,0.6232774119635434
elapsed time,,6.426257601619637,188.88482472844368,113.20064562776663,0.7908844756383966,5.102890007687311,8.421822640147523,19.25820187756615,54.968973821097045
