What has technological innovation and automation replaced low-skilled jobs with?,"['machine labor', 'machine labor', 'machine labor']",High-skilled and low-skilled jobs,High-skilled and non-routine tasks,new job opportunities,Capital and machines,Non-routine high-skilled jobs and complementary low-skilled jobs,High-skilled and low-skilled jobs,non-routine high-skilled jobs and low-skilled jobs,Non-routine high-skilled jobs,high-skilled and non-routine jobs,High-skilled and low-skilled jobs,Machines and robots,high-skilled and non-routine jobs,High-skilled and low-skilled jobs,Job displacement and increased productivity,High-skilled and low-skilled jobs,New job opportunities,Non-routine high-skilled jobs and low-skilled jobs,High-skilled and low-skilled jobs,High-skilled and low-skilled jobs,High-skilled and non-routine jobs,Various improvements and advancements,High-skilled and low-skilled jobs,New job opportunities,High-skilled and low-skilled jobs,New job opportunities,new job opportunities,high-skilled and non-routine jobs,High-skilled and low-skilled jobs,High-skilled jobs and low-skilled jobs,Machines,Non-routine high-skilled jobs and low-skilled jobs,High-skilled and low-skilled jobs,New job opportunities,non-routine high-skilled jobs and low-skilled jobs,high-skilled and non-routine jobs
Who caused the dissolution of the Holy Roman Empire?,"['Napoleon', 'Napoleon', 'the defeat of Napoleon', 'Napoleon', 'defeat of Napoleon']",Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Francis II,Voltaire,Napoleon and the French,Napoleon,Napoleon and the French,Napoleon and the French,Francis II,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Francis II,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Voltaire,Napoleon and the French,Napoleon and the French,Francis II,Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French,Austria's defeat at the Battle of Austerlitz and the secession of Francis II's German vassals
Older people get less sun and produce less of what chemical via UVB radiation?,"['cholecalciferol', 'cholecalciferol', 'cholecalciferol']",Vitamin D,Vitamin D,Vitamin D3,vitamin D,vitamin D,vitamin D,Vitamin D,vitamin D,Vitamin D,Vitamin D,Vitamin D3,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D3,Vitamin D3,Vitamin D,Elastin,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D,Vitamin D3
What social construct did Huguenot refugees in Canterbury practice?,"['economic separation', 'economic separation', 'worked as weavers']","economic separation, worked as weavers",economic separation; worked as weavers,"economic separation, worked as weavers",Economic separation worked as weavers,"economic separation, worked as weavers",Calvinism,economic separation,"economic separation, worked as weavers",Weaving,Weaving industry,weaving industry,"economic separation, worked as weavers","economic separation, worked as weavers",Textile industry,"economic separation, worked as weavers","economic separation, worked as weavers","economic separation, worked as weavers","economic separation, worked as weavers","economic separation, worked as weavers",economic separation; worked as weavers,Economic separation,"economic separation, worked as weavers",economic separation; worked as weavers,"economic separation, worked as weavers",economic separation; worked as weavers,"economic separation, worked as weavers","textile skills, trade, and production",Variety of professions,Textile skills and trade,Silk-weaving,silk-weaving,"economic separation, worked as weavers","economic separation, worked as weavers","economic separation, worked as weavers","economic separation, worked as weavers"
What society founded the University of Chicago?,"['the American Baptist Education Society', 'American Baptist Education Society', 'American Baptist Education Society', 'American Baptist Education Society']",American Baptist Education Society,American Baptist Education Society,The American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,The University of Chicago,American Baptist Education Society,John D. Rockefeller,American Baptist Education Society,the American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,the American Baptist Education Society,American Baptist Education Society,the American Baptist Education Society,American Baptist Education Society,The American Baptist Education Society,the American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,The American Baptist Education Society,American Baptist Education Society,The American Baptist Education Society,The American Baptist Education Society,The American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,the American Baptist Education Society,American Baptist Education Society,The American Baptist Education Society,American Baptist Education Society
What ruined Richard's plans to reach Acre?,"['a storm', 'a storm', 'a storm']",Siege of Acre,French king's early return,The Battle of Jaffa,A storm,The early return of the French king,The early return of the French king,A storm,Philip's early return,the early return of the French king,Early return of the French king,Storm,French king's early return,Early return of the French king,Siege of Acre,Siege of Acre,French king leaving,The early return of the French king,The siege of Acre,Early return of the French king,Saladin's interception,Saladin's army remaining largely intact.,The early return of the French king,The early return of the French king,The early return of the French king,The early return of the French king,The Battle of Jaffa,a storm,Adverse winds,the garrison at Acre,Adverse winds,The garrison at Acre launched an attack into the Christian left flank's rear,The early return of the French king,Early return of the French king,The early return of the French king,A storm
Who is known as the first Keeper of Fine Art Collection at the V&A?,"['George Wallis', 'George Wallis', 'George Wallis']",George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis,George Wallis
"In what year of 20th century, did Harvard release an important document about education in America?","['1945', '1945', '1945']",1945,1945,1945,1945,1945,1945,1636,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1636,1945,1945,1945,1945,1945,1945
What is set aside for question periods in the debating chamber?,"['Parliamentary time', 'Parliamentary time', 'Parliamentary time']",45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,Private members' business,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes
How old was tesla when he became a US citizen?,"['35', '35', '35']",35,35,35,35,35,28 years old,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
When did England formally declare war on France?,"['May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756']",20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,"February 1, 1793",20 May 1756,"May 20, 1756",20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,"May 24, 1337",20 May 1756,20 May 1756,20 May 1756,1 February 1793,20 May 1756,20 May 1756,"May 20, 1756",20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,20 May 1756,"May 24, 1337",20 May 1756,20 May 1756
What is the name for a response of the immune system that damages the body's native tissues?,"['Hypersensitivity', 'Hypersensitivity', 'Hypersensitivity']",autoimmune disorder,Autoimmune response,autoimmune disorder,Autoimmune response,Autoimmune response,Autoimmune response,autoimmune response,Autoimmune response,Autoantibodies,Autoimmune response,Autoimmune disease,Autoimmune disorder,autoimmune disorder,Autoimmune response,autoimmune disorder,Autoimmune response,Autoimmune response,autoimmune disorder,autoimmune disorder,Autoimmune response,autoimmune response,autoimmune disorder,Autoimmune response,autoimmune disorder,Autoimmune response,autoimmune disorder,Autoimmune response,Autoimmune disorder,Autoimmune disease,autoimmune disease,Autoimmunity,autoimmune disorder,Autoimmune response,Autoimmune response,Autoimmune response
For what purpose do organisms make peroxide and superoxide?,"['destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes']",to kill invading microorganisms,Cell signaling and disease,Cell signaling and survival,Cell signaling and survival,"Cell signaling, survival, host defense, oxidative biosynthetic reactions",Signaling and host defense,cell signaling and defense,cell signaling and disease,cell signaling and disease,cell signaling and disease,Cell signaling and survival,Cell signaling and survival,to kill invading microorganisms,Cell signaling and disease,to kill invading microorganisms,Cell signaling and disease,Cell signaling and disease,to kill invading microorganisms,cell signaling and disease,Cell signaling and disease,To kill invading microorganisms,to kill invading microorganisms,Cell signaling and disease,to kill invading microorganisms,Cell signaling and disease,Cell signaling and survival,Signaling,Ward off pathogens and cellular signaling pathways,Cell signaling and disease,To kill invading microorganisms and for cell signaling and survival,Cell signaling and survival,to kill invading microorganisms,Defense,Cellular defense against reactive oxygen species,Signaling and cell defense
A strike by what entity resulted in a halt to production for network programs in the 2007-2008 season?,"['Writers Guild of America', 'The Writers Guild of America', 'Writers Guild of America']",Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America
What did Tesla work on in 1888?,"[""system to power the city's streetcars"", 'alternating current system', ""an alternating current system to power the city's streetcars""]",Electric Transmission of Power,Electric Transmission of Power,Electric transmission of power,AC induction motor and related polyphase AC patents,Induction motor and electric transmission of power,Electric Transmission of Power,electric transmission of power,Electric Transmission of Power,Electric transmission of power,Electric Transmission of Power,A new system of alternate current motors and transformers,"dynamos, transformers, and motors","Dynamos, transformers, and motors",Electric Transmission of Power,Electric transmission of power,"A new system of alternate current motors and transformers, electric transmission of power",Electric transmission of power,Electric transmission of power,"Dynamos, transformers, and motors",Electric Transmission of Power,Electric Transmission of Power,Electric Transmission of Power,A new system of alternate current motors and transformers,Electric Transmission of Power,Electric transmission of power,Electric transmission of power,Electric transmission of power,Electric Transmission of Power,Electric Transmission of Power,Electric Transmission of Power,Electric Transmission of Power,Electric transmission of power,Electric transmission of power and alternate current motors and transformers,Electric transmission of power,Electric transmission of power
To which year is the Gloucester Candlestick dated?,"['c1110', 'c1110', 'c1110']",1104-1113,1104 and 1113,between 1104 and 1113,1104 and 1113,between 1104 and 1113,1104 and 1113,between 1104 and 1113,1104 and 1113,1104 and 1113,1104-1113,1104 and 1113,between 1104 and 1113,1104-1113,1104 and 1113,1104-1113,1104 and 1113,1104 and 1113,1104-1113,1104-1113,1104 and 1113,between 1104 and 1113,1104-1113,1104 and 1113,1104-1113,1104 and 1113,between 1104 and 1113,1104-1113,between 1104 and 1113,between 1104 and 1113,between 1104 and 1113,1104-1113,1104-1113,1104 and 1113,1104 and 1113,between 1104 and 1113
What molecules act as defense signals?,"['salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'reactive oxygen species']",Oligosaccharins and membrane proteoglycans,"Salicylic acid, jasmonic acid, and ethylene","Cytokines, chemokines, cell adhesion molecules, and immunoreceptors",Volatile organic compounds (VOCs),"SA, methyl salicylate, jasmonate (JA), and ethylene (ET)",Proteoglycans,Glycans,hydrogen peroxide,"salicylic acid, jasmonate (JA), and ethylene (ET)","Salicylic acid, jasmonic acid, and ethylene",Jasmonic acid and salicylic acid,"Salicylic acid, jasmonic acid, and ethylene","hydrogen peroxide, jasmonic acid",Molecules,"hydrogen peroxide, jasmonic acid",Jasmonic acid and hydrogen peroxide,Sulfated glycosaminoglycans,"hydrogen peroxide, jasmonic acid",Oligosaccharins and membrane proteoglycans,"Salicylic acid, jasmonic acid, and ethylene",Proteoglycans,Oligosaccharins and membrane proteoglycans,Jasmonic acid and hydrogen peroxide,"Oligosaccharins, membrane proteoglycans","Salicylic acid, jasmonic acid, and ethylene","Cytokines, chemokines, cell adhesion molecules, and immunoreceptors","SA, methyl salicylate, jasmonate (JA), and ethylene (ET)",Oligosaccharins and membrane proteoglycans,Cytokines and growth factors,Cytokines,Glycosaminoglycans,"hydrogen peroxide, jasmonic acid",Jasmonic acid and hydrogen peroxide,Sulfated glycosaminoglycans,"SA, methyl salicylate, jasmonate (JA), and ethylene (ET)"
When did the Egyptian Islamic Jihad assassinate Anwar Sadat?,"['1981', '1981', '1981']",6 October 1981,"October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981",6 October 1981,"October 6, 1981",6 October 1981,"October 6, 1981","October 6, 1981",6 October 1981,6 October 1981,"October 6, 1981","October 6, 1981",6 October 1981,"October 6, 1981",6 October 1981,"October 6, 1981","October 6, 1981","October 6, 1981",6 October 1981,"October 6, 1981","October 6, 1981","October 6, 1981",6 October 1981,"October 6, 1981","October 6, 1981","October 6, 1981"
What was the score for the 2015 NFC championship game?,"['49–15', '49–15', '49–15,']",28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22,28-22
In what episode did Dudley Simpson play a music conductor?,"['The Talons of Weng-Chiang', 'The Talons of Weng-Chiang', 'The Talons of Weng-Chiang']",The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""","""The Talons of Weng-Chiang""","""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""","""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""","""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,The Talons of Weng-Chiang
Which parts of the Earth are included in the lithosphere? ,"['the crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle']",Crust and outermost layer of the mantle,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,Brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,the brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,Mantle and crust,The brittle upper portion of the mantle and the crust,Mantle and crust,crust and upper mantle,The brittle upper portion of the mantle and the crust,Mantle and crust,Crust and outermost layer of the mantle,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,Crust and outermost layer of the mantle,The crust and upper mantle,Mantle and crust,The crust and upper mantle,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust.,Crust and outermost layer,Crust and upper mantle,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,Mantle and crust,Crust and upper mantle,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust
Photosynthesis uses which energy to for oxygen from water?,"['sunlight', 'sunlight', 'sunlight', 'the energy of sunlight', 'sunlight']",solar energy,Light energy,sunlight,Light energy,Sunlight,light energy,Sunlight,Light energy,Light energy,Solar energy,light energy,Light energy,solar energy,Light energy,solar energy,Light energy,Light energy,solar energy,solar energy,Light energy,Light energy,Solar energy,Light energy,Solar energy,Light energy,sunlight,light energy,solar energy,Light energy,light energy,Sunlight,solar energy,Light energy,Light energy,light energy
In Latin America what is the most revered skin color?,"['whiteness', 'whiteness', 'whiteness', 'whiteness', 'whiteness']",White,White,White,"White skin, blue or green eyes, and blonde hair",White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White skin,White,White,White,White,White,White,White,White skin
What is the name of the latest epoch?,"['The Holocene', 'Holocene', 'The Holocene', 'Holocene']",Holocene,Anthropocene,The Anthropocene Epoch,Anthropocene,Anthropocene Epoch,Anthropocene Epoch,Anthropocene Epoch,Anthropocene Epoch,Anthropocene,the Anthropocene Epoch,Anthropocene,Anthropocene,Holocene,Anthropocene,Anthropocene,Anthropocene,Anthropocene Epoch,Holocene,Holocene,Anthropocene,The Anthropocene Epoch,Holocene,Anthropocene,Holocene,Anthropocene,The Anthropocene Epoch,Anthropocene,Holocene,Anthropocene,Anthropocene,Anthropocene,Anthropocene,Anthropocene,Anthropocene Epoch,Anthropocene
Who may introduce new laws or amendments to laws already on the books as a bill?,"['the Scottish Government', 'Scottish Government', 'the Scottish Government']",A senator or representative,members of Congress,Members of the House of Representatives and Senators,Senator or representative,Congress,Members of Congress,Senator or representative,A senator or representative,senator or representative,A senator or representative,Members of Congress,senator or representative,A senator or representative,the U.S. Senate,Members of Congress,members of Congress,The House of Representatives,A senator or representative,A senator or representative,members of Congress,The Senate,A senator or representative,Members of Congress,A senator or representative,members of Congress,Members of the House of Representatives and Senators,Member of the House of Representatives,Members of Congress,Senator or representative,Members of Congress,Members of Congress,Members of Congress,senator or representative,Members of Congress,A senator or representative
How long did it take Johnson to respond to Kennedy?,"['approximately one week', 'one week', 'one week', 'one week', 'one week']",1 hour and 38 minutes,About two hours,2:38 p.m.,2 hours and 8 minutes,1 hour and 38 minutes,38 minutes,About two hours,1963,1:00 p.m.,About two hours,Five days,Almost one year,2 hours and 8 minutes,Shortly after the assassination,2 hours and 8 minutes,About two hours,1 hour and 38 minutes,1 hour and 38 minutes,1 hour and 38 minutes,About two hours,9 minutes,1 hour and 38 minutes,About two hours,2 hours and 8 minutes,About two hours,2:38 p.m.,Five days,2 hours and 8 minutes.,A few minutes,30 minutes,2 hours and 38 minutes,1 hour and 8 minutes,About two hours,about two hours,immediately
How many tons does the Hereford Screen weigh?,"['8', '8 tonnes', 'nearly 8']",8 tonnes,8 tonnes,"16,000 lbs",8 tonnes,Over eight tonnes,8 tons,Over eight tonnes,8 tons,8 tonnes,"16,000 lbs",8 tons,8 tonnes,8 tonnes,8 tonnes,8 tonnes,8 tonnes,8 tons,8 tonnes,8 tonnes,8 tonnes,Over eight tonnes,8 tonnes,8 tonnes,8 tonnes,8 tonnes,"16,000 lbs",Over eight tonnes,8 tonnes,Over eight tonnes,Over eight tonnes,8 tons,8 tonnes,8 tonnes,8 tons,Over eight tonnes
What kind of cell identifies pathogens when the antibodies on its surface complex with a specific foreign antigen?,"['B cell', 'B', 'A B cell']",T cell,B cells,B cell,B cells,B cells,B cells,B cell,B cell,B cell,B cell,B cell,T cells,T cells,B cells,T cell,B cells,B cell,T cell,T cells,B cells,B cell,T cell,B cells,T cell,B cells,B cell,B cell,T cell,B cell,B cells,B cells,T cell,B cells,B cell,B cell
How large are Cytoplasmic ribosomes?,"['25 nm', '25 nm', '25 nm']",180-200 Å,between 25 and 30 nm,between 25 and 30 nm,20 to 30 nm,20 to 30 nm,25 to 30 nm,Between 25 and 30 nm,20 to 30 nm,20 to 30 nm,25-30 nm,20 to 30 nm,20 to 30 nm,180-200 Å,"20 nm for prokaryotic ribosomes, 25-30 nm for eukaryotic ribosomes",180-200 Å,20 to 30 nm,70S,180-200 Å,180-200 Å,between 25 and 30 nm,20 to 30 nm,180-200 Å,25-30 nm,180-200 Å,25-30 nm,between 25 and 30 nm,25-30 nm,25-30 nm,around 20 nm,between 25 and 30 nm,25-30 nm,180-200 Å,between 25 and 30 nm,80S,20 nm
Who are likely participants in creating an overall plan for the financial management of the building construction project?,"['Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers']","financial planning consultants, project managers, contractors, and lenders","owner or general manager, estimators, superintendents, project managers, contractors, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Owner or general manager, estimators, superintendents, project managers","contractors, project managers, lenders, and other stakeholders","Clients, contractors, architects, engineers, and financial experts","Clients, contractors, architects, engineers, and financial experts","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","client, sponsors, project manager and their team, consultants, suppliers, (sub)contractors, and end users","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","financial planning consultants, project managers, contractors, and lenders","owner or general manager, estimators, superintendents, project managers, contractors, lenders","Contractors, project managers, lenders, and other stakeholders","financial planning consultants, project managers, contractors, and lenders","contractors, project managers, lenders, and other stakeholders","contractors, project managers, lenders, and other stakeholders","contractors, project managers, lenders, and other stakeholders","Contractors, project managers, lenders, and other stakeholders","Stakeholders, contractors, project managers, lenders, and financial experts","Owner, financial planning consultants, project planners","Architects, contractors, building owners, construction finance managers","Project sponsor, customer, subcontractors, suppliers, government","Stakeholders, financial institutions, project managers","contractors, project managers, lenders, and other stakeholders","contractors, project managers, lenders, and other stakeholders","Clients, design team, contractors, and project managers","Clients, contractors, architects, engineers, and financial experts"
Who was this season's NFL MVP?,"['Cam Newton', 'Cam Newton', 'Cam Newton']",Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Aaron Rodgers,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes
What type of discipline do critics want to see?,"['a more assertive and confrontational style', 'strict discipline', 'more assertive and confrontational']",aesthetics or the theory of beauty,Art criticism,Aesthetics or the theory of beauty,"Analytical, writing, and communication skills",scientific discipline,aesthetics or the theory of beauty,art criticism,Visual art,Methodological rigor,Informed discussion,Diversity and creativity,Informed discussion,aesthetics or the theory of beauty,Art criticism,aesthetics or the theory of beauty,Art criticism,Knowledge about making a work of art,aesthetics or the theory of beauty,aesthetics or the theory of beauty,Art criticism,"Strong analytical and writing skills, critical thinking, research abilities, and a passion for art",aesthetics or the theory of beauty,Art criticism,aesthetics or the theory of beauty,Art criticism,Aesthetics or the theory of beauty,Commitment and discipline,"""sound knowledge""","Analytical and writing skills, critical thinking, research abilities","Art history, analytical, critical thinking","Art history, analytical, critical thinking",aesthetics or the theory of beauty,Art criticism,Knowledge about making a work of art,Commitment and self-discipline
How many teachers are usually involved when co-teaching?,"['two or more', 'two or more', 'two or more']",Two,Two,two,Two,Two,Two,Two teachers,Two,Two,Two,Two,Two,Two,Two,Two,Two,Two,Two,Two,Two,Two teachers,Two,Two,Two,Two,two,two teachers,Two,Two,Two,Two,Two,Two,Two,two teachers
On which date was Genghis Khan's palace rediscovered by archeaologists?,"['October 6, 2004', 'October 6, 2004', 'October 6, 2004']",13th century,13th century,6 October 2004,,13th century,2004,,not provided,13th century,13th century,"October 6, 2004",not provided in the context,6 October 2004,13th century,6 October 2004,13th century,Not provided.,6 October 2004,13th century,13th century,In 1993,13th century,13th century,13th century,13th century,6 October 2004,Not provided.,13th century,6 October 2004,In 1993,13th century,6 October 2004,13th century,,6 October 2004
What Newcastle radio station is based at the Great North Children's Hospital?,"['Radio Lollipop', 'Radio Lollipop', 'Radio Lollipop']",Radio 2,Radio 2,Radio 2,Radio 2,Radio Lollipop,Radio 2,Radio 2,Stoke Mandeville Hospital Radio,Radio Lollipop (Newcastle),Radio Lollipop (Newcastle),Radio Lollipop (Newcastle),Radio 2,Radio Lollipop,Radio 2,Radio Lollipop,Radio 2,Radio 2,Radio Lollipop (Newcastle),Radio 2,Radio 2,Radio Lollipop (Newcastle),Radio 2,Radio 2,Radio 2,Radio 2,Radio 2,Radio 2,Radio 2,Radio 2,Radio 2,Radio Lollipop,Radio Lollipop,Radio 2,Radio 2,Radio 2
European imperialism was focused on what?,"['economic growth', 'economic growth', 'economic growth', 'economic growth', 'economic growth']",Economic growth and political control,Economic growth and political control,"economic growth, rivalry between nations, and moral superiority",Economic growth and political control,Economic growth and political control,Economic growth and political control,economic growth and political control,Economic growth by collecting resources from colonies,economic growth and political control,Economic growth and political control,"Economic growth, rivalry between nations, and moral superiority",economic growth,acquiring territory and extracting resources,economic growth and political control,acquiring territory and extracting resources,economic growth and political control,Economic growth and political control,economic growth and acquiring territory outside of Europe,Economic growth and political control,Economic growth and political control,"Economic growth by collecting resources from colonies, in combination with assuming political control by military and political means",Economic growth and political control,economic growth and political control,economic growth and acquiring territory outside of Europe,Economic growth,"economic growth, rivalry between nations, and moral superiority",Economic growth and political control,Economic growth and political control,economic growth and political control,Economic growth and political control,Economic growth and political control,acquiring territory and extracting resources,economic growth and political control,Economic growth and political control,Economic growth and political control
What percentage of Australia's dairy cattle are found in Victoria?,"['60%', '60%', '60%']",37%,62%,61-62%,61%,64%,61%,61%,61%,62%,61 per cent,61%,62%,37%,62%,37%,62%,61-62%,37%,37%,62%,62 percent,37%,61%,37%,62%,61-62%,100%,96%,66%,61 percent,61-62%,37%,61-64%,61-62%,Approximately 59%
Survival needs such as income for food and shelter motivates what type of entrepreneurship? ,"['Necessity-based', 'Necessity-based entrepreneurship', 'Necessity-based']",Necessity entrepreneurship,Subsistence entrepreneurship,subsistence,Social entrepreneurship,Subsistence entrepreneurship,necessity entrepreneurship,Necessity entrepreneurship,social entrepreneurship,Social entrepreneurship,Necessity entrepreneurship,Subsistence entrepreneurship,social entrepreneurship,Necessity entrepreneurship,Survival entrepreneurship,Necessity entrepreneurship,Subsistence entrepreneurship,Necessity,Necessity entrepreneurship,Necessity entrepreneurship,Subsistence entrepreneurship,Survival entrepreneurship,Necessity entrepreneurship,Subsistence entrepreneurship,Necessity entrepreneurship,Subsistence entrepreneurship,subsistence,survival entrepreneurship,Necessity entrepreneurship,Necessity entrepreneurship,entrepreneurs in survival mode,Necessity entrepreneurship,Necessity entrepreneurship,Subsistence entrepreneurship,Necessity entrepreneurship,survivalist entrepreneurship
What type of festival is The Northern Rock Cyclone?,"['a cycling festival', 'a cycling festival', 'cycling festival,']",Cycling festival,Cycling festival,Cycling festival,Festival of cycling,Cycling festival,cycling festival,Cycling festival,Cycling festival,Cycling festival,Cycling,Cycling festival,Cycling festival,Cycling festival,Cycling,Festival of cycling,Cycling festival,Cycling festival,Cycling festival,Cycling festival,Cycling,Cycling festival,Cycling festival,Cycling,Cycling festival,Cycling festival,cycling festival,Cycling,Cycling festival,Cycling festival,Festival of cycling,Festival of Cycling,Festival of cycling,Cycling,Cycling festival,Cycling festival
