Question,GT Answer,"qrecc-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","qrecc-medium_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",qrecc-medium_vanilla_gpt-3.5-turbo-1106_google,qrecc-medium_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,qrecc-medium_multihop_gpt-3.5-turbo-1106_google,qrecc-medium_dsp+sample_gpt-3.5-turbo-1106_google,qrecc-medium_dsp+knn_gpt-3.5-turbo-1106_google
who did Sheryl Crow have an affair with?,['There was speculation about a brief affair with Eric Clapton.'],Eric Clapton.,Eric Clapton,Sheryl Crow had an affair with Eric Clapton.,Eric Clapton,Eric Clapton,Eric Clapton,"Lance Armstrong, Eric Clapton, and Josh Charles"
What did footballer Ray Wilkins do at Paris?,['Ray Wilkins failed to break into the PSG first team ahead of Gabriel Calderón and Safet Sušić.'],Threw the ball at Gabriel González.,Signed for Paris Saint-Germain,Ray Wilkins played for Paris Saint-Germain from 1987 to 1989.,Failed to break into the team.,He failed to break into the team.,Signed for Paris Saint-Germain,Failed to break into the team.
Who did Kenny Dalglish sign with for 1986-87 season?,['Liverpool'],Peter Beardsley and John Barnes.,Peter Beardsley and John Barnes,Kenny Dalglish signed with Liverpool for the 1986-87 season.,John Aldridge,Liverpool,John Aldridge,John Aldridge
When did Michael Bublé cover Stevie Wonder's You and I,"[""Michael Bublé recorded a version for his 2005 album It's Time.""]",2005,2005,Michael Bublé covered Stevie Wonder's You and I in 2005.,2005,After 1974,2005,2005
what was skip james known for,"['His guitar playing is noted for its dark, minor-key sound, played in an open D-minor tuning with an intricate fingerpicking technique.']","He was known for being a Delta blues singer, guitarist, pianist, and songwriter.","Delta blues singer, guitarist, pianist, and songwriter",Skip James was known for his unique style of Delta blues music and his haunting falsetto voice.,"Delta blues singer, guitarist, pianist, and songwriter",Influential Delta blues musician,"Skip James was known for his haunting and emotional music, as well as his talent as a guitarist, pianist, and songwriter.","Haunting and emotional music, talent as a guitarist, pianist, and songwriter"
who did dolly parton write the song i will always love you for,"['Dolly Parton wrote the song for her one-time partner and mentor Porter Wagoner, from whom she was separating professionally after a seven-year partnership.']","Dolly Parton wrote the song ""I Will Always Love You"" for herself.",close friend,"Dolly Parton wrote ""I Will Always Love You"" for her one-time partner and mentor, Porter Wagoner.",Porter Wagoner,Porter Wagoner,Porter Wagoner,Porter Wagoner
What is the definition of excises?,"['An excise, or excise tax, is any duty on manufactured goods that is levied at the moment of manufacture rather than at sale.']",An internal tax or duty on certain commodities.,Internal tax or duty on certain commodities,An excise is a tax on the production or sale of a good.,Internal taxes on certain commodities.,Taxes on specific goods or services at the time of purchase.,Taxes on specific goods or services,Internal taxes on specific goods or services.
who wrote the lyrics for the song do you know the way to san jose?,['Hal David wrote the lyrics to the song Do You Know the Way to San Jose.'],Hal David.,Hal David,"The lyrics for ""Do You Know the Way to San Jose"" were written by Hal David, with music composed by Burt Bacharach.",Hal David,Hal David,Hal David,Hal David
when was the term old republic first used in star wars,"['The term Old Republic was first used in the 1977 film Star Wars: Episode IV A New Hope, in reference to what is now known as the Galactic Republic.']",In the early 90s.,Until 1032 BBY,"The term ""Old Republic"" was first used in the original 1977 Star Wars film.","25,053 BBY",Approximately 3650 years before the Battle of Yavin,During the Old Republic era,"25,053 BBY"
Were Edward Weston's Daybooks successful?,"[""When combined with his photographs, Edward Weston's writings provide an extraordinarily vivid series of insights into his development as an artist and his impact of future generations of photographers.""]",Yes.,Yes.,Edward Weston's Daybooks were published in 1961 and were a critical and commercial success.,"Yes, Edward Weston's Daybooks were successful.","Yes, Edward Weston's Daybooks were successful.",Yes.,"Yes, Edward Weston's Daybooks were successful."
How does a 529 plan work?,"['A 529 college savings plan is a specialized savings account that is used to save money for college. ... The money in a 529 plan may be used to pay for the college expenses and K-12 tuition of the beneficiary, tax-free.']",Contributions grow on a tax-deferred basis and distributions are tax-free when used for qualified education expenses.,Pay for qualified education costs,A 529 plan is a tax-advantaged savings plan designed to encourage saving for future education costs.,Tax-advantaged account for education expenses.,A 529 plan is a tax-advantaged savings plan for education.,It is a tax-advantaged account for education expenses.,It is a tax-advantaged account that can be used to pay for qualified education costs.
How was Bill Russell as a competitor?,"['Russell was driven by a neurotic need to win, as his Celtic teammate Heinsohn observed. He was so tense before every game that he regularly vomited in the locker room.']",Highly significant and successful.,Competitive nature,Bill Russell was known for his fierce competitiveness and will to win.,Highly significant,Exceptional competitor with 11 NBA championships.,Highly skilled and dominant.,Highly skilled and dominant
When did Eliot Spitzer resign from office?,"['Eliot Spitzer announced on March 12, 2008 that he would resign his post as governor at noon on March 17, 2008.']","March 17, 2008.","March 17, 2008","Eliot Spitzer resigned as governor of New York on March 17, 2008.","March 17, 2008","March 17, 2008","March 17, 2008","March 17, 2008"
What happened to the band Queen in 2004?,"['In November 2004, Queen were among the inaugural inductees into the UK Music Hall of Fame.']",They started touring with Queen +.,"They toured as ""Queen +"" with vocalists Paul Rodgers and Adam Lambert.","In 2004, Queen was inducted into the Rock and Roll Hall of Fame.","They toured as ""Queen +"" with vocalists Paul Rodgers and Adam Lambert.",Queen continued to tour and perform live concerts in 2004.,They started touring again with Queen + Paul Rodgers.,They started touring again with Queen + in 2004.
was Mr. darcy in pride and prejudice married,"['Fitzwilliam Darcy proposes to Elizabeth Bennet again, who accepts his proposal.']",No,Yes,"Yes, Mr. Darcy marries Elizabeth Bennet in Pride and Prejudice.",Yes,"Yes, Mr. Darcy in Pride and Prejudice was married to Elizabeth.","Yes, Mr. Darcy married Elizabeth Bennet.",Yes
who won the academy award for best actor in 1939,['Spencer Tracy won the Academy Award for Best Actor in 1939 for the film Boys Town.'],Robert Donat.,Robert Donat,"Spencer Tracy won the Academy Award for Best Actor in 1939 for his role in the film ""Boys Town.""",Robert Donat,Robert Donat,Robert Donat,Robert Donat
What is the best method for weight loss?,"['The best way to reach and maintain a healthy weight is to eat a nutritious, balanced diet. This should include 10 portions of fruit and vegetables, good-quality protein, and whole-grains. It is also beneficial to exercise for at least 30 minutes every day.']",There is no superior method for weight loss.,Steady aerobic exercise,The best method for weight loss is a combination of a healthy diet and regular exercise.,"Combination of steady aerobic exercise, tracking diet and exercise, eating protein, fat, and vegetables, cutting out liquid calories, and following a Mediterranean-style diet.",Regular physical activity plus calorie restriction.,Aerobic exercise and intermittent fasting,Aerobic exercise and intermittent fasting.
who said a football match is played with three referees,['Guy Roux said a football match is played with three referees.“'],Guy Roux,Guy Roux,"Jose Mourinho said ""A football match is played with three referees: the one in the middle, the one on the other side, and the one in the black.""",Guy Roux,Pierluigi Collina,Guy Roux,Guy Roux
What happened in the cyclist Sean Kelly's early years?,"[""Sean Kelly's first professional race was the Étoile de Bessèges. It started on 7 February 1977 and lasted six days. Kelly came 10th on the first day.""]",He was born in Waterford and achieved 33 victories in the 1984 season.,Started cycling in 1969,"Sean Kelly was born in Waterford, Ireland, and began cycling at the age of 17.","Won National Junior Road Championships, turned professional in 1977","Sean Kelly won stages in the Tour of Ireland and Tour of Britain at 18, and beat Eddy Merckx in his first year as a professional cyclist.","Started cycling in 1969, rode first race in 1970.",Sean Kelly began cycling in 1969.
how did sonia gandhi obtain presidency of inc,['The Congress Working Committee passed a resolution asking Sonia Gandhi to take over as Interim president until a consensus candidate could be picked.'],She was nominated and elected.,nominated and elected,"Sonia Gandhi became the president of the Indian National Congress in 1998, seven years after her husband, Rajiv Gandhi, was assassinated.",Through election and appointment.,Through election and succession,Elected as party leader in 1998.,Elected as party leader in 1998.
which atomic theory is accepted in the modern day,"[""Dalton's atomic theory was accepted by many scientists almost immediately. Most of it is still accepted today. However, scientists now know that atoms are not the smallest particles of matter.""]",The quantum mechanical model.,Quantum Mechanical Model,The modern atomic theory is based on the work of John Dalton.,quantum mechanical model of the atom,The quantum mechanical model.,Quantum Mechanical Model,Quantum Mechanical Model
who plays ted how i met your mother,['Joshua Thomas Radnor is an American actor best known for portraying Ted Mosby on the popular Emmy Award-winning CBS sitcom How I Met Your Mother.'],Josh Radnor.,Josh Radnor,Josh Radnor played Ted Mosby on How I Met Your Mother.,Josh Radnor,Josh Radnor,Josh Radnor,Josh Radnor
Did Gennady Golovkin have any notable losses ?,['At the world championships in 2005 Gennady sensationally lost to Mohamed Hikal.'],Yes.,Yes,"Gennady Golovkin's only professional loss was to Saul ""Canelo"" Alvarez in 2018.",Yes.,"Yes, Gennady Golovkin lost to Álvarez in 2018.","Yes, Gennady Golovkin has had two notable losses in his professional boxing career.","Yes, he lost to Álvarez in 2018."
Where was George Steiner born?,['George Steiner was born in 1929 in Paris.'],Paris.,Paris,"George Steiner was born in Paris, France.",Paris,"Paris, France",George Steiner was born in Paris.,"George Steiner was born in Neuilly-sur-Seine, France."
whose voices are featured in the ncaa basketball series' play by play,"['Verne Lundquist, Brad Nessler, and Gus Johnson lent their voices for play by play in the NCAA Basketball series at various times.']","Verne Lundquist, Brad Nessler, and Gus Johnson","Verne Lundquist, Brad Nessler, and Gus Johnson",The NCAA Basketball series' play-by-play is voiced by Brad Nessler and Dick Vitale.,"Verne Lundquist, Brad Nessler, Gus Johnson","Various commentators such as Jim Nantz, Tony Romo, Tracy Wolfson, Ian Eagle, Dan Fouts, Evan Washburn, Kevin Harlan, Rich Gannon, Spero Dedes, Adam Archuleta, Andrew Catalon, and James Lofton.","Verne Lundquist, Brad Nessler, and Gus Johnson","Verne Lundquist, Brad Nessler, and Gus Johnson"
"What did the other members of Future Islands, besides Cashion and Welmers, play?",['Samuel Herring sang and Erick Murillo played drums.'],Michael Lowry played percussion.,percussion and backing vocals,"Gerrit Welmers plays the keyboard and programming, while William Cashion plays the bass. Samuel T. Herring is the lead singer.","Beeby - keyboard, Nawabi - percussion, Herring - vocals","Herring provided lyrics and vocals, and Michael Lowry played percussion.",Michael Lowry plays percussion.,Michael Lowry plays percussion.
What was the name of Enrique Iglesias new record label in 2010?,['Universal Republic'],Universal Republic,Universal Republic,The name of Enrique Iglesias' new record label in 2010 was Universal Republic.,Universal Republic,Universal Republic Records,Universal Republic,Republic Records
What was special about Stereolab's lyrics?,"[""Stereolab's music is politically and philosophically charged.""]",They were in English and French.,Political and philosophical themes influenced by the Surrealist and Situationist movements,Stereolab's lyrics were often in both English and French.,Political and philosophical themes influenced by Surrealist and Situationist movements.,Thought-provoking and empowering.,Influenced by Surrealist and Situationist movements,Influenced by Surrealist and Situationist movements.
When was Pablo Neruda exiled?,"['In 1948, becoming threatened with arrest, Pablo Neruda went into hiding and he and his wife were smuggled from house to house hidden by supporters for the next thirteen months.']",February 1948.,March 1949,Pablo Neruda was exiled from Chile in 1949.,1949,1949,March 1949,March 1949
Any other performances Katrina Kaif?,"[""After a string of films in which she was cast to add glamour, Kaif appeared in Kabir Khan's terrorism drama New York (2009).""]","Yes, she starred in Ek Tha Tiger, Dhoom 3, and Bang Bang!","Telugu films 'Malliswari' and 'Allari Pidugu', and 'Balram vs Taradas' in Malayalam","Katrina Kaif has also appeared in films such as Namastey London, New York, and Zindagi Na Milegi Dobara.",Zindagi Na Milegi Dobara,"Raajneeti, Ek Tha Tiger, Zindagi Na Milegi Dobara, Bang Bang, Jab Tak Hai Jaan","Boom, Raajneeti, Ek Tha Tiger, Zindagi Na Milegi Dobara, Bang Bang, Jab Tak Hai Jaan","Harleen Sahni, Nawaz Mistry, Firdaus, Diya Kapoor"
What was Robert Owen's position on the Poor Laws?,"['Robert Owen attributed the immediate causes of misery to the wars, he also argued that the underlying cause of distress was the competition of human labour with machinery']",He believed that the increasing automation of industrial production robbed working people of their jobs.,He believed that the increasing automation of industrial production robbed working people of their jobs.,"Robert Owen was a critic of the Poor Laws, believing that they were ineffective and inhumane.",Owen believed that advantageous occupation must be found for the poor.,Owen was critical of the Poor Laws.,Owen believed that the entire social and economic order must be replaced and that advantageous employment must be found for all the poor and working classes.,Owen believed that the entire social and economic order must be replaced and that advantageous employment must be found for all the poor and working classes.
In what year did the band New Order release the album Movement?,"['Movement is the debut studio album by English rock band New Order, released on 13 November 1981.']",1981,1981,Movement was released in 1981.,1981,1981,1981,1981
What are the different types of sharks?,['Some types of Sharks. Great White Shark. Tiger Shark. Whale Shark. Bull Shark. Hammerhead Shark. Goblin Shark. Mako Shark. Blue Shark.'],"Catsharks, swellsharks, and the sandbar shark are some types of sharks.",Over 270 species,"There are over 400 different species of sharks, including the great white, hammerhead, and tiger shark.",There are over 400 different species of sharks.,Elasmobranchii and Holocephali,"Blacknose shark, blacktip reef shark, blacktip shark, blue shark, and more.","Blacknose shark, Blacktip reef shark, Blacktip Shark, Blue shark, Brown Shyshark."
Where did Michael Owen need surgery?,"['Originally thought to be a minor injury, on March 5th, 2010, it was announced Michael Owen required surgery on his hamstring, ruling him out for the rest of the season.']",Colorado.,Colorado,Michael Owen needed surgery on his knee.,Knee,Knee,Colorado,"Colorado, United States"
does the sea of japan have tides,['The Sea of Japan has almost no tides due to its nearly complete enclosure from the Pacific Ocean.'],"No, the Sea of Japan has almost no tides.",No,"Yes, the Sea of Japan has tides.","No, the Sea of Japan has almost no tides.","Yes, the Sea of Japan has tides.","Yes, the Sea of Japan has tides.","Yes, the Sea of Japan has tides."
How are the Spanish Christmas Lottery tickets sold?,['People line up for hours to purchase their Christmas lottery tickets in Spain. About 75 percent of adults in the country participate in the lottery draw each year.'],Tickets are sold in official lottery shops and by licensed and unlicensed sellers on the street.,In full ticket sheets and décimos,"The tickets are sold in many different ways, including by the lottery's official vendors, by the ONCE, and by the Spanish Red Cross.",In official lottery shops and by licensed (and unlicensed) sellers on the street.,In official lottery shops and by licensed (and unlicensed) sellers on the street.,In official lottery shops and by licensed and unlicensed sellers on the street.,In official lottery shops and by licensed and unlicensed sellers on the street.
Do Lew Wallace do any work for the U.S. government?,['Wallace was appointed governor of the New Mexico Territory (1878–81)'],Yes.,Yes,"Yes, Lew Wallace served as governor of the New Mexico Territory from 1878 to 1881.","Yes, Lew Wallace served as the Territorial Governor of New Mexico and as the United States Minister to the Ottoman Empire.","Yes, Lew Wallace served as governor of the New Mexico Territory and as U.S. minister to the Ottoman Empire.",Yes.,"Yes, Lew Wallace did work for the U.S. government."
Did Terry Date end up producing Pantera's major label debut?,"['Pantera released their fifth studio album, titled Cowboys from Hell, on July 24, 1990, which was produced by Pantera and Date.']",Yes.,Yes,"Yes, Terry Date produced Pantera's major label debut, Cowboys from Hell.",Yes,Yes.,Yes.,Yes
What did William Henry Dietz do after he left school?,['He played football for Carlisle Indian Industrial School and was a coach for Purdue University.'],"He coached football and ""played"" Indian.",coaching football,"William Henry Dietz worked as a teacher and coach at the Haskell Institute in Lawrence, Kansas.",Attended Macalester College,Attended Macalester College,"Coached, contributed sketches","He served as Warner's assistant coach, coached the Mare Island Marines, and contributed sketches for the Walt Disney picture Bambi."
who plays the dolphin in the spongebob movie,"['Matt Berry voiced Bubbles, the dolphin, in The SpongeBob Movie Sponge Out of Water.']",Matt Berry,Matt Berry,The dolphin is played by Neil Ross in The SpongeBob SquarePants Movie.,Matt Berry,Matt Berry,Matt Berry,Matt Berry
What happened after Eliot Spitzer resigned from office?,['Lieutenant Governor David Paterson succeeded Eliot Spitzer as governor of New York.'],David Paterson became the governor of New York.,David Paterson became governor of New York.,"After resigning as governor, Spitzer returned to his family's real estate business.",David Paterson became the first African American Governor of New York State.,Spitzer continued to make public appearances and engage in media commitments.,Spitzer continued to make public appearances and engage in media commitments. David Paterson succeeded him as governor of New York.,Spitzer continued to make public appearances and engage in media commitments.
What did James Fenimore Cooper attempt as a first endeavor?,"['In 1820, when reading a contemporary novel to his wife Susan, James Fenimore Cooper decided to try his hand at fiction.']",The Leatherstocking Tales.,Novelist,James Fenimore Cooper's first endeavor was to become a sailor.,He attempted to write a novel.,Fiction writing,Precaution,Precaution
What happened in 2010 to As I Lay Dying?,"['In 2010 the band As I Lay Dying toured in support of The Powerless Rise, headlining the majority of their shows.']","They released their fifth studio album ""The Powerless Rise.""","Released album ""The Powerless Rise""","As I Lay Dying released their fifth studio album, The Powerless Rise, on May 11, 2010.",Released album The Powerless Rise,Released an album and went on a North American tour,As I Lay Dying went on tour in North America and released an album called The Powerless Rise in 2010.,Released album and went on tour.
what materials are beer kegs made of,"['In recent times, a keg is often constructed of stainless steel.']",Beer kegs are made of stainless steel or aluminum (coated with plastic on the inside).,stainless steel or aluminum,Beer kegs are typically made of stainless steel or aluminum.,"Stainless steel, aluminum, and plastic.","Stainless steel, aluminum, and plastic.","Stainless steel, aluminum, and less commonly, plastic.","Stainless steel, aluminum, and less commonly, plastic."
Who staged a farmer's demonstration in Gujarat during Narendra Modi’s ministership?,"[""BKS, an Indian farmers' representative organization, staged a farmers' demonstration.""]",Farmer leaders from Gujarat.,Farmer leaders from Gujarat,Narendra Modi was the Chief Minister of Gujarat when the farmers' demonstration was staged by the Bharatiya Kisan Sangh.,Farmer leaders from Gujarat,Farmer leaders from Gujarat,Leaders and representatives from the farmers' unions of Gujarat,Leaders and representatives from the farmers' unions of Gujarat.
What happened after Gennady Golovkin was signed with Universum Box- Promotion?,"[""By the end of 2008, Golovkin's record stood at 14–0 and while he had few wins, he was regarded as one of the best prospects in the world.""]",He made his professional debut.,He made his professional debut,Golovkin made his professional debut in May 2006.,Golovkin signed with K2 Promotions.,Golovkin made his professional debut in May 2006.,Golovkin signed with K2 Promotions.,Golovkin became a world champion.
WHAT WAS THE NAME OF ONE OF Tim Minchin's PERFORMANCES,"[""His 2006 show So Rock was nominated for the Melbourne International Comedy Festival's top prize, the Barry Award""]",Tim Minchin and the Heritage Orchestra Tour.,Tim Minchin and the Heritage Orchestra,Ready for This? was the name of one of Tim Minchin's performances.,Most Wanted Man,An Unfunny Evening with Tim Minchin and His Piano,Californication,Californication
Did the song Gangsta's Paradise have a high sales?,"[""Gangsta's Paradise was certified triple platinum by the RIAA on February 23, 1996 indicating 3 million copies sold.""]",Yes.,Yes,"Yes, ""Gangsta's Paradise"" was the best-selling single of 1995 in the United Kingdom, selling over 1.2 million copies.","Yes, it was the first rap single to sell over a million copies in the United Kingdom.","Yes, Gangsta's Paradise had high sales, selling over a million copies in the UK and 1.9 million downloads in the US.",Yes.,"Yes, Gangsta's Paradise had high sales."
how many keys on a concert grand piano,['Most concert grand pianos have 88 keys.'],97 keys,88 keys,A concert grand piano typically has 88 keys.,97 keys,88 keys,88 keys,88 keys
Who are theater's Michael Bennett's parents?,"['Michael Bennett was born to Helen (née Ternoff), and Salvatore Joseph DiFiglia.']",Helen Ternoff and Salvatore Joseph DiFiglia.,Douglas J. Bennet and Susanne Klejman,Michael Bennett's parents were Helen and Salvatore DiFiglia.,Helen (née Ternoff) and Salvatore Joseph DiFiglia,Susanne Christine Bennet and Douglas J.,Susanne Christine Bennet (née Klejman),"Italian American father, Jewish mother"
Why did Roger Clemens return to the Yankees?,"[""Roger Clemens unexpectedly appeared in the owner's box at Yankee Stadium on May 6, 2007, during the seventh-inning stretch of a game against the Seattle Mariners.""]",For a $28 million salary.,After three seasons with the Astros,"Roger Clemens returned to the Yankees in 2007 after the team offered him a one-year, $28 million contract.",For a $28 million salary,Family reasons,To play baseball and join the New York Yankees.,Minor league contract and getting into shape.
is religion banned in public schools,"['Public schools may not promote religion, but they must allow students to practice their faith.']","Yes, religion is banned in public schools.",No.,"Religion is not banned in public schools, but the U.S. Supreme Court has established some limits on religious activities in public schools.","No, religion is not banned in public schools.","No, student-initiated religious activities are allowed in public schools.","No, public education must remain neutral when it comes to matters of religion.","No, religion is not banned in public schools."
is carbon the most abundant element of all,"['Carbon is the fourth most abundant element in the universe by mass after hydrogen, helium, and oxygen.']","No, it is not the most abundant element.",No.,"No, hydrogen is the most abundant element in the universe.","No, carbon is not the most abundant element.","No, hydrogen is the most abundant element in the universe.","No, hydrogen is the most abundant element in the universe.","No, hydrogen is the most abundant element in the universe."
Who were the original members of the American band Exodus?,"[""Exodus' initial lineup was formed in the late 1970s by guitarists Kirk Hammett and Tim Agnello, drummer/vocalist Tom Hunting, and vocalist Keith Stewart, while they attended high school together.""]","Kirk Hammett, Tim Agnello, Tom Hunting, and Keith Stewart.","Kirk Hammett, Tim Agnello, Tom Hunting, Keith Stewart","The original members of Exodus were Tom Hunting, Kirk Hammett, Tim Agnello, Carlton Melson, and Jeff Andrews.","Kirk Hammett, Tim Agnello, Tom Hunting, and Keith Stewart","Keith Stewart, Kirk Hammett, Tim Agnello, Tom Hunting","Keith Stewart, Kirk Hammett, Tim Agnello, Tom Hunting","Keith Stewart, Kirk Hammett, Tim Agnello, Tom Hunting"
when did Legion become legion?,"[""Legion's first appearance was in New Mutants #25 (March 1985)""]",Around 1200.,March 1985,Legion became Legion in 2010.,Legion became Legion in March 1985.,"The term ""legion"" became associated with a large body of soldiers or many people or things in the Middle Ages.",4th century BCE,4th century BCE
Why would the Spirit rover have mission clock fail?,"['If that had happened, the Spirit rover would have lost track of time and tried to remain asleep until enough sunlight struck the solar arrays to wake it.']",A semiconductor component failed to power on as intended.,Not knowing the time of day,The Spirit rover's mission clock failed due to a software glitch.,Rover clock drift or error,Temperature-dependent clock drift,Amnesia and computer reboots,Clock drift and temperature-dependent drift rates led to mission-clock faults for the Spirit rover.
when was the song funiculi funicula written,"['Funiculì, Funiculà was composed in 1880.']","""Funiculì, Funiculà"" was written in 1880.",1880,"Funiculì, Funiculà was composed in 1880 by Italian composer Luigi Denza.",1880,1880,1880,1880
"Has the phrase  Veni, Vidi, Amavi been used in movies","['Peter Venkman, arguably the idiot member of the 1984 Ghostbusters film, applauds their efforts We came, we saw, we kicked its ass!“.']",Yes.,Yes,"Yes, the phrase ""Veni, Vidi, Amavi"" has been used in the 2017 movie ""Call Me by Your Name.""",Yes.,Yes.,"Yes, the phrase ""Veni, Vidi, Amavi"" has been used in movies.",Yes.
where was Imran Khan captain?,['the pakistan national cricket team'],He was the captain of the Pakistan national cricket team.,Pakistan,Imran Khan was the captain of the Pakistan national cricket team.,Pakistan,Pakistan,Pakistan,Pakistan
During Arthur Miller's early career what was his occupation?,"['As a teenager, Miller delivered bread every morning before school to help the family.']","Radio singer, truck driver, clerk, and dishwasher.",Various odd jobs,Arthur Miller worked as a warehouseman.,"Various jobs, including radio singer",Various jobs including radio singer and truck driver,"radio singer, truck driver, clerk","Radio singer, truck driver, clerk"
About how many cases are handled by juvenile court jurisdiction annually,"['In 2016, juvenile courts in the United States handled 850,500 delinquency cases that involved juveniles charged with criminal law violations.']","Approximately 508,400 cases","508,400",Approximately 1.5 million cases are handled by juvenile court jurisdiction annually.,"Approximately 508,400 delinquency cases","Approximately 508,400 delinquency cases","Approximately 508,400 delinquency cases","Approximately 508,400 delinquency cases"
Any other albums from the band Earth Crisis that talk about activism besides their seventh and eighth albums?,"[""The Earth Crisis albums All Out War, Gomorrah's Season Ends and Breed the Killers included essays that delve into their lyrics and beliefs.""]",No.,"""Breed the Killers""","Yes, Earth Crisis' third album, ""Gomorrah's Season Ends,"" also addresses activism and animal rights.",No.,No.,"No, their seventh and eighth albums are the only ones dedicated to activism.","No, there are no other Earth Crisis albums that focus on activism besides their seventh and eighth albums."
what is an example of  glycocalyx in nature,['The slime on the outside of a fish is an example of glycocalyx.'],Bacterial cells and human cells,Bacterial cells,"The glycocalyx is a layer of carbohydrates that covers the surface of many cells, such as red blood cells and epithelial cells.",Bacterial cells and human cells,Bacterial cells with a sugar coat or slime layer.,Bacterial cells and human cells,Bacterial cells and human cells
F1,,0.2060479933351936,0.14592570763476626,0.37414977406292393,0.19768859329593366,0.20557810722842143,0.2199436814930076,0.21669232029130936
nF1,,0.19353805128727125,0.1635676496088077,0.29710350407434755,0.19423583280151915,0.18019401466745197,0.21327309757295823,0.20851044192794962
elapsed time,,262.6021043304214,126.49063879206665,1.2296213010199983,5.093119872243781,7.746847923536946,25.591625609792263,23.311930428770253
